t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
20000,625,18,0,257,2,21,5.739,6,6,1.567,25,2,95,168,3695,35,0,0,17,41,0,4773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0
40000,443,30,0,427,9,27,4.806,6,13,3.1,79,3,95,455,10707,130,0,0,84,179,0,13512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0
60000,464,19,3,414,12,28,4.25,6,14,3.031,133,5,91,692,19569,262,0,0,174,393,0,23759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0
80000,474,22,4,400,11,29,4.225,6,16,3.333,185,6,96,921,28282,366,0,0,263,584,0,34141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0
100000,471,19,2,408,11,29,4.125,6,14,3.302,240,8,94,1152,36652,487,0,0,354,774,0,43628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0
120000,425,21,1,453,17,31,4,6,17,3.605,297,9,89,1410,44464,611,0,0,439,941,0,52816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0
140000,456,16,0,428,18,32,3.82,6,17,3.621,360,10,95,1654,53810,746,0,0,536,1142,0,63706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0
160000,498,13,1,388,21,27,3.646,6,21,3.967,419,11,96,1865,63345,887,0,0,642,1321,0,74623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0
180000,508,15,0,377,14,28,3.69,5,19,3.957,483,12,95,2127,73345,999,0,0,747,1521,0,85660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0
200000,494,12,1,393,24,30,3.519,5,21,4.1,552,12,95,2379,83010,1123,0,0,849,1692,0,96757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0
220000,514,12,3,371,31,30,3.328,5,22,4.092,619,14,93,2610,93463,1247,0,0,948,1865,0,108551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0
240000,493,9,0,398,32,33,3.385,5,24,4.262,697,15,94,2885,104577,1378,0,0,1057,2049,0,120893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0
260000,489,21,4,386,21,40,3.607,5,23,4.105,758,16,95,3127,115409,1478,0,0,1170,2243,0,133459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0
280000,407,23,1,469,30,46,3.474,5,20,3.957,847,19,88,3455,126832,1590,0,0,1284,2430,0,146251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0
300000,437,14,0,449,17,50,3.567,5,24,4.245,929,21,95,3764,138344,1729,0,0,1418,2669,0,158971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0
320000,416,16,1,467,33,48,3.358,5,28,4.405,1019,22,93,4082,150463,1842,0,0,1528,2878,0,171697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0
340000,415,19,4,462,46,39,3.329,5,31,4.424,1105,22,92,4377,162940,1981,0,0,1651,3081,0,185337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0
360000,458,15,1,426,36,41,3.156,4,26,4.323,1198,22,94,4676,176321,2116,0,0,1784,3313,0,199949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0
380000,450,17,1,432,40,44,2.905,4,24,4.182,1300,22,99,4982,189916,2234,0,0,1906,3515,0,214512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0
