t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
20000,664,10,0,226,4,18,4.318,6,7,2.366,32,2,99,150,3751,39,0,0,28,54,0,5030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0
40000,474,19,1,406,12,30,4.381,6,10,2.495,91,5,95,427,11258,145,0,0,85,198,0,14140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0
60000,425,19,4,452,22,32,4.074,6,15,3.105,155,6,91,713,20377,273,0,0,185,432,0,25644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0
80000,411,24,1,464,20,36,4.143,6,18,3.498,210,7,94,976,29987,403,0,0,291,643,0,37535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0
100000,427,17,0,456,21,36,3.895,5,22,4.142,268,8,97,1225,40563,529,0,0,395,859,0,50127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0
120000,469,16,1,414,21,35,3.839,5,19,3.92,334,9,93,1484,51234,632,0,0,519,1101,0,63114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0
140000,424,22,0,454,23,43,3.682,5,20,3.894,399,11,96,1743,62230,742,0,0,613,1288,0,76723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
160000,439,19,2,440,32,42,3.527,5,22,3.879,472,11,95,2015,73476,856,0,0,745,1514,0,90951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0
180000,446,21,3,430,27,42,3.507,5,20,3.72,537,11,95,2271,85314,968,0,0,865,1743,0,105965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0
200000,409,22,2,467,31,42,3.466,5,24,3.9,615,13,94,2561,97702,1098,0,0,987,1955,0,121087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0
220000,470,18,3,409,22,42,3.5,5,16,3.403,687,14,95,2817,109484,1206,0,0,1126,2197,0,135837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0
240000,479,14,1,406,31,38,3.275,4,16,3.512,761,15,96,3070,121391,1330,0,0,1259,2419,0,150860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0
260000,453,19,2,426,30,42,3.375,4,18,3.531,829,17,94,3327,133486,1449,0,0,1384,2626,0,165878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0
280000,490,13,0,397,30,36,3.47,4,17,3.218,909,19,88,3603,145474,1568,0,0,1528,2873,0,180450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0
300000,491,12,0,397,25,39,3.578,4,14,2.912,976,20,97,3851,156138,1705,0,0,1656,3087,0,194857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0
320000,493,21,0,386,28,32,3.4,4,16,2.972,1052,21,84,4120,166493,1817,0,0,1775,3311,0,208036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0
340000,432,22,6,440,28,48,3.303,4,16,2.962,1132,23,90,4391,177516,1936,0,0,1896,3518,0,222192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0
360000,479,15,3,403,33,37,3.286,4,15,3.093,1203,23,90,4646,189056,2045,0,0,2037,3742,0,236541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0
380000,455,25,1,419,25,42,3.537,4,12,2.401,1271,23,88,4899,200362,2166,0,0,2163,3941,0,251155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0
400000,472,16,1,411,24,43,3.358,4,11,2.739,1344,23,93,5160,210723,2302,0,0,2287,4165,0,264730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0
420000,439,22,1,438,34,42,3.421,4,13,3.098,1417,23,97,5418,221974,2418,0,0,2413,4358,0,279594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0
440000,420,18,1,461,31,49,3.4,4,15,3.225,1493,23,89,5695,233304,2569,0,0,2548,4562,0,294310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0
460000,448,20,0,432,32,42,3.338,4,16,3.356,1564,23,96,5954,244858,2699,0,0,2690,4788,0,309134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0
480000,434,18,4,444,25,44,3.507,4,13,2.973,1643,23,88,6234,257295,2825,0,0,2832,4996,0,324509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0
500000,462,18,3,417,23,47,3.486,4,15,3.493,1713,23,96,6484,270236,2982,0,0,2964,5222,0,340915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0
520000,456,12,2,430,32,46,3.474,4,20,3.759,1787,25,95,6759,282566,3116,0,0,3089,5438,0,355917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0
