t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
20000,666,12,1,221,7,18,4.8,6,11,2.992,29,3,97,170,3501,31,0,0,21,55,0,4482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0
40000,486,21,1,392,13,36,4.714,6,17,3.536,77,4,96,416,11161,141,0,0,78,168,0,14045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0
60000,470,22,3,405,11,28,4.718,6,21,3.951,114,5,94,611,19102,243,0,0,155,343,0,23571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
80000,501,19,1,379,19,25,4.227,6,19,3.877,168,7,91,852,27449,361,0,0,258,560,0,33415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0
100000,449,22,2,427,20,30,3.92,6,21,3.945,232,8,96,1133,36847,474,0,0,361,765,0,44475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
120000,458,19,7,416,26,29,3.873,6,20,3.661,297,8,91,1402,46820,579,0,0,474,996,0,56489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
140000,405,21,3,471,21,39,4.083,6,23,3.697,358,10,92,1680,57933,702,0,0,577,1190,0,70002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0
160000,420,13,0,467,31,34,4.077,6,19,3.733,430,12,96,1969,69208,842,0,0,700,1426,0,83557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0
180000,435,20,0,445,28,33,3.918,6,19,3.615,495,13,95,2251,80617,966,0,0,817,1684,0,96584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0
200000,447,26,2,425,27,34,3.951,6,24,4.193,562,13,93,2545,91314,1084,0,0,940,1927,0,108878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0
220000,468,13,1,418,29,37,3.697,6,22,3.83,626,15,95,2789,102437,1222,0,0,1041,2129,0,122240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0
240000,510,18,0,372,25,31,3.696,6,18,3.91,685,15,95,3026,112807,1337,0,0,1164,2369,0,134916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0
260000,478,22,1,399,25,34,3.492,6,16,3.564,755,16,96,3308,123204,1439,0,0,1279,2575,0,147181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0
280000,473,21,1,405,24,38,3.532,6,16,3.51,819,18,98,3544,133341,1566,0,0,1387,2755,0,159454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0
300000,474,11,1,414,26,38,3.719,5,14,3.407,882,19,99,3784,143280,1688,0,0,1500,2951,0,171696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0
320000,446,13,0,441,19,44,3.762,5,20,3.973,948,20,92,4038,153502,1813,0,0,1602,3153,0,183597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
340000,462,18,3,416,29,39,3.676,5,21,3.998,1021,21,90,4317,164370,1938,0,0,1715,3389,0,196534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
360000,425,14,0,461,20,48,3.765,5,19,3.737,1083,23,95,4571,175006,2081,0,0,1813,3588,0,209471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0
380000,447,23,2,428,25,41,3.682,5,18,3.708,1158,25,94,4869,185554,2216,0,0,1947,3845,0,222093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0
400000,457,15,2,426,34,37,3.592,5,17,3.697,1230,28,96,5138,196897,2329,0,0,2071,4065,0,235828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0
420000,421,15,2,462,29,42,3.775,5,16,3.679,1296,28,90,5411,207999,2449,0,0,2181,4271,0,249560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0
440000,413,20,0,467,30,42,3.597,5,22,4.054,1374,31,93,5730,218922,2578,0,0,2310,4522,0,262790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0
460000,441,18,3,438,30,43,3.534,5,21,3.663,1441,32,93,5990,229994,2686,0,0,2431,4742,0,276868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0
480000,451,25,1,423,23,49,3.569,5,14,3.16,1504,33,94,6234,240654,2822,0,0,2549,4955,0,289947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0
500000,435,18,1,446,14,51,3.723,5,16,3.207,1565,34,96,6477,250801,2949,0,0,2661,5145,0,302506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0
520000,437,15,6,442,26,43,3.652,5,17,3.136,1647,35,89,6775,261241,3087,0,0,2795,5393,0,315230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0
540000,477,8,5,410,40,34,3.149,5,18,3.46,1719,35,97,7022,272201,3208,0,0,2915,5631,0,328791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0
560000,467,17,0,416,36,34,3.286,4,15,3.14,1787,35,97,7274,282192,3325,0,0,3038,5824,0,341255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0
