t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,490,24,2,284,2,20,5.727,6,4,1.717,32,4,93,204,3562,12,1,0,20,78,0,4942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,187,29,0,584,7,39,5.239,7,9,2.399,94,5,95,552,11736,27,4,0,92,283,0,15622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,167,32,3,598,9,31,4.65,7,11,3.117,135,6,93,777,19600,47,7,0,181,514,0,25858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,161,30,0,609,10,39,4.51,7,15,3.543,192,7,94,1013,27095,69,15,0,296,745,0,36284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,203,27,2,568,8,38,4.326,7,15,3.571,247,7,97,1249,35419,87,18,0,422,1001,0,47168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,194,26,3,577,9,46,4.145,6,12,3.404,312,8,93,1513,43536,109,21,0,553,1243,0,58672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,211,21,2,566,12,39,4.098,6,16,3.611,377,9,95,1805,53113,131,27,0,692,1538,0,71408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,202,32,6,560,6,46,4.058,6,23,4.002,446,10,94,2116,61841,154,42,0,843,1839,0,83367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,179,34,2,585,19,39,3.845,6,20,3.767,519,11,92,2406,70707,177,46,0,974,2101,0,95961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,223,22,2,553,17,44,3.721,6,18,3.759,590,12,93,2688,80103,215,50,0,1135,2398,0,108953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,222,17,3,557,17,36,3.566,6,19,4.004,663,13,97,2982,89052,245,62,0,1282,2666,0,121266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,220,25,2,553,20,38,3.379,5,17,3.765,735,14,95,3244,98769,265,70,0,1420,2917,0,135001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,206,27,1,566,17,40,3.702,5,14,3.268,807,16,91,3514,108194,292,77,0,1574,3160,0,148224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,242,24,3,531,9,45,3.926,5,11,3.066,876,17,95,3786,118117,314,82,0,1726,3457,0,161499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,180,23,1,596,12,46,3.897,5,14,3.456,956,17,94,4092,127710,338,87,0,1854,3701,0,174339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
