t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,158,48,296,298,21,31,4.865,6,10,2.785,71,4,91,435,5566,18,3,0,81,238,0,10486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,141,42,318,299,26,32,4.621,7,15,3.6,129,7,96,718,11812,33,7,0,234,685,0,23719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,140,34,310,316,43,27,4.271,7,19,3.8,191,7,95,967,18547,51,15,0,388,1122,0,37511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,135,40,303,322,44,28,3.944,7,22,4.041,258,9,96,1279,26457,67,18,0,569,1610,0,53096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,103,35,332,330,52,25,4.026,7,22,4.038,325,9,92,1546,33757,86,24,0,733,2024,0,68248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,127,27,323,323,55,23,4.013,7,22,4.081,387,11,89,1805,41496,101,27,0,901,2441,0,83428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,149,31,303,317,55,27,3.756,6,23,3.897,454,13,96,2079,48605,120,31,0,1076,2915,0,98994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,178,25,294,303,54,20,3.865,6,16,3.729,522,14,93,2368,56640,139,35,0,1260,3361,0,115154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,174,40,291,295,44,27,3.817,6,17,3.817,592,16,95,2678,64530,157,39,0,1459,3862,0,131848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,135,29,315,321,61,25,3.581,6,18,3.812,667,18,95,2969,72952,177,41,0,1646,4297,0,148831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,194,25,293,288,64,19,3.361,6,19,3.73,739,18,92,3227,81673,197,44,0,1839,4751,0,167311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,189,39,278,294,46,31,3.61,6,15,3.64,817,18,90,3539,89964,229,50,0,2055,5229,0,184592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,185,29,308,278,48,23,3.634,6,16,3.611,900,20,89,3862,99082,251,55,0,2258,5681,0,201478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,128,40,320,312,55,29,3.536,6,15,3.516,1000,22,89,4228,107694,281,58,0,2462,6140,0,217320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,163,28,309,300,58,20,3.705,7,18,3.653,1077,25,91,4535,115781,306,69,0,2674,6600,0,233476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
