seed,profile,complement,sequence,steps,iters,bodyJostle,expected,exact,other,firstExact,meanBend,faceOccupancy,docks
23,opposed,false,ABBABA,20000,4,true,ABABBA,0,0,,7.380449154384652,0.3903333333333333,85
23,square,true,ABBABA,20000,4,true,BABAAB,9,0,534,3.6864732073233335,0.14266666666666666,433
23,square,false,ABBABA,20000,4,true,ABABBA,10,0,761,3.8955210676019196,0.14633333333333326,417
23,opposed,true,ABBABA,20000,4,true,BABAAB,10,0,859,6.779729638507212,0.14333333333333334,445
23,square,false,BABAAB,20000,4,true,BAABAB,9,0,1180,3.8556764827485024,0.15933333333333327,401
23,square,true,BABAAB,20000,4,true,ABBABA,11,0,1959,3.6429129183380193,0.15233333333333335,435
23,opposed,false,BABAAB,20000,4,true,BAABAB,0,0,,6.665406021658232,0.4735000000000001,51
23,opposed,true,BABAAB,20000,4,true,ABBABA,8,0,1000,6.934898841990292,0.16249999999999995,363
24,square,false,ABBABA,20000,4,true,ABABBA,11,0,546,3.573729654602748,0.14949999999999977,428
24,square,true,ABBABA,20000,4,true,BABAAB,11,0,665,3.4450747677920632,0.1563333333333332,389
24,opposed,false,ABBABA,20000,4,true,ABABBA,0,0,,11.263304289843733,0.5214999999999997,67
24,opposed,true,ABBABA,20000,4,true,BABAAB,10,0,404,7.158696605610356,0.13516666666666674,451
24,square,false,BABAAB,20000,4,true,BAABAB,11,0,851,3.768912230358185,0.1824999999999996,279
24,square,true,BABAAB,20000,4,true,ABBABA,9,0,403,3.7512181343385382,0.16566666666666663,396
24,opposed,false,BABAAB,20000,4,true,BAABAB,0,0,,8.587772980632579,0.35049999999999965,209
24,opposed,true,BABAAB,20000,4,true,ABBABA,7,0,426,7.050542488765493,0.23766666666666672,278
25,square,false,ABBABA,20000,4,true,ABABBA,9,0,559,3.5786387113341465,0.12683333333333321,451
25,square,true,ABBABA,20000,4,true,BABAAB,10,0,790,3.6071078108914705,0.15083333333333349,379
25,opposed,false,ABBABA,20000,4,true,ABABBA,0,0,,9.200865796509301,0.4613333333333334,90
25,opposed,true,ABBABA,20000,4,true,BABAAB,10,0,1191,7.191365288746842,0.1729999999999998,347
