seed,profile,complement,sequence,steps,iters,bodyJostle,expected,exact,other,firstExact,meanBend,faceOccupancy,docks
23,opposed,false,ABBABA,20000,4,false,ABABBA,3,0,3072,14.311488090069199,0.20399999999999963,513
23,square,false,ABBABA,20000,4,false,ABABBA,7,0,1563,11.279068306249505,0.13449999999999984,588
23,square,true,ABBABA,20000,4,false,BABAAB,6,0,565,13.692088355047286,0.21133333333333323,409
23,opposed,true,ABBABA,20000,4,false,BABAAB,7,0,2214,14.315812088268157,0.1751666666666666,500
23,square,false,BABAAB,20000,4,false,BAABAB,7,0,1475,11.59001478128853,0.17250000000000004,561
23,square,true,BABAAB,20000,4,false,ABBABA,6,0,2360,11.7169705912828,0.1561666666666668,501
23,opposed,false,BABAAB,20000,4,false,BAABAB,4,0,2506,13.46513676517618,0.20049999999999976,586
23,opposed,true,BABAAB,20000,4,false,ABBABA,3,0,5008,14.623471672967607,0.2701666666666665,479
24,square,false,ABBABA,20000,4,false,ABABBA,4,0,3038,12.422493438863414,0.22450000000000034,554
24,opposed,false,ABBABA,20000,4,false,ABABBA,5,0,5022,13.903188924605875,0.20733333333333326,532
24,square,true,ABBABA,20000,4,false,BABAAB,7,0,1692,11.7919329264586,0.15666666666666657,543
24,opposed,true,ABBABA,20000,4,false,BABAAB,8,0,1404,14.375605302577247,0.15866666666666646,539
24,square,false,BABAAB,20000,4,false,BAABAB,6,0,926,11.62352872325008,0.23866666666666658,445
24,square,true,BABAAB,20000,4,false,ABBABA,7,0,2348,12.141398206066027,0.20450000000000035,428
24,opposed,false,BABAAB,20000,4,false,BAABAB,6,0,2045,13.189051312329914,0.16599999999999995,555
24,opposed,true,BABAAB,20000,4,false,ABBABA,6,0,4873,13.697359393108396,0.2701666666666665,423
25,square,false,ABBABA,20000,4,false,ABABBA,7,0,1265,11.479170613693169,0.17833333333333337,533
25,square,true,ABBABA,20000,4,false,BABAAB,5,0,2346,11.523353850354303,0.1675000000000002,584
25,opposed,false,ABBABA,20000,4,false,ABABBA,4,0,6431,13.516498288124032,0.15866666666666662,704
25,opposed,true,ABBABA,20000,4,false,BABAAB,8,0,3579,14.252500906590821,0.16866666666666666,552
25,square,false,BABAAB,20000,4,false,BAABAB,8,0,1717,11.465056379098018,0.18283333333333304,526
25,square,true,BABAAB,20000,4,false,ABBABA,8,0,242,12.193493462996221,0.19183333333333322,499
25,opposed,false,BABAAB,20000,4,false,BAABAB,5,0,4636,12.479718522550062,0.1860000000000002,541
25,opposed,true,BABAAB,20000,4,false,ABBABA,6,0,3106,12.342226426753804,0.1543333333333331,590
26,square,false,ABBABA,20000,4,false,ABABBA,7,0,1657,11.44803248842017,0.12850000000000011,626
26,square,true,ABBABA,20000,4,false,BABAAB,5,0,1854,11.483274510552434,0.17216666666666658,551
26,opposed,false,ABBABA,20000,4,false,ABABBA,3,0,4994,16.317874358947755,0.3006666666666665,509
26,opposed,true,ABBABA,20000,4,false,BABAAB,6,0,3099,14.368105525080297,0.1736666666666665,547
26,square,false,BABAAB,20000,4,false,BAABAB,8,0,1513,12.427930324089498,0.214,514
26,square,true,BABAAB,20000,4,false,ABBABA,6,0,1181,11.631556389673177,0.16933333333333336,552
26,opposed,false,BABAAB,20000,4,false,BAABAB,6,0,4086,13.644281328815037,0.22383333333333352,503
26,opposed,true,BABAAB,20000,4,false,ABBABA,4,0,8313,14.801142945140153,0.3061666666666668,419
