seed,profile,complement,t,births,maxGen,strands,meanLen,tpl,free,energyUsed
41,opposed,false,10000,5,2,0,5.75,87,112,70
41,opposed,false,20000,8,2,0,5.818181818181818,127,50,120
41,opposed,false,30000,11,3,0,5.642857142857143,149,20,153
41,opposed,false,40000,11,3,0,5.142857142857143,151,10,173
41,opposed,false,50000,12,3,0,4.666666666666667,146,7,184
41,square,true,10000,26,3,0,5.269230769230769,180,0,197
41,square,true,20000,29,3,1,4.888888888888889,169,0,216
41,square,true,30000,32,3,1,4.5,162,3,236
41,square,true,40000,34,3,1,4.433333333333334,170,0,249
41,square,true,50000,41,4,4,4.333333333333333,173,2,274
41,square,false,10000,24,4,0,5.6923076923076925,185,1,184
41,square,false,20000,28,4,2,4.724137931034483,175,2,214
41,square,false,30000,35,5,4,4.1875,169,0,245
41,square,false,40000,36,5,3,4,163,0,251
41,square,false,50000,39,5,6,3.8484848484848486,166,0,266
41,opposed,true,10000,25,4,2,5.333333333333333,182,0,189
41,opposed,true,20000,30,4,4,4.766666666666667,177,0,226
41,opposed,true,30000,32,4,2,4.655172413793103,172,0,241
41,opposed,true,40000,35,4,5,4.566666666666666,172,0,254
41,opposed,true,50000,42,4,3,4.375,171,0,278
42,square,true,10000,24,5,2,5.5,184,2,192
42,square,true,20000,27,5,3,5.333333333333333,179,0,208
42,square,true,30000,31,5,4,4.724137931034483,175,2,231
42,square,true,40000,35,5,3,4.233333333333333,164,4,253
42,square,true,50000,40,5,1,4.03125,164,0,282
42,square,false,10000,22,4,1,5.375,174,6,178
42,square,false,20000,26,4,0,5.16,176,0,207
42,square,false,30000,26,4,0,4.875,164,1,217
42,square,false,40000,28,5,1,4.72,160,1,225
42,square,false,50000,33,5,0,4.884615384615385,164,0,258
42,opposed,false,10000,1,1,0,6,44,170,28
42,opposed,false,20000,3,1,0,6,74,119,62
42,opposed,false,30000,9,2,0,5.333333333333333,129,43,127
42,opposed,false,40000,10,2,0,5.076923076923077,146,19,155
42,opposed,false,50000,10,2,0,4.769230769230769,143,14,165
42,opposed,true,10000,22,4,1,5.782608695652174,164,7,170
42,opposed,true,20000,24,4,2,5.52,168,0,185
42,opposed,true,30000,29,4,4,5.071428571428571,170,0,210
42,opposed,true,40000,30,4,2,4.857142857142857,171,0,224
42,opposed,true,50000,34,5,1,4.655172413793103,169,0,248
