t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,152,26,14,320,53,21,3.986,7,39,4.805,99,9,36,463,9651,24,1,0,53,117,0,9146,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
40000,121,31,7,353,45,28,4.26,6,39,4.946,184,11,47,844,23384,65,1,0,160,359,0,22494,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
60000,110,24,3,375,59,20,4.329,6,50,5.416,265,11,44,1227,35585,91,2,0,266,615,0,34316,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
80000,114,21,6,371,66,17,4.217,6,53,5.5,347,11,57,1578,47651,121,4,0,367,870,0,46018,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
100000,101,19,0,392,66,17,4.337,6,60,5.775,418,12,55,1915,59655,147,5,0,460,1098,0,57687,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
120000,113,20,5,374,69,16,4.247,7,54,5.552,490,13,48,2237,71920,175,8,0,556,1342,0,69626,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
140000,137,27,6,342,67,23,3.656,6,53,5.378,583,15,52,2604,86034,226,10,0,679,1619,0,83358,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
160000,88,24,1,399,76,24,3.68,6,54,5.378,673,15,50,2979,99481,273,10,0,782,1831,0,96436,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
180000,94,19,6,393,86,16,3.657,7,55,5.431,741,17,50,3250,111082,310,11,0,881,2008,0,107761,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
200000,149,14,1,348,78,12,3.733,6,51,5.37,828,19,52,3588,124425,343,12,0,1011,2262,0,120769,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
220000,124,24,3,361,68,24,3.587,6,46,5.093,918,19,44,3945,137515,374,13,0,1126,2491,0,133487,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
240000,134,24,1,353,76,18,3.574,6,49,5.281,1005,20,55,4280,150867,404,15,0,1237,2723,0,146505,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
260000,136,18,3,355,86,16,3.412,6,46,5.149,1118,20,49,4676,164892,442,16,0,1370,2986,0,160134,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
280000,125,24,11,352,78,20,3.49,7,45,5.051,1218,22,48,5042,179906,482,20,0,1497,3230,0,174762,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
300000,138,19,1,354,70,17,3.713,7,51,5.372,1305,23,54,5388,194312,520,23,0,1611,3457,0,188837,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
