t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
20000,1083,5,0,52,3,3,6.167,8,4,1.792,19,3,98,112,2105,647,0,0,43,96,0,2503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
40000,938,17,3,182,2,12,8,8,4,1.522,35,4,95,275,5124,1661,0,0,70,158,0,6121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
60000,889,19,1,231,3,16,7.789,8,5,1.722,78,8,88,549,10314,3480,0,0,163,354,0,12358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0
80000,871,25,2,242,6,16,7.409,8,8,2.278,125,9,88,880,17095,5794,0,0,271,620,0,20122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0
100000,845,27,3,265,1,18,8,8,6,1.95,169,10,90,1199,23429,7872,0,0,382,890,0,27756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0
120000,786,28,2,324,5,21,8,8,11,2.77,216,12,87,1555,30829,10401,0,0,484,1173,0,36658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0
140000,716,29,8,387,4,28,7.875,8,19,3.839,273,15,89,1949,39015,13226,0,0,607,1461,0,46530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0
160000,663,28,6,443,10,29,7.231,8,26,4.372,328,15,91,2344,49194,16663,0,0,730,1745,0,58789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0
180000,707,40,2,391,8,26,6.912,8,19,3.981,386,16,88,2729,58296,20010,0,0,893,2083,0,69553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0
200000,735,35,5,365,3,27,7.833,8,14,3.351,438,16,95,3051,66920,23188,0,0,1025,2363,0,80487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0
220000,880,28,1,231,4,17,7.286,8,11,2.915,506,17,84,3422,74401,25971,0,0,1213,2748,0,89190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
240000,823,27,0,290,5,19,7.583,8,11,2.75,556,17,92,3761,80450,28174,0,0,1337,2967,0,96391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0
260000,728,23,2,387,8,26,7.206,8,19,3.749,607,18,93,4140,88665,31213,0,0,1457,3221,0,106490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0
280000,772,29,1,338,3,23,7.538,8,14,3.354,662,19,88,4499,97015,34135,0,0,1613,3548,0,116701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0
300000,698,39,4,399,1,30,7.935,8,13,3.033,709,20,93,4837,105750,37591,0,0,1731,3810,0,128094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0
320000,725,36,1,378,1,26,7.852,8,14,3.497,773,20,89,5253,113718,40446,0,0,1900,4145,0,137804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0
