t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
20000,972,14,0,154,0,12,7.917,8,4,1.626,21,3,96,166,3769,1179,0,0,37,100,0,4534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
40000,797,33,3,307,4,22,7.308,8,11,2.921,61,4,96,461,10009,3383,0,0,107,270,0,12187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0
60000,670,40,4,426,3,31,7.735,8,11,2.845,115,6,88,847,18303,6357,0,0,232,552,0,22257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0
80000,869,17,2,252,2,18,7.5,8,13,3.484,182,7,95,1217,26488,9446,0,0,422,989,0,32351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0
100000,777,27,0,336,0,22,8,8,12,3.391,239,8,89,1599,34032,11941,0,0,550,1279,0,40916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
120000,787,28,1,324,2,21,7.826,8,12,3.171,287,10,90,1949,41726,14620,0,0,676,1595,0,49693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0
140000,727,25,6,382,1,27,8,8,12,3.091,348,10,87,2323,49503,17354,0,0,801,1858,0,59100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0
160000,625,46,3,466,4,32,7.639,8,17,3.83,409,11,83,2746,58611,20391,0,0,940,2172,0,69904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0
180000,640,33,2,465,8,31,7.256,8,19,3.862,472,13,93,3164,67722,23667,0,0,1094,2537,0,80669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0
200000,764,23,0,352,0,24,8,8,13,3.403,525,13,92,3512,76367,26760,0,0,1249,2902,0,90624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0
220000,806,30,3,301,3,19,7.909,8,11,3.136,588,15,98,3898,85180,29711,0,0,1402,3271,0,100857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0
