t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,381,10,3,118,16,10,3.654,7,11,3.175,35,4,55,151,2248,19,3,0,18,37,0,2093,3,0,0,0,0,0,0,0,0,0,0,0,0,0,481,477,0,0,0
40000,244,13,2,253,42,15,3.877,7,21,4.155,106,6,48,443,8318,79,8,0,68,144,0,7878,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1702,1693,0,0,0
60000,175,20,3,314,48,20,3.882,8,25,4.153,173,7,56,715,14442,157,13,0,136,287,0,13733,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2815,2799,0,0,0
80000,164,18,4,326,53,18,3.93,8,29,4.438,229,9,48,960,20054,213,19,0,209,449,0,19105,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4820,4808,0,0,0
100000,208,16,1,287,48,17,3.923,8,30,4.582,287,10,51,1194,26264,268,23,0,301,631,0,25088,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6197,6182,0,0,0
120000,198,18,0,296,49,19,3.779,8,28,4.437,346,10,55,1438,32918,325,29,0,377,788,0,31500,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7466,7453,0,0,0
140000,191,14,1,306,52,17,3.841,8,31,4.55,402,11,54,1662,39494,379,33,0,448,935,0,37855,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8919,8900,0,0,0
160000,205,14,5,288,49,15,3.953,8,31,4.456,462,12,54,1921,45786,433,39,0,530,1130,0,43889,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10367,10352,0,0,0
180000,186,15,1,310,43,21,4.125,7,33,4.539,529,14,54,2213,51920,468,44,0,616,1315,0,49741,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12426,12405,0,0,0
200000,198,20,3,291,36,21,4.158,7,25,4.383,577,16,56,2430,57671,526,47,0,700,1468,0,55269,12,0,0,0,0,0,0,0,0,0,0,0,0,0,13875,13854,0,0,0
220000,208,13,2,289,40,16,4.214,7,25,4.267,629,16,58,2644,63677,572,51,0,768,1619,0,61065,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15678,15658,0,0,0
240000,190,10,7,305,52,14,4.061,7,32,4.64,689,19,55,2884,69741,620,54,0,840,1773,0,66891,14,0,0,0,0,0,0,0,0,0,0,0,0,0,18394,18378,0,0,0
260000,211,12,2,287,56,13,3.87,7,30,4.503,747,19,54,3136,76639,676,62,0,918,1966,0,73546,16,0,0,0,0,0,0,0,0,0,0,0,0,0,21067,21059,0,0,0
280000,223,9,0,279,57,12,3.696,6,26,4.26,814,21,54,3412,83813,737,68,0,1000,2170,0,80452,16,0,0,0,0,0,0,0,0,0,0,0,0,0,22845,22835,0,0,0
300000,220,19,4,269,41,24,3.538,6,25,4.148,885,22,52,3688,91184,791,70,0,1094,2364,0,87531,17,0,0,0,0,0,0,0,0,0,0,0,0,0,24085,24068,0,0,0
320000,205,15,4,288,65,15,3.4,6,28,4.355,968,22,52,3962,98645,859,72,0,1186,2527,0,94725,20,0,0,0,0,0,0,0,0,0,0,0,0,0,25493,25484,0,0,0
340000,236,10,1,265,58,12,3.5,6,28,4.386,1036,24,51,4218,105789,920,75,0,1281,2711,0,101621,20,0,0,0,0,0,0,0,0,0,0,0,0,0,26783,26773,0,0,0
360000,218,14,4,276,61,15,3.395,6,29,4.391,1111,25,52,4488,113195,977,84,0,1372,2883,0,108760,23,0,0,0,0,0,0,0,0,0,0,0,0,0,28140,28129,0,0,0
380000,196,12,3,301,57,17,3.649,6,29,4.604,1184,27,50,4756,120629,1047,96,0,1456,3042,0,115938,23,0,0,0,0,0,0,0,0,0,0,0,0,0,29707,29687,0,0,0
400000,200,20,3,289,54,16,3.786,6,30,4.628,1248,28,50,5018,127521,1102,99,0,1546,3229,0,122562,24,0,0,0,0,0,0,0,0,0,0,0,0,0,31021,31013,0,0,0
