t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,373,10,12,117,27,10,2.919,6,7,2.089,47,7,47,153,2265,11,2,0,20,29,0,2101,5,0,0,0,0,0,0,0,0,0,0,0,0,0,552,547,0,0,0
40000,159,9,4,340,103,14,2.675,6,13,2.835,217,9,48,587,14102,46,9,0,118,153,0,13509,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2697,2682,0,0,0
60000,153,14,5,340,92,23,2.6,6,13,2.663,359,11,51,949,27100,96,15,0,268,357,0,26140,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5487,5458,0,0,0
80000,132,15,1,364,102,23,2.616,6,17,2.901,498,12,52,1326,38565,128,20,0,419,555,0,37237,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8807,8783,0,0,0
100000,158,15,9,330,77,25,2.784,6,16,3.032,633,14,49,1690,49532,151,25,0,590,791,0,47821,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12347,12315,0,0,0
120000,125,12,0,375,99,22,2.719,6,16,3.096,756,15,54,2015,60334,175,29,0,720,942,0,58310,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15611,15576,0,0,0
140000,146,9,5,352,104,17,2.653,7,15,2.965,864,15,56,2297,71180,211,33,0,851,1115,0,68872,10,0,0,0,0,0,0,0,0,0,0,0,0,0,19133,19105,0,0,0
160000,117,12,4,379,87,28,2.826,7,17,3.134,978,16,49,2634,81841,238,44,0,984,1297,0,79196,10,0,0,0,0,0,0,0,0,0,0,0,0,0,22380,22331,0,0,0
180000,119,8,6,379,95,21,2.819,7,15,2.874,1066,16,56,2882,91240,274,47,0,1090,1438,0,88349,10,0,0,0,0,0,0,0,0,0,0,0,0,0,25972,25925,0,0,0
200000,147,8,6,351,88,20,2.87,7,16,3.028,1184,18,49,3217,101191,295,52,0,1239,1645,0,97968,10,0,0,0,0,0,0,0,0,0,0,0,0,0,29600,29563,0,0,0
