t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,381,10,3,118,16,10,3.654,7,11,3.175,35,4,55,151,2248,19,3,0,18,37,0,2093,3,0,0,0,0,0,0,0,0,0,0,0,0,0,481,477,0,0,0
40000,244,13,2,253,42,15,3.877,7,21,4.155,106,6,48,443,8318,79,8,0,68,144,0,7878,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1702,1693,0,0,0
60000,184,17,3,308,52,18,3.857,8,24,4.054,179,7,55,742,14504,156,13,0,142,310,0,13772,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2666,2652,0,0,2
80000,231,12,0,269,54,9,3.841,8,22,3.796,238,9,57,973,21150,219,16,0,225,496,0,20201,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4510,4497,0,0,2
100000,224,18,1,269,41,15,4.071,8,20,3.583,305,9,55,1272,27965,281,22,0,319,701,0,26712,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5751,5733,0,0,3
120000,211,16,2,283,51,12,4.095,8,22,3.944,368,11,52,1527,35041,350,24,0,398,866,0,33533,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7302,7289,0,0,3
140000,186,15,1,310,52,16,3.926,8,22,4.153,433,12,56,1815,41144,400,26,0,491,1033,0,39351,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9232,9216,0,0,3
160000,161,20,0,331,41,22,4.254,8,26,4.336,483,12,54,2044,47292,469,30,0,555,1177,0,45269,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11418,11401,0,0,3
180000,192,12,1,306,52,14,4,8,29,4.556,533,14,55,2250,53765,536,31,0,627,1336,0,51544,12,0,0,0,0,0,0,0,0,0,0,0,0,0,14083,14066,0,0,3
200000,212,7,8,285,58,9,4.179,8,33,4.647,593,16,55,2501,60837,607,36,0,705,1531,0,58364,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15757,15747,0,0,3
220000,244,12,4,252,50,13,3.746,6,34,4.771,656,16,50,2775,68062,688,44,0,800,1746,0,65317,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16926,16918,0,0,3
240000,208,12,2,290,55,16,3.563,7,27,4.417,733,18,56,3056,75321,743,47,0,881,1909,0,72299,13,0,0,0,0,0,0,0,0,0,0,0,0,0,18067,18046,0,0,3
260000,210,11,3,288,67,13,3.313,7,27,4.388,805,19,52,3298,82697,811,53,0,968,2069,0,79435,15,0,0,0,0,0,0,0,0,0,0,0,0,0,19718,19700,0,0,3
280000,211,17,5,279,60,17,3.286,7,26,4.378,869,19,52,3547,90289,873,57,0,1054,2238,0,86773,15,0,0,0,0,0,0,0,0,0,0,0,0,0,20806,20793,0,0,3
300000,210,12,3,287,63,15,3.308,7,28,4.448,943,20,56,3811,97778,936,64,0,1145,2405,0,94008,15,0,0,0,0,0,0,0,0,0,0,0,0,0,22052,22032,0,0,3
320000,240,9,8,255,59,11,3.514,7,31,4.664,1013,21,51,4084,105035,999,72,0,1249,2611,0,100990,16,0,0,0,0,0,0,0,0,0,0,0,0,0,23556,23542,0,0,3
340000,220,14,2,276,55,14,3.667,7,27,4.469,1089,23,58,4374,112796,1079,78,0,1340,2789,0,108467,17,0,0,0,0,0,0,0,0,0,0,0,0,0,25034,25016,0,0,3
360000,235,9,3,265,56,11,3.657,7,33,4.672,1152,24,56,4618,120135,1141,85,0,1421,2962,0,115573,17,0,0,0,0,0,0,0,0,0,0,0,0,0,26541,26522,0,0,3
380000,221,16,1,274,45,17,3.919,7,32,4.575,1221,24,47,4907,126445,1198,93,0,1512,3148,0,121597,18,0,0,0,0,0,0,0,0,0,0,0,0,0,27564,27545,0,0,3
400000,190,12,5,305,61,17,3.487,7,29,4.439,1292,25,56,5151,133258,1264,97,0,1588,3289,0,128167,19,0,0,0,0,0,0,0,0,0,0,0,0,0,28808,28785,0,0,3
