t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,207,13,2,290,72,19,2.824,6,9,2.126,127,8,41,370,6754,27,4,0,37,44,0,6373,2,0,0,0,0,0,0,0,0,0,0,0,0,0,823,792,0,0,10
40000,133,11,7,361,90,23,2.876,4,8,2.243,272,12,51,786,18774,69,11,0,175,251,0,17972,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3228,3182,0,0,14
60000,159,10,3,340,88,21,2.771,4,9,2.56,386,13,49,1101,30002,103,16,0,313,453,0,28886,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6210,6162,0,0,14
80000,121,18,2,371,79,32,2.847,4,10,2.705,506,15,53,1452,41142,134,18,0,441,639,0,39662,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8872,8811,0,0,17
100000,107,17,3,385,85,29,3,5,12,2.796,616,15,53,1788,50830,151,31,0,568,814,0,49023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11907,11832,0,0,30
120000,143,11,1,357,80,23,3.029,5,13,3.062,726,15,51,2134,61651,182,38,0,711,1028,0,59513,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14606,14516,0,0,42
140000,123,10,7,372,77,23,3.2,5,13,3.122,828,15,52,2455,72172,215,41,0,821,1199,0,69710,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17411,17291,0,0,59
160000,112,14,4,382,88,23,3.135,6,15,3.259,925,16,52,2779,82330,238,44,0,940,1386,0,79547,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20461,20348,0,0,64
180000,96,6,5,405,102,18,3.008,6,14,2.964,1042,17,53,3150,92442,265,49,0,1064,1588,0,89302,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23017,22879,0,0,75
200000,132,14,3,363,89,21,3.064,6,15,2.892,1140,17,53,3456,102795,294,54,0,1200,1799,0,99344,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25880,25752,0,0,77
220000,103,12,7,390,91,24,2.983,6,14,2.87,1262,19,47,3822,113351,323,63,0,1336,2000,0,109526,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28191,28038,0,0,85
240000,159,14,1,338,87,22,2.771,5,12,2.506,1379,20,54,4153,123866,348,64,0,1491,2225,0,119708,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30928,30782,0,0,87
260000,158,10,6,338,96,20,2.655,5,11,2.256,1499,21,49,4481,136413,381,73,0,1627,2420,0,131925,4,0,0,0,0,0,0,0,0,0,0,0,0,0,33821,33670,0,0,89
280000,127,17,1,367,103,23,2.746,5,10,2.472,1617,23,53,4818,148658,413,78,0,1754,2604,0,143830,4,0,0,0,0,0,0,0,0,0,0,0,0,0,36529,36388,0,0,89
300000,117,20,3,372,96,26,2.803,5,12,2.593,1736,24,51,5175,159837,444,85,0,1898,2809,0,154652,5,0,0,0,0,0,0,0,0,0,0,0,0,0,39118,38971,0,0,90
320000,159,10,7,336,90,19,2.78,5,14,2.746,1873,26,49,5564,171035,471,93,0,2060,3068,0,165464,5,0,0,0,0,0,0,0,0,0,0,0,0,0,41474,41308,0,0,96
340000,130,9,3,370,104,16,2.858,5,13,2.862,1993,27,50,5924,181873,510,94,0,2190,3259,0,175944,5,0,0,0,0,0,0,0,0,0,0,0,0,0,44245,44080,0,0,100
360000,136,10,0,366,93,21,2.851,5,14,3.062,2107,27,51,6262,193398,565,100,0,2332,3466,0,187126,6,0,0,0,0,0,0,0,0,0,0,0,0,0,47008,46833,0,0,100
380000,115,14,0,383,80,28,3.037,5,16,3.254,2213,28,54,6594,204413,590,108,0,2455,3657,0,197807,6,0,0,0,0,0,0,0,0,0,0,0,0,0,49839,49654,0,0,101
400000,129,8,1,374,95,18,2.903,5,16,3.313,2324,30,54,6923,213859,619,112,0,2592,3853,0,206930,8,0,0,0,0,0,0,0,0,0,0,0,0,0,52533,52350,0,0,105
420000,120,15,2,375,88,25,2.92,5,14,3.073,2426,31,49,7252,224584,652,118,0,2723,4046,0,217329,10,0,0,0,0,0,0,0,0,0,0,0,0,0,55594,55412,0,0,106
440000,136,7,4,365,88,19,2.963,5,15,3.235,2536,31,56,7575,234479,676,120,0,2856,4249,0,226907,11,0,0,0,0,0,0,0,0,0,0,0,0,0,58725,58537,0,0,106
460000,148,10,6,348,99,15,2.886,5,13,3.202,2656,33,51,7922,245806,705,124,0,2999,4473,0,237875,11,0,0,0,0,0,0,0,0,0,0,0,0,0,61485,61311,0,0,107
480000,131,17,4,360,82,26,2.963,6,12,2.982,2776,33,56,8297,255925,732,132,0,3137,4690,0,247616,12,0,0,0,0,0,0,0,0,0,0,0,0,0,63999,63801,0,0,111
500000,140,10,1,361,75,25,3.05,6,14,3.124,2877,34,58,8608,265432,760,135,0,3268,4872,0,256819,13,0,0,0,0,0,0,0,0,0,0,0,0,0,66780,66573,0,0,111
520000,158,11,5,338,99,17,2.741,5,12,2.971,3015,35,50,9000,276679,791,139,0,3423,5130,0,267668,14,0,0,0,0,0,0,0,0,0,0,0,0,0,69602,69409,0,0,113
