t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays
5000,641,18,76,65,36,14,2.333,6,2,0.414,44,3,8,14,135,0,0,0,0
10000,422,34,226,118,107,23,2.196,6,3,0.348,125,4,1,32,354,0,0,0,0
15000,216,61,339,184,165,43,2.17,6,2,0.253,205,5,0,56,560,0,0,0,0
20000,84,71,406,239,209,47,2.172,6,2,0.256,255,5,1,76,692,0,0,0,0
25000,15,89,399,297,201,69,2.144,6,4,0.319,268,5,0,99,761,0,0,0,0
30000,5,82,373,340,213,60,2.164,6,4,0.357,273,6,1,117,771,0,0,0,0
35000,0,84,323,393,212,60,2.165,6,4,0.359,274,6,2,140,776,0,0,0,0
40000,0,83,279,438,213,57,2.164,6,4,0.357,274,6,0,163,776,0,0,0,0
45000,0,81,227,492,215,52,2.163,6,4,0.355,274,6,3,188,776,0,0,0,0
50000,0,80,174,546,216,51,2.162,6,4,0.353,274,6,3,216,776,0,0,0,0
55000,0,78,146,576,218,48,2.161,6,4,0.351,274,6,1,233,776,0,0,0,0
60000,0,78,111,611,218,48,2.161,6,4,0.351,274,6,2,251,776,0,0,0,0
65000,0,77,82,641,219,47,2.16,6,4,0.35,274,6,3,264,776,0,0,0,0
70000,0,76,59,665,220,46,2.159,6,4,0.348,274,6,2,277,776,0,0,0,0
75000,0,74,30,696,222,45,2.158,6,4,0.346,274,6,1,294,776,0,0,0,0
80000,0,74,16,710,222,45,2.158,6,4,0.346,274,6,7,301,776,0,0,0,0
