t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,547,63,4,186,20,54,2.378,6,2,0.452,68,7,288,76,229,0,0,0,0,0
10000,85,164,4,547,87,154,2.232,6,2,0.32,235,8,281,248,691,0,0,0,0,0
15000,2,191,0,607,92,177,2.208,6,2,0.295,263,8,300,278,774,0,0,0,0,0
20000,1,190,0,609,94,176,2.207,6,2,0.294,264,8,300,279,775,0,0,0,0,0
25000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
30000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
35000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
40000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
45000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
50000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
55000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
60000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
65000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
70000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
75000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
80000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
85000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
90000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
95000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
100000,0,191,0,609,93,177,2.207,6,2,0.294,264,8,300,279,776,0,0,0,0,0
