t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays
5000,683,20,59,38,17,14,2.471,6,2,0.523,25,2,3,14,93,0,0,0,0
10000,564,30,149,57,50,23,2.34,6,3,0.541,67,3,2,33,212,0,0,0,0
15000,440,51,231,78,73,39,2.397,6,3,0.558,107,3,0,54,336,0,0,0,0
20000,353,68,277,102,90,51,2.189,6,3,0.35,137,3,1,78,423,0,0,0,0
25000,219,80,371,130,126,62,2.238,6,5,0.475,184,4,1,105,557,0,0,0,0
30000,122,89,440,149,153,65,2.235,6,6,0.493,218,4,1,124,654,0,0,0,0
35000,69,102,455,174,151,76,2.245,6,7,0.613,230,4,0,149,707,0,0,0,0
40000,30,110,459,201,156,77,2.256,6,8,0.694,239,4,0,176,746,0,0,0,0
45000,12,114,452,222,155,78,2.258,6,8,0.698,241,4,0,197,764,0,0,0,0
50000,2,117,434,247,153,79,2.255,6,8,0.7,241,4,0,222,774,0,0,0,0
55000,0,115,416,269,154,75,2.266,6,8,0.683,241,4,0,244,776,0,0,0,0
60000,0,112,403,285,157,72,2.261,6,8,0.673,241,4,0,260,776,0,0,0,0
65000,0,109,381,310,160,69,2.275,6,9,0.758,242,4,1,285,776,0,0,0,0
70000,0,108,362,330,161,68,2.273,6,9,0.754,242,4,1,305,776,0,0,0,0
75000,0,105,342,353,164,65,2.268,6,9,0.743,242,4,0,328,776,0,0,0,0
80000,0,104,328,368,165,64,2.267,6,9,0.74,242,4,0,343,776,0,0,0,0
85000,0,104,310,386,165,64,2.267,6,9,0.74,242,4,1,361,776,0,0,0,0
