t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,680,18,66,36,15,14,2.533,6,2,0.567,23,1,4,12,96,0,0,0,0,0
10000,582,32,132,54,36,24,2.333,6,2,0.414,54,2,1,30,194,0,0,0,0,0
15000,489,43,196,72,61,31,2.459,6,2,0.514,86,3,1,48,287,0,0,0,0,0
20000,377,70,254,99,77,49,2.519,6,2,0.557,120,3,1,75,399,0,0,0,0,0
25000,261,90,313,136,96,71,2.333,6,2,0.414,161,3,2,112,515,0,0,0,0,0
30000,168,107,371,154,116,85,2.31,6,2,0.394,195,3,0,130,608,0,0,0,0,0
35000,89,113,420,178,138,95,2.203,6,2,0.289,227,3,1,154,687,0,0,0,0,0
40000,38,118,439,205,155,99,2.129,6,2,0.206,248,3,1,180,738,0,0,0,0,0
45000,11,130,432,227,150,111,2.133,6,2,0.211,255,3,0,202,765,0,0,0,0,0
50000,3,132,422,243,152,112,2.132,6,2,0.209,258,3,0,218,773,0,0,0,0,0
55000,0,133,406,261,152,113,2.132,6,2,0.209,259,3,0,236,776,0,0,0,0,0
60000,0,133,390,277,152,113,2.132,6,2,0.209,259,3,0,252,776,0,0,0,0,0
65000,0,133,368,299,152,113,2.132,6,2,0.209,259,3,1,273,776,0,0,0,0,0
70000,0,133,347,320,152,113,2.132,6,2,0.209,259,3,0,294,776,0,0,0,0,0
75000,0,133,326,341,152,113,2.132,6,2,0.209,259,3,2,315,776,0,0,0,0,0
80000,0,133,305,362,152,113,2.132,6,2,0.209,259,3,0,336,776,0,0,0,0,0
85000,0,133,285,382,152,113,2.132,6,2,0.209,259,3,3,356,776,0,0,0,0,0
90000,0,133,260,407,152,113,2.132,6,2,0.209,259,3,0,381,776,0,0,0,0,0
95000,0,133,238,429,152,113,2.132,6,2,0.209,259,3,0,403,776,0,0,0,0,0
100000,0,133,214,453,152,113,2.132,6,2,0.209,259,3,1,426,776,0,0,0,0,0
