t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
10000,821,64,279,116,11,20,9.903,10,7,2.466,49,2,1,37,595,134,0,0,51,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,740,97,311,132,5,32,9.811,10,8,2.397,84,3,0,71,887,203,0,0,115,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,788,93,273,126,10,27,9.351,10,10,2.512,123,3,1,106,1096,253,0,0,196,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,882,94,181,123,5,21,9.077,10,8,2.38,150,3,1,144,1272,306,0,0,276,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,869,89,187,135,4,19,9.913,10,5,1.93,163,3,0,176,1393,340,0,0,314,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,837,81,239,123,8,22,9.067,10,7,2.273,198,3,1,208,1635,405,0,0,378,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,796,79,282,123,14,20,8.824,10,9,2.387,224,4,0,228,1828,453,0,0,428,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,816,89,259,116,8,23,9.742,10,6,1.921,251,4,0,265,2022,495,0,0,499,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,844,98,203,135,2,23,9.92,10,6,1.984,265,4,1,297,2141,528,0,0,546,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,754,125,237,164,6,23,9.759,10,6,2.063,276,4,1,335,2313,579,0,0,578,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,766,124,219,171,4,24,9.214,10,11,2.749,306,4,0,371,2495,627,0,0,653,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,748,119,242,171,4,23,8.704,10,9,2.804,329,4,0,401,2665,673,0,0,711,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
