t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
10000,823,61,278,118,8,28,9.833,10,7,2.443,36,1,0,36,445,101,0,0,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,810,70,291,109,11,28,9.769,10,7,2.209,69,2,1,61,665,149,0,0,64,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,858,84,229,109,6,26,10,10,4,1.705,96,2,1,98,833,189,0,0,125,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,915,77,186,102,7,18,9.68,10,5,1.779,115,2,0,128,955,226,0,0,187,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,872,84,211,113,8,21,9.448,10,6,2.055,127,2,1,157,1085,261,0,0,215,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,844,86,230,120,6,21,10,10,4,1.701,138,2,0,185,1222,296,0,0,248,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,865,103,181,131,1,22,9.696,10,5,2.015,146,2,1,218,1343,331,0,0,289,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,863,99,172,146,2,22,9.042,10,8,2.551,162,2,0,256,1463,363,0,0,332,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,785,103,237,155,3,27,9.9,10,7,2.449,184,2,0,281,1627,408,0,0,367,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,686,121,299,174,5,31,9.972,10,7,2.464,201,3,0,306,1819,460,0,0,400,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,770,112,254,144,3,32,9.171,10,10,2.849,237,3,1,333,1973,500,0,0,482,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,757,122,238,163,3,30,9.788,10,7,2.435,253,4,0,363,2100,536,0,0,522,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
