t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
25000,460,0,1,51,2,4,4.667,6,5,2.252,7,2,59,35,316,313,2,0,3,4,0,283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,790,766,0,0,0
50000,148,7,0,357,97,33,2.208,6,8,2.059,246,12,57,529,11768,11739,8,0,98,99,0,11241,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3467,3401,1,0,0
75000,122,7,6,377,95,40,2.207,6,10,1.871,416,14,48,881,24277,24223,18,0,261,265,0,23401,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8574,8489,1,0,0
100000,117,4,4,387,101,34,2.281,6,12,2.201,544,15,53,1159,36353,36261,30,0,395,397,0,35212,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13587,13505,1,0,0
125000,148,8,5,351,73,38,2.432,6,12,2.527,663,16,51,1424,47840,47715,36,0,543,549,0,46427,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19394,19305,2,0,0
150000,118,5,0,389,87,36,2.48,6,13,2.809,789,17,60,1723,58844,58689,41,0,664,689,0,57146,7,0,0,0,0,0,0,0,0,0,0,0,0,0,26514,26428,3,0,0
175000,139,8,3,362,89,30,2.462,6,13,2.86,912,18,56,2016,70966,70784,49,0,808,866,0,68970,7,0,0,0,0,0,0,0,0,0,0,0,0,0,33489,33416,4,0,0
200000,135,6,2,369,90,32,2.393,6,13,2.591,1041,19,51,2309,82343,82144,53,0,940,1020,0,80052,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40579,40495,4,0,0
225000,120,3,5,384,84,37,2.438,6,14,2.748,1180,20,56,2624,93935,93706,60,0,1078,1181,0,91331,7,0,0,0,0,0,0,0,0,0,0,0,0,0,46808,46707,5,0,0
250000,124,4,3,381,88,34,2.443,6,13,2.86,1310,22,56,2931,105928,105674,65,0,1224,1347,0,103015,7,0,0,0,0,0,0,0,0,0,0,0,0,0,53632,53535,6,0,0
275000,129,6,6,371,89,32,2.479,6,14,3.013,1443,24,57,3234,117162,116886,73,0,1371,1510,0,113940,7,0,0,0,0,0,0,0,0,0,0,0,0,0,60277,60188,6,0,0
300000,129,3,1,379,89,30,2.487,6,15,3.042,1575,24,59,3539,129463,129164,78,0,1511,1670,0,125943,9,0,0,0,0,0,0,0,0,0,0,0,0,0,67898,67805,6,0,0
325000,122,3,5,382,76,37,2.513,6,15,3.071,1709,26,50,3852,141765,141429,84,0,1654,1832,0,137928,9,0,0,0,0,0,0,0,0,0,0,0,0,0,75582,75469,9,0,0
350000,129,7,6,370,75,35,2.555,6,16,3.154,1831,29,52,4138,152408,152041,90,0,1795,1990,0,148278,10,0,0,0,0,0,0,0,0,0,0,0,0,0,83072,82963,9,0,0
375000,145,10,3,354,65,39,2.538,7,15,3.007,1953,29,53,4434,163600,163199,97,0,1938,2159,0,159176,10,0,0,0,0,0,0,0,0,0,0,0,0,0,89742,89634,9,0,0
400000,97,5,4,405,88,35,2.52,7,14,2.736,2086,30,56,4743,174875,174451,102,0,2060,2292,0,170143,10,0,0,0,0,0,0,0,0,0,0,0,0,0,96745,96630,10,0,0
425000,145,2,4,361,72,31,2.602,6,16,3.006,2199,30,55,5011,185983,185519,110,0,2208,2452,0,180991,10,0,0,0,0,0,0,0,0,0,0,0,0,0,103095,102984,11,0,0
450000,121,8,2,381,77,37,2.526,6,15,2.851,2333,32,50,5314,197176,196692,120,0,2343,2607,0,191873,10,0,0,0,0,0,0,0,0,0,0,0,0,0,110170,110057,14,0,0
475000,139,6,2,365,75,34,2.56,6,16,2.89,2457,34,55,5605,208757,208251,124,0,2490,2760,0,203167,11,0,0,0,0,0,0,0,0,0,0,0,0,0,117307,117201,15,0,0
500000,136,7,5,364,64,38,2.667,6,15,3.026,2578,35,56,5899,219819,219287,132,0,2631,2913,0,213933,11,0,0,0,0,0,0,0,0,0,0,0,0,0,124504,124387,17,0,0
