t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
25000,112,12,1,387,21,35,4.536,7,17,3.261,95,7,51,469,6255,6240,1,0,35,71,0,5773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5806,5700,1,0,0
50000,63,15,4,430,30,39,4.29,7,21,3.825,165,8,56,787,15203,15160,3,0,123,255,0,14393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14095,13990,2,0,0
75000,56,25,0,431,27,39,4.515,7,17,3.707,233,10,56,1120,24007,23940,4,0,231,478,0,22856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25176,25069,3,0,0
100000,82,10,1,419,19,37,4.786,7,21,3.949,304,12,52,1423,31970,31884,8,0,323,703,0,30530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34293,34184,4,0,0
125000,79,21,1,411,25,34,4.644,7,22,4.09,373,14,53,1742,41849,41732,10,0,427,929,0,40076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42373,42272,6,0,0
150000,79,16,3,414,29,35,4.328,7,22,4.05,448,15,54,2083,50672,50525,13,0,520,1173,0,48558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51681,51572,9,0,0
175000,71,17,3,421,35,32,4.284,7,28,4.465,521,18,59,2406,60122,59947,17,0,618,1395,0,57678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60637,60537,15,0,0
200000,73,11,2,426,42,34,4.105,7,26,4.283,601,19,54,2735,70424,70220,19,0,723,1616,0,67660,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69321,69227,15,0,0
225000,94,19,4,395,42,32,3.811,7,27,4.292,685,21,57,3066,81093,80857,22,0,839,1861,0,77986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78553,78473,17,0,0
250000,79,11,3,419,41,35,3.75,7,26,4.219,767,22,56,3376,90184,89922,25,0,933,2057,0,86774,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87641,87538,17,0,0
275000,77,14,2,419,47,34,3.852,7,26,4.207,857,24,58,3730,100011,99717,28,0,1056,2293,0,96241,2,0,0,0,0,0,0,0,0,0,0,0,0,0,97926,97834,17,0,0
300000,81,17,2,412,46,33,3.873,7,26,4.295,946,27,56,4068,109958,109641,34,0,1172,2518,0,105850,2,0,0,0,0,0,0,0,0,0,0,0,0,0,106725,106645,21,0,0
325000,92,15,2,403,31,38,4.116,7,21,4.027,1019,28,52,4376,119196,118862,36,0,1283,2725,0,114775,2,0,0,0,0,0,0,0,0,0,0,0,0,0,118028,117927,24,0,0
350000,76,12,2,422,29,41,4.286,7,20,4.007,1100,30,53,4700,128636,128278,39,0,1381,2932,0,123895,2,0,0,0,0,0,0,0,0,0,0,0,0,0,126671,126568,24,0,0
375000,74,15,2,421,38,37,4.053,7,20,3.876,1188,32,54,5072,138307,137923,41,0,1501,3185,0,133189,2,0,0,0,0,0,0,0,0,0,0,0,0,0,136500,136390,26,0,0
400000,123,6,0,383,31,31,4.081,7,19,3.88,1259,33,57,5351,147129,146726,42,0,1599,3402,0,141742,2,0,0,0,0,0,0,0,0,0,0,0,0,0,144935,144828,28,0,0
425000,101,13,0,398,44,37,3.654,7,20,3.883,1368,35,54,5746,158396,157971,49,0,1732,3651,0,152610,2,0,0,0,0,0,0,0,0,0,0,0,0,0,155450,155354,29,0,0
450000,114,10,3,385,40,35,3.613,8,23,3.913,1473,36,56,6122,169791,169340,57,0,1872,3900,0,163634,4,0,0,0,0,0,0,0,0,0,0,0,0,0,164979,164872,29,0,0
475000,72,13,1,426,42,38,3.737,8,23,3.977,1585,40,49,6525,179729,179249,61,0,1994,4143,0,173163,4,0,0,0,0,0,0,0,0,0,0,0,0,0,173687,173572,32,0,0
500000,115,13,2,382,41,35,3.697,8,22,3.746,1678,41,52,6850,190869,190359,67,0,2127,4387,0,183974,5,0,0,0,0,0,0,0,0,0,0,0,0,0,182449,182349,33,0,0
