t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
25000,91,35,1,385,38,28,5.061,6,21,3.787,100,5,50,607,10629,10607,1,0,64,186,0,9980,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
50000,70,22,1,419,59,20,4.671,6,25,4.236,190,8,51,1062,21902,21852,5,0,177,499,0,20806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
75000,108,28,1,375,55,25,4.287,6,27,4.375,282,9,53,1501,34539,34454,6,0,313,849,0,32995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
100000,94,15,3,400,86,14,3.77,6,26,4.027,402,10,47,2004,48339,48222,9,0,452,1192,0,46299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
125000,88,28,3,393,72,25,3.701,6,24,3.929,526,13,52,2515,62371,62213,12,0,616,1546,0,59802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
150000,93,23,6,390,85,18,3.65,6,25,3.922,661,15,52,3013,76887,76681,17,0,783,1883,0,73818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
175000,94,21,1,396,82,20,3.676,6,27,3.95,794,16,50,3539,90282,90039,21,0,949,2240,0,86690,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
200000,87,17,2,406,93,16,3.569,6,28,3.874,915,18,54,3998,105418,105134,28,0,1088,2552,0,101370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
225000,97,22,5,388,89,21,3.382,6,24,3.689,1044,21,50,4459,119666,119346,33,0,1248,2872,0,115149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
250000,95,28,2,387,87,26,3.292,5,20,3.537,1209,22,43,5031,135752,135407,34,0,1435,3259,0,130653,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
275000,100,25,7,380,87,25,3.295,5,17,3.538,1359,22,43,5541,151629,151245,37,0,1615,3604,0,146009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
300000,93,13,3,403,103,13,3.397,5,18,3.667,1511,23,48,6056,168055,167626,40,0,1787,3925,0,161931,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
325000,93,19,2,398,99,17,3.259,5,17,3.643,1664,25,48,6575,184284,183819,41,0,1974,4264,0,177625,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
350000,95,15,6,396,97,14,3.486,5,16,3.646,1804,26,45,7054,199891,199387,45,0,2142,4584,0,192745,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
375000,87,29,7,389,86,26,3.339,5,15,3.604,1962,30,52,7608,216323,215788,51,0,2327,4964,0,208601,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
400000,89,25,4,394,88,23,3.414,6,20,3.894,2111,30,51,8136,232138,231556,57,0,2508,5310,0,223886,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
425000,89,23,2,398,89,19,3.537,6,21,3.908,2237,33,51,8599,246094,245474,59,0,2660,5619,0,237378,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
450000,105,18,0,389,94,17,3.387,6,22,3.729,2383,35,54,9125,261099,260452,66,0,2834,5983,0,251864,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
475000,102,19,7,384,96,17,3.274,5,18,3.619,2523,36,45,9611,275864,275176,72,0,3000,6307,0,266139,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
500000,110,21,10,371,88,20,3.333,6,17,3.64,2674,37,48,10153,291630,290904,78,0,3193,6670,0,281357,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
