t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
25000,74,29,5,404,59,24,4.386,7,23,4.074,129,6,53,656,11198,11165,4,0,89,188,0,10506,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
50000,84,23,5,400,60,19,4.696,7,23,4.062,224,8,53,1104,23074,23006,6,0,213,516,0,21937,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
75000,92,19,4,397,58,18,4.882,7,27,4.162,304,8,48,1504,35035,34938,8,0,324,814,0,33497,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
100000,74,28,2,408,60,26,4.337,7,29,4.209,398,9,48,1947,47107,46979,9,0,440,1130,0,45117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
125000,81,19,4,408,72,17,4.225,7,26,4.173,493,11,52,2372,59039,58880,13,0,564,1435,0,56626,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
150000,69,20,4,419,77,18,4.147,8,31,4.64,591,12,53,2828,72438,72244,18,0,698,1744,0,69564,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
175000,59,20,5,428,82,19,4.02,8,30,4.537,683,14,52,3220,84149,83920,22,0,824,2006,0,80878,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
200000,85,18,6,403,79,14,3.989,8,26,4.229,795,14,50,3724,95763,95500,26,0,971,2388,0,91987,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
225000,77,23,8,404,72,17,4.247,8,26,4.418,906,16,47,4219,108594,108297,29,0,1122,2732,0,104314,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
250000,79,24,8,401,70,20,4.022,8,27,4.23,1020,17,50,4740,121087,120757,30,0,1289,3100,0,116269,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
275000,95,27,2,388,73,22,3.8,8,20,3.724,1134,17,49,5222,134377,134010,34,0,1438,3452,0,129076,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
300000,88,24,4,396,75,20,3.863,7,17,3.678,1261,19,44,5751,148126,147720,34,0,1594,3818,0,142289,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
325000,97,23,2,390,70,17,4.138,7,18,3.648,1385,21,48,6280,162881,162436,37,0,1765,4186,0,156511,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
350000,117,16,3,376,70,14,4.107,7,20,3.908,1496,22,52,6785,175819,175343,39,0,1926,4547,0,168944,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
375000,79,21,1,411,72,18,4.278,7,25,4.248,1597,24,49,7228,188804,188287,43,0,2053,4832,0,181480,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
400000,90,21,5,396,79,16,3.926,7,26,4.014,1710,27,45,7718,201231,200679,50,0,2207,5182,0,193414,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
425000,69,26,4,413,79,20,3.909,7,23,4.212,1814,27,48,8166,213703,213116,52,0,2343,5479,0,205429,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
450000,104,17,5,386,90,16,3.387,7,23,3.773,1943,29,53,8657,227798,227169,61,0,2507,5837,0,219044,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
475000,102,26,6,378,70,25,3.705,7,22,3.913,2083,30,53,9154,242975,242309,66,0,2684,6173,0,233705,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
500000,97,31,1,383,82,24,3.434,7,20,3.38,2213,33,52,9618,257299,256600,69,0,2836,6483,0,247559,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
