t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,172,27,4,197,14,17,5.484,7,6,1.852,29,4,83,199,2219,6,2,408,5,16,0,1990,0,59,0,0,13,45,5,7,0,0,0,0
20000,64,19,1,316,42,14,5.196,7,11,2.525,73,7,85,430,5765,16,4,482,38,97,0,5314,0,124,0,0,18,31,4,4,0,0,0,0
30000,62,28,2,308,41,18,4.678,7,14,3.203,97,8,97,552,9052,25,4,545,76,186,0,8468,0,191,0,0,19,28,4,14,0,0,0,0
40000,83,18,1,298,44,15,4.542,7,18,3.398,127,9,98,711,12705,35,5,622,122,305,0,11972,0,269,0,0,21,22,13,10,2,0,0,1
50000,80,23,1,296,40,19,4.508,7,16,3.198,157,9,96,864,16499,42,7,693,163,418,0,15609,0,338,0,0,20,24,4,10,0,0,0,0
60000,70,18,1,311,47,15,4.548,7,18,3.467,187,9,91,1012,19677,48,11,776,204,510,0,18649,1,417,0,0,23,16,11,4,2,0,0,1
70000,74,16,2,308,58,15,3.877,6,14,3.222,224,11,92,1170,24106,56,11,839,249,625,0,22921,1,493,0,0,23,20,4,8,1,0,0,0
80000,63,18,0,319,65,15,3.663,7,16,3.514,261,12,94,1316,27796,63,13,897,294,712,0,26466,1,552,0,0,21,20,5,8,3,0,0,1
90000,95,12,0,293,69,11,3.487,6,16,3.364,300,12,97,1452,31953,71,13,962,344,822,0,30489,1,619,0,0,24,15,8,10,2,0,0,1
100000,116,16,2,266,64,12,3.316,6,13,3.111,348,12,92,1625,36728,87,15,1037,409,950,0,35086,1,701,0,0,24,13,7,6,0,0,0,0
110000,96,15,2,287,71,14,3.2,6,14,3.116,398,12,92,1810,41441,96,16,1097,460,1061,0,39615,1,761,0,0,25,13,8,9,0,0,0,0
120000,61,19,0,320,74,17,3.231,6,13,3.122,447,12,93,1993,46137,107,17,1163,510,1156,0,44126,1,834,0,0,23,16,8,6,5,0,0,2
130000,98,12,0,290,78,12,3.044,5,12,2.982,497,12,93,2145,50859,123,18,1233,572,1271,0,48704,1,917,0,0,21,21,8,12,2,0,0,1
140000,114,15,3,268,80,14,2.798,5,14,3.062,557,13,96,2317,56124,133,22,1316,639,1394,0,53794,1,998,0,0,25,15,17,11,6,0,0,2
150000,117,8,0,275,86,8,2.851,4,13,3.003,621,14,97,2514,61676,144,23,1378,710,1509,0,59160,1,1064,0,0,23,18,7,10,1,0,0,0
