t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
5000,631,35,14,120,28,32,2.167,6,5,0.648,69,6,262,132,183,2,1,1,15,0,3,0,0,0,0,0,0,0,0,0,0,0
10000,203,126,20,451,94,117,2.171,6,9,1.399,317,9,260,629,817,17,11,12,110,0,6,0,0,0,0,0,0,0,0,0,0,0
15000,111,156,15,518,89,135,2.281,6,14,1.934,487,11,264,999,1281,34,22,29,283,0,6,0,0,0,0,0,0,0,0,0,0,0
20000,94,157,13,536,91,129,2.409,7,18,2.38,625,12,267,1302,1657,46,27,46,447,0,7,0,0,0,0,0,0,0,0,0,0,0
25000,81,180,5,534,65,142,2.459,7,23,2.571,728,12,278,1541,1970,52,34,64,587,0,7,0,0,0,0,0,0,0,0,0,0,0
30000,86,179,10,525,59,127,2.645,9,28,2.912,821,12,285,1769,2246,56,39,91,727,0,7,0,0,0,0,0,0,0,0,0,0,0
35000,73,183,5,539,52,128,2.739,10,28,3.096,911,13,274,2002,2514,63,42,116,866,0,7,0,0,0,0,0,0,0,0,0,0,0
40000,58,181,6,555,40,122,2.981,10,29,3.443,981,14,286,2209,2743,67,46,149,989,0,7,0,0,0,0,0,0,0,0,0,0,0
45000,66,184,4,546,35,116,3.073,8,29,3.527,1038,14,284,2365,2929,71,47,165,1092,0,7,0,0,0,0,0,0,0,0,0,0,0
50000,48,191,1,560,35,118,3.124,10,34,3.65,1087,14,283,2508,3095,73,48,188,1186,0,7,0,0,0,0,0,0,0,0,0,0,0
55000,63,186,6,545,37,102,3.324,11,36,3.845,1137,14,285,2655,3268,78,52,210,1293,0,7,0,0,0,0,0,0,0,0,0,0,0
60000,60,185,1,554,26,102,3.656,11,39,4.257,1187,15,282,2811,3445,85,55,228,1392,0,7,0,0,0,0,0,0,0,0,0,0,0
65000,46,182,1,571,22,105,3.898,12,41,4.415,1227,15,280,2956,3599,89,58,250,1484,0,7,0,0,0,0,0,0,0,0,0,0,0
70000,46,190,1,563,15,102,4.06,12,42,4.641,1249,15,292,3052,3711,91,59,276,1564,0,7,0,0,0,0,0,0,0,0,0,0,0
75000,38,176,3,583,26,94,4.108,14,41,4.681,1281,16,294,3184,3844,92,61,296,1653,0,7,0,0,0,0,0,0,0,0,0,0,0
80000,35,192,2,571,19,95,4.237,14,41,4.751,1297,16,295,3270,3957,94,62,328,1738,0,7,0,0,0,0,0,0,0,0,0,0,0
85000,23,198,5,574,16,96,4.25,14,40,4.659,1311,16,294,3357,4059,97,64,353,1813,0,7,0,0,0,0,0,0,0,0,0,0,0
90000,39,196,1,564,18,89,4.318,14,40,4.557,1332,16,290,3443,4145,98,66,382,1895,0,7,0,0,0,0,0,0,0,0,0,0,0
95000,46,183,0,571,16,87,4.388,14,41,4.688,1348,17,289,3533,4227,99,68,401,1960,0,7,0,0,0,0,0,0,0,0,0,0,0
100000,31,190,1,578,18,87,4.352,14,39,4.658,1369,17,292,3622,4333,99,69,420,2027,0,7,0,0,0,0,0,0,0,0,0,0,0
