t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
5000,617,47,15,121,20,45,2.062,4,4,1.319,71,5,263,129,177,5,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0
10000,141,168,20,471,67,163,2.096,6,11,1.526,355,9,251,703,947,13,13,9,0,0,15,136,0,0,0,0,0,0,0,0,0,0
15000,74,191,7,528,65,182,2.117,7,12,1.559,521,10,262,1064,1418,23,20,21,0,0,15,303,0,0,0,0,0,0,0,0,0,0
20000,98,194,9,499,52,178,2.165,5,15,1.681,630,11,278,1285,1719,33,30,44,0,0,15,452,0,0,0,0,0,0,0,0,0,0
25000,104,206,1,489,37,187,2.152,5,13,1.599,735,11,280,1507,2019,45,33,59,0,0,15,589,0,0,0,0,0,0,0,0,0,0
30000,115,197,5,483,39,178,2.198,6,15,1.708,835,13,279,1718,2292,53,38,75,0,0,15,712,0,0,0,0,0,0,0,0,0,0
35000,108,208,7,477,32,185,2.171,4,12,1.625,915,14,282,1898,2535,61,44,94,0,0,15,835,0,0,0,0,0,0,0,0,0,0
40000,103,214,4,479,26,190,2.185,5,13,1.71,1003,15,285,2098,2785,78,52,107,0,0,15,956,0,0,0,0,0,0,0,0,0,0
45000,105,200,5,490,43,172,2.223,5,14,1.916,1100,16,276,2304,3051,88,55,135,0,0,15,1088,0,0,0,0,0,0,0,0,0,0
50000,95,202,8,495,44,176,2.2,5,14,1.896,1189,17,272,2495,3299,93,63,159,0,0,15,1212,0,0,0,0,0,0,0,0,0,0
55000,93,212,9,486,30,189,2.192,4,13,1.852,1270,17,279,2672,3547,99,70,180,0,0,15,1338,0,0,0,0,0,0,0,0,0,0
60000,113,201,4,482,30,181,2.232,6,13,1.92,1375,17,281,2899,3838,114,75,198,0,0,15,1474,0,0,0,0,0,0,0,0,0,0
65000,106,206,1,487,29,185,2.224,5,14,1.95,1476,17,272,3113,4126,129,81,221,0,0,15,1606,0,0,0,0,0,0,0,0,0,0
70000,94,197,15,494,49,176,2.209,6,14,1.877,1598,17,280,3349,4433,144,88,239,0,0,15,1750,0,0,0,0,0,0,0,0,0,0
75000,103,201,6,490,36,174,2.276,7,13,1.955,1692,17,273,3566,4711,154,93,262,0,0,16,1880,0,0,0,0,0,0,0,0,0,0
80000,111,203,6,480,32,176,2.255,5,13,2.021,1791,18,285,3777,4997,162,99,286,0,0,17,2021,0,0,0,0,0,0,0,0,0,0
85000,115,197,8,480,42,161,2.335,6,18,2.153,1899,18,281,3996,5267,170,108,306,0,0,18,2151,0,0,0,0,0,0,0,0,0,0
90000,128,193,7,472,37,161,2.328,6,20,2.163,1987,20,279,4188,5522,180,113,319,0,0,18,2279,0,0,0,0,0,0,0,0,0,0
95000,112,207,3,478,27,174,2.318,7,17,2.081,2069,23,282,4368,5756,185,124,336,0,0,18,2395,0,0,0,0,0,0,0,0,0,0
100000,145,189,12,454,38,159,2.305,6,16,2.067,2156,25,275,4557,6005,204,126,365,0,0,18,2547,0,0,0,0,0,0,0,0,0,0
