t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
5000,762,4,2,32,10,4,2.286,4,5,1.985,16,5,294,37,402,3,2,2,0,380,10,8,0,0,0,0,0,0,0,0,0,0
10000,741,3,1,55,21,3,2.292,3,5,2.037,32,5,297,76,1266,8,4,2,0,1216,15,18,0,0,0,0,0,0,0,0,0,0
15000,679,6,0,115,43,6,2.327,4,6,2.032,75,8,290,176,2647,22,9,2,0,2509,22,42,0,0,0,0,0,0,0,0,0,0
20000,584,14,3,199,72,14,2.337,4,8,2.123,131,8,280,302,4931,50,19,3,0,4671,28,68,0,0,0,0,0,0,0,0,0,0
25000,492,18,3,287,102,18,2.342,4,10,2.106,196,9,283,463,8123,78,29,4,0,7702,31,113,0,0,0,0,0,0,0,0,0,0
30000,454,29,3,314,101,28,2.419,5,12,2.153,260,11,286,617,11985,121,44,11,0,11405,32,194,0,0,0,0,0,0,0,0,0,0
35000,404,22,1,373,133,20,2.379,5,13,2.152,317,11,286,760,15935,145,61,15,0,15233,35,257,0,0,0,0,0,0,0,0,0,0
40000,408,24,0,368,132,24,2.333,5,13,1.983,361,11,292,857,20052,197,70,19,0,19262,39,324,0,0,0,0,0,0,0,0,0,0
45000,365,24,2,409,146,24,2.359,4,12,2.192,403,11,285,976,24308,236,88,24,0,23418,41,378,0,0,0,0,0,0,0,0,0,0
50000,383,23,3,391,141,23,2.366,6,14,2.095,445,11,296,1070,28370,285,99,33,0,27391,42,455,0,0,0,0,0,0,0,0,0,0
55000,377,15,2,406,156,14,2.382,5,14,2.166,496,11,287,1184,32762,330,115,36,0,31693,45,516,0,0,0,0,0,0,0,0,0,0
