t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,497,1,6,8,6,1,2,2,3,1.449,19,3,6,31,826,10,1,0,7,9,1,782,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,492,0,7,13,10,0,2,2,3,1.295,44,6,5,66,1894,18,1,0,14,16,1,1809,8,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,502,0,1,9,5,0,2,2,2,0.971,66,8,11,103,3004,24,2,0,21,23,1,2882,12,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,500,0,3,9,6,0,2,2,2,0.65,85,8,9,133,3639,28,2,0,24,26,1,3489,17,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,506,0,1,5,3,0,2,2,2,0.918,103,9,9,164,4291,34,2,0,35,37,1,4109,20,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,506,0,1,5,3,0,2,2,2,0.918,113,12,8,182,4781,41,2,0,37,39,1,4583,22,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,510,0,0,2,1,0,2,2,1,0,118,14,11,193,5055,44,2,0,38,40,1,4851,25,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,502,0,2,8,5,0,2,2,2,0.971,128,14,9,211,5431,45,3,0,42,44,1,5213,29,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,506,0,1,5,3,0,2,2,3,1.585,136,15,8,225,5827,50,3,0,49,51,1,5605,35,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,512,0,0,0,0,0,0,0,0,0,140,15,12,234,6107,53,3,0,50,52,1,5879,36,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,501,1,3,7,4,1,2,2,3,1.371,160,15,6,267,6810,60,3,0,56,58,1,6549,41,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,504,0,4,4,4,0,2,2,3,1.5,168,15,12,282,7175,61,3,0,58,60,1,6907,48,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,497,1,4,10,6,1,2,2,2,0.863,189,15,8,316,7832,63,4,0,65,66,1,7532,52,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,512,0,0,0,0,0,0,0,0,0,200,15,12,334,8286,64,4,0,74,75,1,7974,58,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,508,0,0,4,2,0,2,2,2,1,205,15,10,343,8346,64,4,0,76,77,1,8034,63,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,508,0,0,4,2,0,2,2,2,1,213,15,10,360,8689,69,4,0,81,82,1,8369,68,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,500,0,1,11,6,0,2,2,3,1.252,231,15,7,388,9498,76,4,0,86,87,1,9150,72,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,508,0,0,4,2,0,2,2,2,1,238,15,9,403,9988,81,4,0,94,94,1,9636,77,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,508,0,0,4,2,0,2,2,2,1,244,15,10,416,10233,83,4,0,97,97,1,9879,83,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,508,0,2,2,2,0,2,2,1,0,250,15,10,426,10350,83,4,0,100,100,1,9994,88,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,506,0,1,5,3,0,2,2,2,0.918,259,15,10,442,10605,86,4,0,103,103,1,10239,95,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,506,0,0,6,3,0,2,2,2,0.918,273,15,9,463,11244,89,4,0,109,108,1,10855,98,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,508,0,0,4,2,0,2,2,1,0,287,15,7,486,11701,94,4,0,115,114,1,11295,104,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,506,0,1,5,3,0,2,2,1,0,296,15,9,500,12168,99,4,0,117,116,1,11747,106,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,508,0,0,4,2,0,2,2,2,1,307,15,12,520,12717,103,4,0,120,119,1,12282,110,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520000,508,0,4,0,2,0,2,2,2,1,318,15,7,537,12922,104,4,0,126,125,1,12481,120,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540000,506,0,2,4,3,0,2,2,3,1.585,327,15,10,557,13267,110,5,0,130,129,1,12815,125,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560000,504,0,0,8,4,0,2,2,3,1.5,343,15,8,584,13812,112,7,0,135,134,1,13338,127,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
