t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,451,5,16,40,11,5,3.375,6,8,2.828,22,3,3,56,1301,15,1,0,12,28,0,1221,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,381,7,51,73,29,6,3.171,6,13,3.122,54,3,1,119,4273,34,3,0,34,64,0,4073,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,388,7,51,66,30,7,2.919,5,14,3.484,94,4,1,191,7586,68,7,0,82,144,0,7275,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,397,7,43,65,29,6,2.857,5,13,3.354,129,5,0,248,11006,96,10,0,132,206,0,10601,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,376,5,66,65,44,4,2.583,5,14,3.354,179,5,0,307,14441,129,12,0,175,276,0,13910,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,401,6,43,62,36,5,2.415,5,14,3.436,215,6,1,369,18238,160,19,0,222,348,0,17627,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,402,3,42,65,42,3,2.356,5,11,3.278,256,6,2,438,22034,193,21,0,265,406,0,21328,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,393,7,47,65,39,5,2.409,5,11,3.189,301,7,0,505,26045,221,25,0,315,471,0,25225,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,410,5,36,61,30,4,2.706,5,13,3.514,337,8,2,575,29262,247,29,0,370,540,0,28349,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,402,4,40,66,36,4,2.575,5,16,3.694,386,9,0,647,32812,270,33,0,414,612,0,31785,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,392,5,45,70,34,5,2.821,5,17,3.76,420,10,2,710,36443,296,38,0,453,666,2,35323,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,367,6,59,80,41,6,2.83,5,20,4.034,464,11,1,770,40411,323,45,0,492,729,2,39176,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,396,3,53,60,35,3,2.868,4,14,3.464,516,12,1,834,44204,347,48,0,560,835,2,42824,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,389,6,40,77,34,6,2.85,5,13,3.17,555,12,0,917,47859,382,51,0,603,897,2,46369,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,436,2,31,43,27,2,2.483,4,10,2.969,589,13,2,967,51202,403,55,0,661,978,2,49624,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,422,6,29,55,26,6,2.438,5,10,2.686,629,13,3,1026,53897,418,60,0,701,1031,2,52222,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,412,2,35,63,34,2,2.667,5,11,3.161,664,13,2,1089,56965,443,62,0,738,1082,2,55200,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,391,4,53,64,38,4,2.714,4,11,3.242,708,13,0,1155,60595,469,65,0,781,1142,2,58708,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,412,1,47,52,36,1,2.676,5,14,3.548,747,13,2,1211,64007,504,68,0,830,1218,2,62021,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,407,5,42,58,34,5,2.41,5,13,3.071,783,14,1,1275,67074,525,74,0,868,1272,2,65000,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
