t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,409,6,1,96,17,6,3.783,6,7,2.138,27,5,54,90,2108,17,0,0,7,12,12,2006,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,180,23,4,305,54,17,3.972,7,19,3.425,99,8,59,343,9160,90,6,0,42,79,71,8732,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,174,15,2,321,71,13,3.512,6,24,3.913,179,9,57,599,17649,159,7,0,130,273,107,16940,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,156,14,3,339,73,12,3.694,8,31,4.328,248,9,54,843,26097,222,12,0,215,460,151,25105,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,193,19,0,300,53,16,3.942,6,24,4.152,305,9,50,1084,34355,283,13,0,314,674,181,33090,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,210,19,3,280,52,17,3.754,7,22,4.128,380,11,53,1339,42695,352,17,0,418,889,220,41132,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,217,11,1,283,68,10,3.423,6,23,3.928,455,14,58,1593,51585,414,20,0,509,1078,246,49753,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,231,13,4,264,67,12,3.241,6,20,3.755,543,14,51,1868,60753,489,25,0,611,1299,280,58609,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,214,10,2,286,72,10,3.317,6,22,3.743,624,15,50,2131,70166,558,28,0,703,1468,298,67748,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,217,9,5,281,68,9,3.584,7,25,3.965,713,18,54,2425,79312,625,32,0,812,1678,314,76580,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,174,7,0,331,86,5,3.571,7,21,3.731,802,19,58,2726,88563,695,37,0,903,1856,329,85524,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,208,11,3,290,67,11,3.577,7,21,3.802,883,21,55,3012,97591,768,40,0,1015,2099,354,94232,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,204,17,1,290,66,16,3.341,6,27,4.264,972,22,54,3308,107166,843,45,0,1122,2294,362,103504,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,179,16,2,315,73,16,3.371,6,28,4.441,1060,23,51,3630,115909,905,54,0,1229,2488,362,111927,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,165,12,10,325,85,11,3.344,6,24,4.144,1147,23,52,3912,124952,973,55,0,1324,2676,371,120672,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,164,19,3,326,81,17,3.184,6,29,4.465,1248,24,51,4258,133855,1039,61,0,1451,2905,376,129223,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,220,15,1,276,65,15,3.3,5,27,4.365,1333,24,58,4545,142955,1098,66,0,1566,3137,385,138041,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,222,15,2,273,64,15,3.329,5,28,4.41,1422,26,54,4841,151883,1165,72,0,1671,3341,391,146669,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,180,12,4,316,77,11,3.534,5,27,4.482,1511,28,53,5164,160670,1237,78,0,1767,3523,391,155139,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,188,18,1,305,60,16,3.763,5,30,4.466,1569,30,57,5406,168989,1294,82,0,1850,3698,395,163212,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,198,13,3,298,60,13,3.918,5,26,4.398,1648,31,56,5702,177591,1363,85,0,1950,3912,403,171511,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,198,15,5,294,58,14,3.875,6,28,4.574,1727,32,52,6023,185674,1423,88,0,2060,4129,404,179270,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,183,25,5,299,49,22,3.93,7,26,4.333,1799,34,56,6330,193964,1481,92,0,2155,4338,405,187244,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,197,9,3,303,68,9,3.857,8,28,4.486,1879,35,52,6642,202484,1550,97,0,2248,4561,407,195469,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,199,10,5,298,70,8,3.731,8,31,4.575,1958,37,53,6939,211111,1632,100,0,2344,4766,407,203797,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520000,182,18,4,308,62,16,3.782,7,24,4.26,2042,37,53,7265,219825,1692,104,0,2446,4984,407,212182,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540000,164,11,4,333,80,8,3.739,7,28,4.387,2124,37,53,7579,228384,1754,104,0,2543,5180,407,220430,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560000,189,17,2,304,62,14,3.75,8,31,4.498,2192,38,48,7868,236864,1810,111,0,2641,5400,407,228620,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580000,193,18,6,295,56,17,3.699,8,29,4.486,2257,39,51,8149,245184,1873,118,0,2729,5604,407,236660,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600000,197,12,5,298,66,10,3.697,8,29,4.513,2342,41,53,8462,253810,1948,120,0,2833,5812,407,244982,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620000,173,17,0,322,73,13,3.523,7,27,4.217,2418,42,54,8769,262171,2028,124,0,2925,6006,407,253037,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640000,186,13,4,309,67,12,3.835,8,32,4.719,2492,43,52,9057,270213,2090,128,0,3024,6208,407,260793,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660000,227,16,3,266,53,14,3.776,8,26,4.446,2571,43,49,9345,278801,2176,129,0,3130,6444,410,269080,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
