t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,419,4,2,87,22,3,3.56,6,7,2.129,40,5,53,123,1907,15,1,0,11,14,0,1785,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,364,9,3,136,28,9,3.432,7,10,2.598,105,8,54,360,7202,70,4,0,58,121,1,6833,7,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,331,8,3,170,48,7,3.073,6,17,3.352,195,10,53,634,13739,145,8,0,113,228,8,13085,10,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,337,7,1,167,41,6,3.468,5,10,2.665,287,11,54,925,20834,211,17,0,179,345,8,19894,13,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,331,10,3,168,42,9,3.196,5,14,3.318,362,13,54,1177,26746,278,21,0,242,468,8,25550,16,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,372,5,1,134,41,5,2.848,4,14,3.27,446,15,51,1432,32939,342,29,0,314,601,8,31502,19,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,371,6,0,135,36,5,3.244,5,9,2.689,527,16,51,1671,38877,403,32,0,375,705,8,37200,22,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,352,7,2,151,42,6,3.125,5,10,2.653,598,17,54,1901,44799,470,34,0,434,820,8,42895,27,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,340,6,3,163,43,6,3.245,4,10,2.59,666,20,59,2119,50796,540,38,0,486,910,8,48674,29,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,364,6,1,141,37,6,3.233,4,8,2.377,728,22,54,2321,56543,610,43,0,554,1034,8,54212,31,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,353,8,4,147,36,7,3.372,5,9,2.61,788,22,55,2520,62821,692,48,0,604,1124,8,60291,34,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,337,9,2,164,40,9,3.163,4,6,2.288,844,23,54,2722,68572,762,51,0,649,1205,8,65837,34,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,394,7,1,110,29,6,3.086,4,10,2.529,920,25,58,2953,74631,827,57,0,724,1330,8,71672,37,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,354,7,4,147,37,6,3.349,5,7,2.106,973,25,56,3125,79463,869,61,0,757,1394,8,76328,38,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,351,14,7,140,27,13,3.35,6,9,2.628,1028,28,54,3330,84752,924,67,0,817,1509,8,81406,40,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,378,4,2,128,31,4,3.571,6,10,2.597,1090,30,58,3546,90317,989,73,0,871,1620,8,86778,43,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,335,13,1,163,33,10,3.512,6,10,2.699,1144,31,56,3749,95877,1063,78,0,918,1700,8,92129,44,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,344,9,3,156,41,7,3.229,6,12,2.582,1215,31,59,3965,101899,1124,81,0,973,1800,8,97943,49,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,361,6,2,143,41,6,3,6,10,2.548,1278,31,55,4160,107922,1198,87,0,1026,1897,8,103784,54,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,371,1,0,139,45,1,3.022,5,9,2.327,1349,31,53,4370,113624,1255,88,0,1080,1998,8,109286,58,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,395,8,1,108,30,6,2.917,4,8,2.431,1406,32,54,4541,118858,1313,95,0,1137,2107,8,114346,61,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,386,5,0,121,36,5,2.854,4,8,2.377,1483,32,56,4758,124418,1366,98,0,1188,2191,8,119695,64,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,370,6,3,133,39,6,2.956,4,7,1.811,1556,32,47,4970,129719,1421,103,0,1241,2274,9,124776,65,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,367,7,0,138,37,7,3.023,6,9,2.483,1628,35,55,5190,135312,1485,107,0,1299,2376,9,130154,69,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,384,7,6,115,29,7,3.194,6,8,2.45,1704,37,52,5404,141645,1539,111,0,1364,2486,9,136269,71,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520000,319,6,2,185,47,6,3.434,6,12,3.095,1785,40,55,5674,147643,1614,115,0,1415,2577,9,142010,75,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540000,302,16,4,190,32,14,3.826,6,10,2.963,1851,41,57,5918,153962,1678,117,0,1472,2695,9,148078,78,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560000,298,15,1,198,35,11,4.109,6,14,3.272,1915,42,53,6195,160430,1746,119,0,1540,2859,9,154278,81,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580000,294,11,3,204,38,11,3.837,6,17,3.576,1978,45,51,6436,166907,1817,125,0,1591,2965,9,160514,82,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600000,301,9,2,200,41,8,3.776,7,12,3.066,2038,46,49,6666,172835,1863,129,0,1649,3084,9,166211,84,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620000,305,8,6,193,46,6,3.654,8,12,2.991,2103,46,49,6910,179210,1931,133,0,1712,3205,9,172345,87,1427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640000,314,11,1,186,41,10,3.51,8,15,3.252,2176,46,53,7176,186145,2007,136,0,1772,3325,9,179017,89,1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660000,317,6,5,184,48,6,3.352,7,15,3.288,2251,49,53,7421,192740,2072,143,0,1835,3452,17,185362,90,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680000,317,19,2,174,31,15,3.522,7,11,3.036,2328,52,55,7680,200220,2129,147,0,1899,3579,20,192574,93,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700000,303,13,4,192,38,11,3.694,6,11,3.028,2396,53,50,7931,206791,2195,152,0,1964,3692,20,198905,95,1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720000,343,13,6,150,31,10,3.561,6,17,3.723,2470,54,52,8186,213421,2243,162,0,2036,3852,20,205282,97,1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740000,339,12,1,160,29,11,3.775,6,15,3.495,2540,55,52,8445,220123,2303,166,0,2091,3975,20,211720,97,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760000,308,10,4,190,40,9,3.673,6,16,3.41,2616,57,57,8726,227325,2359,171,0,2151,4098,20,218635,97,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780000,318,8,4,182,44,7,3.471,6,17,3.562,2695,59,50,8997,233946,2430,172,0,2224,4247,20,224989,100,1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800000,365,8,1,138,27,7,3.853,6,15,3.456,2754,61,56,9217,240212,2491,175,0,2280,4374,20,231031,100,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
