t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,448,6,9,49,9,3,4.5,6,4,1.73,21,5,16,69,1724,15,0,1,10,10,2,1645,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,372,7,15,118,35,7,3,6,14,3.086,87,7,11,261,6085,51,4,4,46,83,2,5788,6,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,357,8,30,117,44,8,2.731,5,17,3.561,179,8,7,454,12033,99,11,9,111,183,2,11487,10,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,383,0,14,115,49,0,2.633,5,13,3.201,255,9,11,638,18144,157,15,11,178,276,2,17412,11,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,371,6,21,114,38,6,2.932,7,15,3.405,337,11,7,847,23955,217,19,16,253,388,2,22983,16,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,336,9,30,137,43,9,3.115,7,19,3.708,418,13,5,1064,30038,273,26,18,313,485,2,28818,17,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,342,6,31,133,49,5,2.944,6,18,3.823,494,13,4,1264,36110,335,30,20,378,600,2,34659,20,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,332,12,23,145,45,12,2.737,6,15,3.602,579,15,6,1485,42462,393,32,22,438,699,2,40765,22,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,328,7,37,140,51,7,2.931,6,21,3.915,670,17,5,1695,49568,452,36,25,506,802,5,47628,25,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,356,6,16,134,42,5,3.043,7,18,3.86,742,18,5,1906,55606,495,40,29,564,907,11,53436,26,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,373,4,14,121,42,4,2.913,6,16,3.656,806,20,7,2082,61706,553,43,30,623,1009,15,59327,26,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,363,5,17,127,33,5,3.5,7,22,4.126,875,20,6,2284,67085,596,51,35,696,1119,15,64480,33,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
