seed,angle,attached,steps,mode,stiffness,iters,bodyJostle,exact,other,firstExact,meanBend,faceOccupancy,supportOccupancy,docks
11,10,false,20000,bend,0.5,4,true,5,0,5688,6.628337035313696,0.21583333333333324,0,564
11,10,true,20000,bend,0.5,4,true,8,0,946,1.6629772623026464,0.2098333333333336,1,343
11,0,true,20000,bend,0.5,4,true,9,0,903,1.3986115003404949,0.15983333333333347,1,318
11,0,false,20000,bend,0.5,4,true,10,0,1372,3.5764066522982176,0.15066666666666675,0,365
11,20,false,20000,bend,0.5,4,true,0,0,,12.306193616014818,0.11833333333333343,0,1061
11,30,false,20000,bend,0.5,4,true,0,0,,18.335803938370603,0.08400000000000003,0,1106
11,20,true,20000,bend,0.5,4,true,0,0,,1.9572955279449138,0.2604999999999998,1,467
11,30,true,20000,bend,0.5,4,true,0,0,,2.024300661047624,0.07549999999999996,1,983
12,0,false,20000,bend,0.5,4,true,10,0,856,4.041194017147693,0.16016666666666685,0,449
12,10,true,20000,bend,0.5,4,true,7,0,882,1.4919738344961309,0.15449999999999997,1,399
12,10,false,20000,bend,0.5,4,true,7,0,1615,7.026125256115675,0.23349999999999987,0,498
12,0,true,20000,bend,0.5,4,true,10,0,759,1.361895135049092,0.13916666666666686,1,381
12,20,false,20000,bend,0.5,4,true,0,0,,12.66360273081964,0.08083333333333334,0,1069
12,30,false,20000,bend,0.5,4,true,0,0,,18.512983155821015,0.08,0,1050
12,20,true,20000,bend,0.5,4,true,0,0,,2.0585468778062315,0.19116666666666654,1,617
12,30,true,20000,bend,0.5,4,true,0,0,,1.9252506883400624,0.07349999999999998,1,959
