t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,418,9,25,60,15,7,3.5,6,8,2.384,27,3,3,74,1653,19,1,0,10,15,6,1549,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,410,3,38,61,30,3,2.788,7,11,2.777,80,4,2,176,5274,52,1,3,48,91,8,5015,10,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,358,8,45,101,35,8,3.116,7,14,3.24,127,5,2,296,9499,91,3,4,81,138,8,9079,10,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,353,9,56,94,43,9,2.788,7,17,3.537,196,7,1,412,14749,131,8,5,136,216,8,14142,13,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,377,5,43,87,44,4,2.646,6,17,3.56,251,9,1,523,19669,169,13,9,190,293,8,18914,14,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,371,3,38,100,50,2,2.615,6,18,3.371,324,9,1,657,25222,206,19,12,242,368,8,24280,17,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,408,4,34,66,31,4,2.857,7,14,3.235,382,11,1,761,29950,243,23,13,301,457,8,28855,20,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,369,6,42,95,38,4,3.238,7,12,3.094,433,12,0,866,34053,269,25,15,341,507,8,32809,20,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,359,6,45,102,46,5,2.745,7,15,2.954,492,12,1,977,38289,310,29,17,390,592,8,36874,21,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,369,4,45,94,49,4,2.491,7,16,2.958,552,12,2,1084,43320,341,34,18,440,667,8,41750,24,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,368,6,50,88,42,5,2.723,7,14,3.199,606,14,1,1197,48419,376,36,18,495,730,8,46700,26,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,361,4,51,96,47,3,2.9,5,15,3.36,670,15,0,1330,53523,420,42,19,546,808,8,51632,31,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,381,3,34,94,43,3,2.761,5,16,3.684,726,15,2,1455,58438,464,44,20,603,885,8,56397,37,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,406,3,18,85,37,3,2.55,5,11,3.059,787,18,3,1572,63150,495,47,21,660,973,8,60950,40,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,382,8,32,90,39,8,2.447,5,11,2.791,850,21,0,1686,67678,531,48,24,705,1030,8,65306,41,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,361,10,42,99,42,8,2.54,6,13,2.976,918,21,0,1795,72656,572,54,24,755,1096,8,70102,43,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,385,6,35,86,36,6,2.714,5,14,3.376,986,22,3,1921,77720,622,57,27,822,1191,8,74994,47,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,403,3,33,73,35,3,2.658,5,13,3.388,1039,22,2,2038,81972,663,62,28,879,1261,8,79104,51,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,398,4,39,71,36,3,2.641,5,13,3.457,1092,23,0,2131,85911,698,65,28,927,1337,8,82890,54,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,424,3,20,65,33,3,2.333,4,10,2.866,1142,23,4,2228,89919,715,67,28,970,1410,8,86779,59,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,448,3,2,59,23,3,2.346,4,12,3.35,1195,24,5,2327,93873,749,71,29,1018,1466,8,90621,64,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,466,0,11,35,20,0,2.3,3,9,2.904,1245,25,7,2407,97161,785,78,29,1063,1513,8,93802,64,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,420,6,15,71,30,5,2.4,4,8,2.743,1301,27,7,2513,100722,818,81,30,1099,1556,8,97224,65,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,402,3,28,79,39,3,2.429,6,13,3.137,1366,30,3,2621,104772,846,86,31,1144,1609,10,101121,67,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,403,5,36,68,36,5,2.439,4,11,2.867,1422,32,2,2717,108720,875,90,31,1195,1682,11,104930,70,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520000,408,3,23,78,37,3,2.525,5,12,2.963,1477,32,4,2831,113147,904,96,32,1240,1754,11,109218,74,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540000,408,5,19,80,32,5,2.568,4,10,2.486,1537,33,4,2936,117617,942,99,33,1285,1816,11,113545,77,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560000,401,4,12,95,39,4,2.465,4,14,3.042,1599,34,6,3053,122463,987,101,35,1333,1886,11,118234,78,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580000,407,2,30,73,41,2,2.349,4,9,2.698,1666,35,1,3158,127267,1025,103,35,1390,1962,11,122884,82,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600000,424,4,16,68,32,4,2.333,4,9,2.648,1721,35,3,3249,131722,1076,106,35,1449,2022,11,127213,88,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620000,396,4,27,85,40,4,2.432,6,12,3.221,1795,35,1,3378,136007,1100,111,36,1498,2083,11,131330,93,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640000,386,7,42,77,38,7,2.556,5,11,2.862,1849,37,0,3476,140325,1131,113,36,1544,2142,11,135499,98,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660000,377,4,42,89,44,4,2.688,5,15,3.369,1911,38,1,3591,145007,1160,118,37,1598,2223,11,140009,101,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680000,414,5,24,69,27,5,2.813,6,14,3.387,1964,38,4,3684,149246,1200,126,39,1651,2301,11,144105,101,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700000,424,3,37,48,34,2,2.361,5,14,3.113,2014,38,2,3774,152623,1229,133,39,1689,2363,11,147364,106,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720000,428,2,27,55,31,2,2.394,4,10,3.037,2073,39,3,3869,156452,1263,138,40,1728,2408,11,151069,107,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740000,412,4,22,74,34,4,2.5,5,13,3.098,2132,41,1,3984,160706,1296,143,40,1766,2455,11,155185,108,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760000,426,3,26,57,28,3,2.581,4,11,2.873,2184,41,1,4074,164778,1327,146,41,1809,2516,11,159132,111,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780000,419,2,19,72,35,2,2.378,5,13,3.013,2240,41,4,4173,168296,1367,148,44,1854,2584,11,162510,116,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800000,412,2,27,71,35,2,2.595,5,14,3.317,2301,43,1,4277,172747,1397,150,45,1895,2638,11,166810,117,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820000,407,0,32,73,43,0,2.442,5,13,3.332,2366,44,0,4370,177043,1428,161,47,1944,2699,11,170966,120,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840000,406,2,33,71,40,2,2.429,4,12,3.281,2426,46,6,4468,181096,1470,164,47,1993,2759,11,174873,124,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860000,412,3,26,71,36,3,2.436,4,10,2.937,2487,47,1,4568,185106,1496,170,47,2040,2816,11,178738,126,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880000,391,8,35,78,41,7,2.292,4,11,2.745,2556,48,6,4664,189188,1530,173,47,2083,2878,11,182652,128,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900000,385,3,45,79,47,3,2.44,5,16,3.231,2630,48,0,4780,193771,1570,183,50,2137,2953,12,187066,133,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920000,396,5,30,81,41,5,2.348,4,11,2.821,2690,51,0,4899,198403,1608,185,53,2185,3017,12,191558,137,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940000,394,4,33,81,41,4,2.467,5,18,3.563,2756,51,2,4998,202837,1636,192,56,2238,3082,12,195843,142,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
