t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,492,0,3,17,8,0,2.5,3,3,1.406,8,4,25,25,562,2,0,0,4,14,0,535,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,452,2,10,48,24,2,2.231,3,6,2.296,62,6,15,139,2937,24,4,0,27,48,0,2783,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,415,4,13,80,32,4,2.556,3,5,1.649,127,8,8,286,6911,65,6,0,57,76,0,6592,8,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,413,2,11,86,34,2,2.639,4,5,1.767,196,12,13,444,11238,114,10,0,92,128,0,10742,8,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,446,2,3,61,20,2,2.773,4,7,2.187,242,14,17,578,15496,172,19,0,139,200,0,14868,10,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,416,7,13,76,26,7,2.576,3,8,2.2,301,14,17,707,19348,205,22,0,171,246,0,18566,14,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,441,1,8,62,24,1,2.76,3,5,1.225,355,14,16,845,22992,239,24,0,214,309,0,22071,18,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,422,3,6,81,27,3,2.767,4,5,1.71,404,16,13,972,26416,284,27,0,249,367,0,25351,20,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,407,0,10,95,39,0,2.692,3,3,1.09,473,17,8,1126,30561,334,33,0,289,434,0,29319,23,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,409,5,6,92,30,5,2.8,3,7,1.445,533,17,10,1280,34896,383,40,0,332,503,0,33495,27,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,415,2,5,90,32,2,2.765,3,4,1.158,597,19,11,1431,39162,433,43,0,374,566,0,37592,29,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,398,3,10,101,35,3,2.842,4,6,1.29,654,22,12,1586,43452,486,52,0,418,635,0,41717,32,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,388,8,12,104,31,8,2.872,4,7,1.375,705,22,11,1733,47864,531,58,0,455,697,0,45973,34,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,373,4,14,121,49,4,2.528,4,9,2.168,781,23,8,1903,52934,579,64,0,500,763,0,50876,42,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,424,4,11,73,27,4,2.645,4,6,1.662,842,25,9,2032,57405,621,66,0,552,837,0,55196,44,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,449,3,6,54,20,3,2.522,3,3,1.209,898,26,14,2154,61066,657,73,0,590,895,1,58726,47,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,397,3,11,101,37,3,2.75,3,2,0.811,959,26,15,2297,64770,697,76,0,619,938,1,62267,48,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,386,7,8,111,33,7,2.9,4,7,1.567,1015,30,14,2445,69258,758,82,0,656,991,1,66595,52,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,373,3,26,110,48,2,2.7,4,11,2.232,1085,30,8,2601,73910,817,94,0,702,1062,1,71057,53,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,406,3,10,93,34,3,2.703,4,6,1.721,1138,31,10,2745,78608,871,100,0,747,1120,1,75609,53,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,381,1,13,117,47,1,2.708,4,5,1.506,1217,31,9,2916,83410,929,101,0,794,1187,1,80204,54,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,390,5,14,103,38,5,2.674,3,6,1.411,1275,32,9,3059,88213,990,103,0,838,1254,1,84854,59,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,429,5,5,73,23,5,2.679,3,2,0.906,1332,33,18,3202,92377,1041,104,0,886,1333,1,88868,62,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,411,2,10,89,33,2,2.771,3,7,1.656,1386,35,11,3341,96328,1074,107,0,923,1383,1,92662,63,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,396,7,3,106,32,7,2.769,4,5,1.498,1445,36,11,3493,100920,1120,112,0,962,1441,1,97092,66,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520000,432,4,4,72,24,4,2.679,3,4,1.397,1500,37,14,3621,105530,1161,116,0,1007,1509,1,101553,66,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540000,420,2,15,75,31,2,2.697,4,5,1.556,1562,38,6,3756,109267,1192,119,0,1044,1561,1,105128,70,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560000,413,4,10,85,31,4,2.6,4,6,1.959,1619,39,10,3895,113133,1231,120,0,1078,1608,1,108847,75,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580000,394,5,16,97,37,5,2.595,3,7,1.89,1679,40,8,4032,117453,1271,121,0,1117,1658,1,112998,75,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600000,408,6,7,91,30,6,2.583,3,5,1.748,1742,43,8,4186,121968,1311,128,0,1167,1726,1,117346,76,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620000,409,2,14,87,38,2,2.525,3,6,1.772,1816,45,9,4338,126508,1360,130,0,1208,1792,1,121704,78,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640000,411,8,7,86,23,8,2.871,4,7,2.083,1871,45,13,4483,130782,1398,135,0,1246,1848,1,125824,80,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660000,383,2,17,110,46,2,2.604,3,6,1.777,1940,46,10,4636,135317,1447,139,0,1278,1897,1,130175,81,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680000,382,4,18,108,43,4,2.66,4,7,1.832,2014,48,6,4815,140149,1505,142,0,1331,1971,1,134805,84,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700000,413,0,6,93,38,0,2.605,4,8,2.152,2085,50,10,4990,145209,1554,147,0,1389,2059,1,139680,89,1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720000,408,3,13,88,36,3,2.564,4,10,2.695,2158,51,11,5152,149799,1595,151,0,1432,2130,1,144080,90,1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740000,413,7,11,81,26,7,2.697,3,6,1.505,2230,52,9,5313,154476,1644,157,0,1483,2198,1,148561,92,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760000,406,3,17,86,37,3,2.575,4,7,2.265,2312,52,6,5496,159024,1693,162,0,1526,2265,1,152907,93,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780000,407,5,7,93,34,5,2.538,3,7,2.188,2376,52,13,5645,163360,1726,164,0,1561,2318,1,157087,98,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800000,394,5,14,99,38,5,2.558,3,8,2.027,2454,53,10,5821,168368,1774,167,0,1606,2375,1,161888,100,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820000,388,10,7,107,28,10,2.789,4,5,1.521,2521,54,11,5993,172737,1825,172,0,1647,2436,1,166072,101,1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840000,396,10,10,96,27,10,2.73,3,5,1.209,2575,55,12,6132,177102,1878,176,0,1691,2505,1,170285,103,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860000,385,5,12,110,40,5,2.667,4,8,1.818,2632,57,9,6273,181929,1952,182,0,1726,2553,1,174979,108,1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880000,402,2,23,85,36,2,2.789,4,4,1.228,2705,57,8,6430,186552,2012,182,0,1774,2624,1,179411,112,1859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900000,395,7,16,94,31,7,2.789,4,3,1.105,2762,59,13,6586,190833,2062,187,0,1817,2689,1,183522,115,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920000,395,7,6,104,30,7,2.838,4,7,1.426,2820,61,12,6748,195014,2120,194,0,1866,2760,1,187547,120,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940000,388,4,16,104,39,4,2.721,4,9,1.841,2882,63,10,6901,199512,2164,205,0,1909,2825,1,191886,127,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960000,418,4,5,85,28,4,2.719,4,6,1.695,2929,63,12,7030,204042,2216,207,0,1952,2892,1,196278,130,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980000,385,5,8,114,40,5,2.644,3,6,1.835,3002,64,11,7202,208774,2283,213,0,1995,2946,1,200825,134,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,406,6,6,94,29,6,2.743,3,3,1.059,3063,64,12,7346,213268,2326,214,0,2050,3028,1,205147,137,2103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
