t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,442,3,8,59,10,3,4.769,6,5,2.046,19,4,17,83,1444,10,1,0,10,29,0,1354,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,312,10,40,150,30,9,4.538,7,14,3.454,66,5,4,263,5817,38,6,0,50,112,3,5480,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,249,17,45,201,37,16,4.075,7,19,3.849,126,6,1,488,12136,97,7,0,118,271,5,11516,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,235,18,37,222,43,13,4.214,7,20,3.996,177,7,1,695,18842,153,10,0,182,424,6,17992,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,227,16,35,234,59,11,3.571,8,22,3.905,237,8,7,904,25512,217,15,0,253,587,6,24427,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,233,13,46,220,61,12,3.466,8,19,3.725,315,9,5,1128,33361,275,18,0,338,783,6,32004,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,217,17,68,210,60,14,3.446,8,28,4.175,390,10,2,1339,40645,346,26,0,430,955,6,39016,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,255,10,46,201,59,9,3.471,6,23,3.916,460,10,1,1556,47508,399,31,0,523,1141,6,45638,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,221,13,43,235,64,12,3.447,6,22,3.855,534,11,1,1781,54826,456,35,0,602,1295,6,52695,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,275,10,60,167,50,10,3.5,6,21,3.867,612,12,4,2001,62350,513,40,0,714,1514,6,59945,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,235,11,41,225,63,11,3.392,6,18,3.884,686,13,4,2233,69630,553,44,0,785,1663,7,66969,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,253,8,26,225,61,8,3.493,6,19,3.916,759,14,4,2451,77314,604,47,0,880,1847,10,74396,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
