t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,420,7,1,84,15,6,3.714,6,6,2.32,29,4,50,112,1989,10,1,0,11,37,8,1872,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,235,15,3,259,52,12,3.688,7,13,3.15,104,6,50,386,8812,65,4,0,57,118,36,8393,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,184,14,3,311,58,13,4.07,6,21,3.626,167,7,54,633,16347,131,7,0,131,257,58,15663,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,224,15,0,273,58,14,3.5,6,23,4.103,239,9,53,897,24937,202,12,0,224,486,77,23976,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,249,9,3,251,61,9,3.5,7,30,4.588,324,10,55,1199,33880,273,19,0,329,720,88,32612,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,216,13,6,277,72,12,3.19,6,28,4.343,411,11,51,1507,42755,340,26,0,424,918,102,41161,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,220,15,2,275,66,14,3.313,6,29,4.323,494,12,54,1791,52242,420,32,0,527,1108,111,50361,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,185,15,3,309,75,14,3.315,6,26,4.111,578,14,49,2083,61545,475,34,0,625,1272,115,59366,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,223,14,1,274,59,14,3.425,7,25,4.088,654,16,55,2370,70282,549,38,0,732,1497,123,67813,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,193,17,2,300,66,14,3.55,6,26,4.207,734,18,58,2646,79225,619,42,0,824,1664,129,76473,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,208,11,8,285,72,10,3.305,7,26,3.957,809,19,54,2889,88328,681,49,0,909,1845,136,85328,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,215,14,6,277,66,12,3.436,7,28,4.249,886,20,54,3160,97408,761,56,0,1004,2042,146,94127,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,180,22,4,306,53,19,3.972,7,26,4.245,958,22,52,3463,105409,838,61,0,1097,2233,155,101814,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,192,20,3,297,56,17,3.767,7,36,4.847,1038,23,52,3785,113774,921,65,0,1199,2473,165,109857,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,179,16,8,309,63,15,3.846,7,34,4.667,1103,25,54,4054,122073,996,74,0,1276,2660,170,117892,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
