t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,449,3,0,60,22,2,2.5,4,9,2.838,55,5,57,146,2464,18,3,0,16,26,0,2323,6,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,404,3,4,101,42,3,2.311,3,9,2.693,154,9,56,364,7589,59,7,0,53,72,0,7226,8,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,391,6,5,110,38,6,2.523,4,8,2.182,261,12,56,618,14088,114,14,0,109,141,3,13468,11,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,369,5,4,134,45,5,2.68,4,7,1.874,367,16,56,887,20690,177,17,0,175,229,3,19807,15,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,388,9,2,113,30,9,2.795,4,9,2.015,446,16,55,1101,26294,230,22,0,238,326,3,25194,20,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,418,2,1,91,28,2,3.033,4,4,0.904,511,16,59,1281,31298,274,28,0,295,418,3,30023,20,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,427,2,2,81,26,2,2.929,4,4,1.234,559,16,57,1426,35484,317,32,0,340,487,3,34072,24,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,375,8,1,128,35,8,2.884,4,7,1.801,620,18,58,1612,39813,366,37,0,377,552,3,38215,27,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,379,6,1,126,36,6,2.881,4,8,1.527,685,18,53,1797,44806,417,41,0,431,637,3,43026,27,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,390,2,4,116,40,2,2.81,4,8,1.687,751,19,57,1979,50028,489,44,0,485,723,3,48074,31,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,423,7,3,79,21,7,2.786,3,5,1.134,803,19,58,2127,54854,559,46,0,531,809,3,52754,36,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,391,3,0,118,37,3,2.85,3,6,1.232,859,19,56,2299,59056,602,51,0,571,872,3,56791,38,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
