t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings
5000,758,12,0,30,0,4,6.25,7,2,0.811,3,2,297,27,38,0,1,2,3,0,0,0,0,0
10000,698,31,1,70,0,8,6,7,3,1.5,7,3,296,69,101,1,2,3,6,0,0,0,0,0
15000,604,55,3,138,1,18,5.684,7,5,2.104,18,4,290,148,206,2,2,9,17,0,0,0,0,0
20000,462,102,1,235,1,30,5.677,7,12,3.252,30,4,286,264,363,4,8,15,37,0,0,0,0,0
25000,318,133,4,345,1,47,5.5,13,20,3.881,49,5,287,407,541,5,9,32,72,0,0,0,0,0
30000,176,166,5,453,3,58,5.557,14,28,4.461,71,7,289,564,729,7,16,65,118,0,0,0,0,1
35000,74,191,4,531,9,69,5.256,19,32,4.594,93,8,283,702,889,10,23,91,177,0,0,0,0,4
40000,37,215,1,547,3,73,5.329,20,35,4.684,102,8,291,776,984,14,25,115,230,0,0,0,0,5
45000,31,225,1,543,3,73,5.368,20,37,4.834,110,9,296,836,1056,15,26,131,288,0,0,0,0,5
50000,31,221,0,548,2,76,5.308,20,37,4.804,120,9,294,896,1112,15,27,142,338,0,0,0,0,5
55000,24,230,0,546,4,76,5.213,20,43,4.978,129,9,297,940,1168,15,29,158,382,0,0,0,0,6
60000,26,226,2,546,8,73,5.247,20,42,4.99,136,9,295,985,1214,16,30,168,421,0,0,0,0,6
65000,25,217,6,552,2,78,5.375,20,41,4.997,145,9,296,1043,1269,17,33,184,468,0,0,0,0,5
70000,26,219,0,555,4,73,5.325,20,40,4.856,150,9,298,1093,1319,18,33,194,510,0,0,0,0,5
75000,23,227,0,550,4,73,5.312,20,42,4.958,156,9,299,1135,1373,19,35,209,556,0,0,0,0,5
80000,23,221,0,556,0,75,5.547,23,43,5.022,160,9,297,1177,1412,19,35,220,589,0,0,0,0,5
85000,23,229,0,548,1,69,5.757,23,41,4.939,161,9,298,1215,1464,20,35,231,631,0,0,0,0,5
90000,23,233,1,543,3,67,5.743,23,41,4.984,166,10,297,1241,1496,20,35,238,660,0,0,0,0,5
95000,16,239,5,540,2,67,5.739,24,43,5.026,168,10,296,1278,1544,20,36,250,699,0,0,0,0,5
100000,27,230,1,542,4,65,5.638,23,44,5.112,175,11,295,1328,1584,21,36,260,742,0,0,0,0,5
