t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings
5000,787,4,0,9,0,1,6,6,1,0,0,0,300,5,9,0,0,0,2,0,0,0,0,0
10000,768,8,3,21,3,5,2.625,6,3,1.061,7,3,294,17,26,0,2,0,2,0,0,1,0,0
15000,610,50,7,133,18,48,2.091,5,5,0.977,90,9,279,175,248,4,3,2,21,0,0,10,0,0
20000,380,117,7,296,33,109,2.092,5,10,1.218,300,16,251,585,830,16,7,10,101,0,0,70,0,0
25000,230,155,18,397,53,146,2.065,5,8,1.334,533,18,249,1034,1450,27,14,13,205,0,0,152,0,0
30000,187,165,19,429,56,154,2.114,6,11,1.553,788,20,241,1527,2131,38,22,21,322,0,0,289,0,0
35000,249,153,12,386,47,136,2.137,6,11,1.697,1014,22,259,1979,2740,43,28,27,456,0,0,421,0,0
40000,199,169,16,416,45,150,2.185,5,13,1.851,1236,24,261,2423,3349,53,40,47,567,0,0,559,0,0
45000,212,177,9,402,28,154,2.209,5,12,1.847,1434,27,268,2831,3898,63,51,70,670,0,0,705,0,0
50000,207,164,19,410,44,141,2.259,5,14,2.074,1628,28,256,3226,4430,74,65,84,770,0,0,828,0,0
55000,251,167,6,376,22,139,2.329,5,13,2.285,1796,30,258,3605,4945,84,77,102,884,0,0,959,0,0
60000,246,161,12,381,31,133,2.317,5,13,2.187,1980,31,256,3990,5462,91,82,121,985,0,0,1091,0,0
65000,227,163,15,395,34,137,2.292,6,10,2.036,2167,31,250,4396,6007,98,91,138,1098,0,0,1209,0,0
70000,203,167,18,412,50,138,2.229,5,11,2.013,2379,34,247,4829,6575,102,103,156,1207,0,0,1348,0,0
75000,239,162,11,388,36,134,2.271,5,13,2.117,2596,34,255,5272,7171,109,119,174,1324,0,0,1509,0,0
80000,212,173,8,407,37,140,2.266,5,13,2.08,2785,35,266,5655,7685,116,128,187,1425,0,0,1621,0,0
85000,183,184,12,421,33,151,2.272,5,12,2.145,2956,37,263,6002,8159,129,134,196,1507,0,0,1730,0,0
90000,243,163,13,381,34,134,2.268,5,11,2.193,3138,40,249,6370,8651,136,146,207,1612,0,0,1860,0,0
95000,257,169,11,363,22,138,2.3,4,12,2.308,3314,40,271,6726,9159,148,152,216,1702,0,0,1990,0,0
100000,281,158,10,351,21,132,2.307,5,11,2.289,3494,40,268,7095,9659,155,164,224,1808,0,0,2107,0,0
