t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
10000,3138,34,2,426,4,32,5.611,6,11,2.394,27,2,386,195,4303,135,0,0,26,79,0,5707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0
20000,2803,43,5,749,8,62,5.414,6,21,3.277,84,4,391,530,11511,400,0,0,74,220,0,14783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0
30000,2515,63,5,1017,9,89,5.082,6,38,4.366,145,5,379,896,20947,780,0,0,161,397,0,26548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0
40000,2318,77,1,1204,19,95,4.965,6,55,5.001,216,6,379,1267,31959,1214,0,0,273,634,0,39918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0
50000,2162,66,8,1364,34,111,4.71,6,62,5.262,299,6,375,1676,45833,1693,0,0,394,890,0,56454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0
60000,2094,78,4,1424,41,118,4.403,6,67,5.44,387,8,385,2076,60792,2182,0,0,538,1196,0,74033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0
70000,1898,88,11,1603,65,135,4.245,6,82,5.763,493,8,371,2559,76827,2705,0,0,685,1479,0,93015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0
80000,1772,81,15,1732,76,147,4.117,6,80,5.878,631,9,366,3162,97255,3264,0,0,896,1868,0,116218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0
90000,1680,96,10,1814,77,168,3.882,6,96,6.057,779,10,377,3786,118859,3848,0,0,1115,2298,0,140112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0
100000,1502,100,8,1990,87,187,3.938,6,96,6.026,934,11,371,4456,141331,4386,0,0,1333,2687,0,164954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0
110000,1476,92,14,2018,107,187,3.816,6,91,6.046,1092,12,365,5082,166062,4917,0,0,1568,3130,0,192177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0
