t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
10000,3137,29,1,433,7,32,5.436,6,9,1.629,29,3,393,208,3490,113,0,0,23,74,0,4809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0
20000,2922,40,7,631,13,50,5.317,6,17,2.646,73,4,385,462,8332,297,0,0,72,195,0,10791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0
30000,2720,45,17,818,17,64,5.16,6,24,3.429,126,6,384,754,14417,503,0,0,133,364,0,18225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0
40000,2614,57,0,929,17,78,4.842,6,28,3.77,183,6,378,1055,21384,804,0,0,222,597,0,26856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0
50000,2592,43,5,960,25,78,4.515,6,32,4.09,242,6,382,1343,29039,1087,0,0,331,869,0,36421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0
60000,2602,40,5,953,25,78,4.417,6,34,4.478,305,7,382,1622,37618,1388,0,0,446,1145,0,47090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0
70000,2517,46,1,1036,25,91,4.414,6,39,4.549,369,8,382,1935,46773,1678,0,0,553,1368,0,58684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0
80000,2441,55,13,1091,40,95,4.104,6,41,4.635,450,8,386,2259,56183,2008,0,0,674,1625,0,70250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0
90000,2460,43,5,1092,44,98,4.007,6,44,4.83,537,9,387,2607,66596,2372,0,0,822,1922,0,82770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0
100000,2365,66,5,1164,45,102,4.007,6,47,4.935,612,9,384,2951,77756,2699,0,0,942,2171,0,95949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0
110000,2300,73,8,1219,47,118,3.927,6,58,5.165,694,10,383,3293,89441,3055,0,0,1083,2418,0,109834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0
120000,2308,64,4,1224,45,117,3.981,6,64,5.445,783,11,379,3683,101717,3407,0,0,1253,2727,0,123864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0
130000,2262,49,4,1285,53,118,3.895,6,60,5.28,881,11,378,4075,114817,3791,0,0,1412,3011,0,138634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0
140000,2297,56,3,1244,57,109,3.988,6,62,5.373,972,11,379,4448,127408,4194,0,0,1582,3321,0,153461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0
150000,2267,55,10,1268,76,109,3.746,6,60,5.291,1082,12,372,4863,141564,4567,0,0,1758,3640,0,169776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0
160000,2127,63,4,1406,76,136,3.698,6,67,5.396,1202,13,378,5328,157098,4992,0,0,1921,3917,0,187932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0
170000,2116,71,6,1407,80,137,3.696,6,71,5.53,1320,14,367,5770,172670,5410,0,0,2105,4272,0,205514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0
180000,2132,62,13,1392,86,135,3.652,6,73,5.509,1453,14,377,6249,189049,5820,0,0,2309,4661,0,223630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0
190000,2102,62,4,1432,97,129,3.611,6,77,5.705,1572,15,383,6706,205213,6256,0,0,2498,4979,0,241671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0
200000,2047,60,8,1485,90,155,3.527,6,77,5.675,1712,15,378,7198,222804,6700,0,0,2681,5323,0,260926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0
210000,2034,68,6,1491,95,152,3.514,6,86,5.875,1833,15,380,7674,240768,7160,0,0,2885,5678,0,280450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0
220000,2094,61,6,1439,97,151,3.476,6,83,5.872,1960,16,384,8119,258886,7622,0,0,3087,6032,0,300403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0
230000,2035,53,9,1503,94,160,3.535,6,78,5.746,2097,16,378,8611,276213,8062,0,0,3289,6378,0,319771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0
240000,2091,63,2,1444,84,159,3.486,6,75,5.722,2209,17,378,9018,293482,8511,0,0,3486,6727,0,338545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0
250000,2171,44,7,1378,95,143,3.424,6,75,5.629,2339,17,375,9455,310503,8924,0,0,3693,7100,0,357290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0
260000,2181,65,9,1345,93,144,3.295,6,67,5.415,2472,19,369,9911,327578,9356,0,0,3908,7463,0,376317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0
270000,2237,59,9,1295,70,154,3.339,6,67,5.48,2585,19,381,10321,344554,9798,0,0,4111,7792,0,395335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0
280000,2264,57,12,1267,70,149,3.361,5,67,5.425,2709,20,360,10753,360543,10218,0,0,4300,8128,0,413312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0
290000,2209,61,15,1315,76,155,3.381,5,72,5.511,2854,21,368,11249,377784,10642,0,0,4499,8477,0,432413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0
300000,2158,56,15,1371,99,155,3.311,5,76,5.566,2998,21,382,11731,395904,11039,0,0,4682,8800,0,452533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0
