t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
10000,3344,17,3,236,5,20,5.48,6,6,2.059,14,2,391,92,3704,46,0,0,19,64,0,4413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0
20000,3149,29,5,417,3,43,4.891,6,8,2.178,52,3,389,301,7676,102,0,0,54,164,0,9391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0
30000,2945,29,4,622,13,53,4.727,6,12,2.621,102,5,393,551,13462,180,0,0,108,275,0,16382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0
40000,2727,44,7,822,16,73,4.551,6,18,3.194,176,6,385,896,20675,291,0,0,198,488,0,25478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0
50000,2511,65,5,1019,12,95,4.355,6,22,3.701,240,7,389,1205,28576,437,0,0,272,674,0,35348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0
60000,2380,61,4,1155,26,97,4.325,6,29,4.024,317,7,371,1546,38345,605,0,0,374,907,0,46736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0
70000,2291,42,7,1260,33,112,4.069,6,34,4.174,406,7,384,1894,49243,796,0,0,487,1141,0,59637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0
80000,2284,63,3,1250,40,107,4.02,6,28,3.975,495,8,387,2253,62263,984,0,0,633,1446,0,74639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0
90000,2192,56,2,1350,48,123,3.889,6,39,4.39,593,8,379,2656,76170,1179,0,0,768,1724,0,90934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0
100000,2125,62,2,1411,62,120,3.813,6,41,4.332,709,9,374,3096,91857,1362,0,0,933,2065,0,108252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0
110000,2129,65,4,1402,62,123,3.697,6,44,4.323,833,9,385,3535,108713,1522,0,0,1123,2426,0,126844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0
