t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
10000,3140,26,3,431,11,35,5.37,6,11,2.45,30,3,386,205,5837,55,0,0,16,42,0,6461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0
20000,2780,43,5,772,16,68,4.929,6,18,2.899,91,4,382,534,14698,155,0,0,63,158,0,16890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0
30000,2435,68,5,1092,19,92,4.919,6,26,3.675,162,5,384,924,25729,311,0,0,140,318,0,29971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0
40000,2267,82,10,1241,24,103,4.724,6,33,4.154,242,5,380,1310,38620,498,0,0,255,601,0,45512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,0,0,0,0
50000,2060,76,6,1458,37,122,4.585,6,34,4.378,332,6,368,1781,52879,700,0,0,384,862,0,62505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0
60000,1826,81,8,1685,48,146,4.552,6,43,4.652,443,7,374,2314,70300,917,0,0,535,1182,0,83026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,0,0
70000,1630,93,15,1862,59,160,4.26,6,45,4.747,595,8,371,2983,90698,1119,0,0,745,1631,0,105645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0
80000,1270,95,12,2223,84,187,4.214,6,53,4.81,778,9,357,3770,112710,1341,0,0,937,2008,0,129919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,0,0,0,0,0
90000,1187,97,16,2300,96,199,4.193,6,59,4.844,950,9,363,4489,136788,1546,0,0,1181,2492,0,156481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,0,0,0,0
100000,1189,107,7,2297,80,209,4.1,6,62,4.927,1114,10,362,5193,162196,1775,0,0,1433,3038,0,184848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,0,0,0,0,0
110000,1165,117,6,2312,102,207,4.061,6,61,4.837,1285,10,370,5912,186887,1999,0,0,1696,3596,0,212063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,0,0,0,0,0
120000,1133,105,16,2346,93,210,4,6,64,4.898,1466,12,358,6639,211199,2236,0,0,1959,4137,0,238527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,0
130000,1177,104,7,2312,87,225,3.849,6,63,4.874,1659,12,362,7411,237582,2462,0,0,2256,4718,0,267222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,0,0,0,0,0
140000,1140,104,17,2339,93,232,3.825,6,67,4.967,1843,13,358,8157,262921,2695,0,0,2543,5249,0,295095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,0,0,0,0
150000,1047,95,11,2447,108,246,3.718,6,69,4.882,2043,14,364,8946,286922,2931,0,0,2801,5753,0,321536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,0,0,0,0
160000,1158,88,11,2343,108,227,3.633,6,62,4.686,2242,15,365,9691,313504,3154,0,0,3115,6365,0,350681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,0,0,0,0
170000,1162,90,10,2338,107,248,3.524,6,57,4.635,2436,15,362,10432,339438,3363,0,0,3402,6907,0,379262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,0,0,0,0,0
180000,1212,80,10,2298,89,239,3.588,6,57,4.714,2638,15,371,11159,365951,3608,0,0,3705,7469,0,408525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,0,0,0,0
190000,1255,101,4,2240,93,231,3.478,6,55,4.68,2833,15,358,11884,392696,3861,0,0,4021,8026,0,437677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,0,0,0,0,0
