t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
10000,3322,18,2,258,5,24,5.724,6,7,2.109,17,2,397,103,3912,55,0,0,18,64,0,4820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0
20000,3134,27,3,436,2,41,5.488,6,9,2.333,43,3,390,264,7867,102,0,0,40,126,0,9694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0
30000,2926,32,3,639,13,56,4.899,6,16,3.096,88,4,386,512,13473,162,0,0,87,233,0,16254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0
40000,2698,41,10,851,15,70,4.682,6,22,3.424,150,6,375,836,20508,270,0,0,163,435,0,25122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0
50000,2561,58,7,974,11,94,4.371,6,24,3.584,217,7,384,1132,28364,374,0,0,262,635,0,35090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0
60000,2543,42,6,1009,23,82,4.219,6,26,3.893,292,7,384,1449,36747,502,0,0,384,902,0,45433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0
70000,2418,43,3,1136,28,99,4.087,6,28,3.995,379,8,381,1823,45696,656,0,0,512,1163,0,56663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0
80000,2439,40,6,1115,33,92,3.96,6,29,4.076,458,9,379,2134,55271,792,0,0,657,1459,0,68776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0
90000,2432,42,10,1116,52,86,3.703,6,34,4.375,556,10,374,2493,66052,956,0,0,812,1755,0,81934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0
100000,2423,39,6,1132,48,96,3.521,6,35,4.393,641,11,380,2805,77764,1090,0,0,971,2005,0,96106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0
