t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,84,28,13,387,46,21,5.269,7,11,2.614,92,7,39,562,7139,23,3,0,49,146,0,6530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,52,33,5,422,50,24,4.784,7,18,3.592,150,7,57,904,15107,50,5,0,134,372,0,14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,105,26,7,374,58,21,4.342,7,18,3.587,234,8,52,1269,23449,66,7,0,253,670,0,22137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,78,23,3,408,68,20,4.193,8,18,3.697,323,10,55,1679,33245,83,9,0,363,944,0,31523,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,76,24,8,404,65,23,4.125,7,17,3.564,401,12,39,2044,43289,104,10,0,480,1194,0,41194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,76,26,6,404,64,24,4.102,7,14,3.448,495,13,54,2439,53624,131,10,0,598,1472,0,51128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,103,18,0,391,73,17,4.022,7,18,3.737,572,15,56,2788,62850,154,12,0,713,1721,0,60015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,79,19,3,411,83,14,4.062,7,21,3.847,674,17,50,3215,73500,183,19,0,835,2011,0,70233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,76,21,6,409,78,17,4.032,7,21,3.735,767,18,51,3609,83506,209,23,0,955,2288,0,79838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,75,23,9,405,74,20,4.064,7,21,3.569,857,19,53,4012,93667,243,25,0,1075,2576,0,89591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,81,22,2,407,67,20,4.299,7,20,3.626,943,20,53,4416,103581,268,28,0,1198,2856,0,99106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,85,28,4,395,64,23,4.138,7,19,3.421,1027,20,49,4794,113553,282,30,0,1310,3136,0,108690,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,84,27,3,397,61,22,4.361,7,23,3.776,1104,21,49,5180,124155,326,35,0,1425,3409,0,118906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,90,24,7,391,70,20,4.167,7,18,3.605,1198,23,47,5590,134580,356,37,0,1547,3701,0,128919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,121,16,9,366,82,14,3.75,7,18,3.536,1304,24,44,6020,146342,381,38,0,1686,4020,0,140252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,127,24,9,352,72,22,3.468,6,20,3.5,1422,24,56,6465,159322,409,45,0,1840,4328,0,152779,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,107,16,6,383,86,14,3.61,6,23,3.588,1527,24,55,6875,171167,441,48,0,1964,4583,0,164224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,60,23,4,425,93,21,3.509,7,22,3.689,1633,25,48,7274,183112,471,50,0,2081,4820,0,175766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,94,18,4,396,95,17,3.393,6,20,3.522,1731,26,50,7628,194235,501,54,0,2207,5081,0,186540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,94,20,4,394,86,16,3.667,7,25,3.861,1833,26,52,8038,205011,528,58,0,2345,5356,0,196907,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,98,27,6,381,66,22,3.989,7,20,3.812,1913,28,47,8383,215602,563,61,0,2465,5595,0,207146,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,87,18,2,405,82,14,3.969,7,22,3.826,2009,29,51,8785,225135,598,64,0,2590,5847,0,216292,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,81,24,2,405,82,16,3.806,7,21,3.752,2083,30,56,9093,235290,617,66,0,2693,6050,0,226136,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,76,20,1,415,84,19,3.825,7,20,3.838,2177,32,44,9477,246450,652,69,0,2810,6309,0,236916,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,82,21,10,399,80,18,3.929,6,21,4.105,2260,33,53,9828,257260,679,72,0,2918,6568,0,247368,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
