t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,122,18,3,369,33,27,4.383,7,10,2.194,98,6,52,448,6587,29,2,0,34,62,0,6119,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1928,1883
40000,65,19,0,428,35,31,4.515,7,14,2.937,148,7,57,705,12789,42,5,0,111,182,0,12070,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7954,7889
60000,78,14,4,416,29,34,4.46,7,18,3.365,187,7,53,851,17515,53,9,0,175,276,0,16651,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17008,16923
80000,103,15,4,390,34,30,4.219,7,18,3.732,229,9,58,1015,23503,67,16,0,256,389,0,22476,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25247,25172
100000,91,10,5,406,40,36,3.592,7,17,3.7,294,9,57,1239,30054,83,18,0,338,514,0,28809,3,0,0,0,0,0,0,0,0,0,0,0,0,0,31187,31090
120000,104,9,5,394,44,37,3.506,7,17,3.568,358,10,48,1438,36173,100,23,0,433,633,0,34731,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35534,35444
140000,111,9,3,389,51,39,3.178,7,16,3.359,416,10,56,1630,42562,118,24,0,517,743,0,40929,3,0,0,0,0,0,0,0,0,0,0,0,0,0,39058,38965
160000,101,8,2,401,48,43,3.088,7,17,3.158,487,13,58,1849,49784,138,30,0,612,860,0,47935,3,0,0,0,0,0,0,0,0,0,0,0,0,0,42292,42192
180000,119,10,3,380,68,32,2.97,7,17,3.068,555,14,51,2041,57629,154,34,0,713,970,0,55586,3,0,0,0,0,0,0,0,0,0,0,0,0,0,45735,45664
200000,106,12,3,391,65,42,2.785,7,15,2.605,639,15,51,2269,66364,172,36,0,810,1089,0,64092,3,0,0,0,0,0,0,0,0,0,0,0,0,0,49085,49001
220000,125,11,3,373,51,41,2.88,7,16,2.761,720,16,51,2497,74361,190,37,0,916,1233,0,71856,3,0,0,0,0,0,0,0,0,0,0,0,0,0,52527,52437
240000,98,9,2,403,57,43,3,7,15,2.714,817,17,53,2773,82931,212,43,0,1029,1367,0,80153,3,0,0,0,0,0,0,0,0,0,0,0,0,0,55656,55562
260000,116,10,3,383,70,36,2.792,6,13,2.619,900,18,57,2993,91410,234,46,0,1141,1503,0,88406,4,0,0,0,0,0,0,0,0,0,0,0,0,0,58880,58802
280000,125,9,4,374,57,40,2.876,6,11,2.613,987,18,58,3241,99705,251,51,0,1259,1638,0,96457,4,0,0,0,0,0,0,0,0,0,0,0,0,0,62218,62128
300000,127,7,4,374,70,34,2.712,6,14,2.674,1066,19,56,3462,108004,276,56,0,1361,1757,0,104540,5,0,0,0,0,0,0,0,0,0,0,0,0,0,65651,65567
320000,121,9,1,381,66,39,2.714,6,16,2.844,1153,20,54,3701,116546,295,64,0,1474,1875,0,112849,5,0,0,0,0,0,0,0,0,0,0,0,0,0,69068,68981
340000,121,11,3,377,69,35,2.875,6,15,3.002,1240,20,54,3931,125192,320,67,0,1577,2004,0,121263,5,0,0,0,0,0,0,0,0,0,0,0,0,0,72375,72298
360000,131,9,1,371,76,31,2.776,5,16,3.238,1322,20,51,4167,134009,344,70,0,1694,2134,0,129846,5,0,0,0,0,0,0,0,0,0,0,0,0,0,75947,75878
380000,111,14,3,384,67,36,2.932,5,16,3.135,1418,20,54,4454,143671,368,75,0,1816,2284,0,139213,5,0,0,0,0,0,0,0,0,0,0,0,0,0,79838,79763
400000,111,6,3,392,57,39,2.969,5,15,3.177,1508,20,53,4715,153058,391,81,0,1930,2423,0,148349,5,0,0,0,0,0,0,0,0,0,0,0,0,0,83528,83435
420000,90,12,2,408,58,40,3.163,5,15,3.322,1588,20,54,4976,161738,410,89,0,2032,2566,0,156768,5,0,0,0,0,0,0,0,0,0,0,0,0,0,86996,86909
440000,92,9,2,409,69,38,2.972,6,16,3,1662,21,54,5192,169524,432,95,0,2122,2691,0,164342,5,0,0,0,0,0,0,0,0,0,0,0,0,0,90892,90806
460000,107,8,3,394,67,40,2.832,5,18,3.068,1738,22,56,5400,177804,454,105,0,2220,2814,0,172420,5,0,0,0,0,0,0,0,0,0,0,0,0,0,95115,95030
480000,102,9,1,400,65,42,2.785,5,17,2.995,1813,24,56,5608,186773,482,109,0,2314,2923,0,181183,5,0,0,0,0,0,0,0,0,0,0,0,0,0,98556,98462
500000,115,6,0,391,76,37,2.646,5,17,2.975,1915,25,53,5875,196718,509,113,0,2437,3077,0,190866,5,0,0,0,0,0,0,0,0,0,0,0,0,0,102072,101981
520000,113,13,6,380,74,42,2.603,6,15,2.768,2028,25,55,6153,207213,540,118,0,2566,3238,0,201070,5,0,0,0,0,0,0,0,0,0,0,0,0,0,105358,105271
540000,123,5,4,380,74,38,2.598,6,15,2.655,2122,25,54,6394,216474,563,121,0,2676,3365,0,210102,5,0,0,0,0,0,0,0,0,0,0,0,0,0,109175,109082
560000,126,10,4,372,88,31,2.538,6,13,2.427,2238,26,52,6688,226861,587,127,0,2815,3524,0,220197,5,0,0,0,0,0,0,0,0,0,0,0,0,0,112427,112349
580000,91,4,4,413,95,34,2.589,5,14,2.632,2338,26,57,6947,236542,610,132,0,2922,3635,0,229627,6,0,0,0,0,0,0,0,0,0,0,0,0,0,116059,115969
600000,122,5,1,384,73,37,2.645,5,14,2.591,2421,27,57,7173,245903,634,138,0,3038,3773,0,238766,6,0,0,0,0,0,0,0,0,0,0,0,0,0,120009,119905
620000,125,7,4,376,70,36,2.755,5,15,2.909,2518,27,55,7431,255759,656,145,0,3163,3909,0,248361,6,0,0,0,0,0,0,0,0,0,0,0,0,0,123368,123266
640000,101,12,4,395,77,41,2.678,5,11,2.442,2623,27,56,7716,265729,681,149,0,3283,4057,0,258040,6,0,0,0,0,0,0,0,0,0,0,0,0,0,126466,126371
660000,112,10,2,388,70,40,2.764,5,11,2.605,2717,27,55,7978,275334,702,159,0,3403,4207,0,267388,6,0,0,0,0,0,0,0,0,0,0,0,0,0,129872,129772
680000,107,14,3,388,83,38,2.645,5,14,2.473,2806,29,49,8222,284955,723,165,0,3505,4349,0,276761,7,0,0,0,0,0,0,0,0,0,0,0,0,0,133296,133208
700000,109,4,2,397,73,37,2.809,5,12,2.54,2884,31,57,8454,293811,737,172,0,3608,4465,0,285405,7,0,0,0,0,0,0,0,0,0,0,0,0,0,136822,136711
720000,106,13,5,388,65,42,2.822,5,15,2.752,2963,32,56,8697,302372,762,179,0,3723,4601,0,293713,7,0,0,0,0,0,0,0,0,0,0,0,0,0,140435,140327
740000,139,8,4,361,58,38,2.885,5,15,3.014,3037,33,57,8904,311234,782,184,0,3826,4733,0,302378,7,0,0,0,0,0,0,0,0,0,0,0,0,0,144077,143966
760000,114,9,2,387,77,33,2.745,5,16,2.781,3135,33,56,9169,320493,815,190,0,3938,4857,0,311373,7,0,0,0,0,0,0,0,0,0,0,0,0,0,147461,147353
780000,111,7,4,390,73,37,2.8,5,16,2.773,3228,34,53,9417,329457,842,196,0,4044,4993,0,320095,7,0,0,0,0,0,0,0,0,0,0,0,0,0,150833,150717
800000,123,8,0,381,61,43,2.644,6,15,2.949,3328,35,55,9668,337103,856,201,0,4164,5133,0,327498,7,0,0,0,0,0,0,0,0,0,0,0,0,0,154770,154639
820000,101,6,3,402,83,37,2.667,6,17,3.005,3429,36,54,9924,345542,884,206,0,4270,5260,0,335682,7,0,0,0,0,0,0,0,0,0,0,0,0,0,158402,158288
840000,101,9,2,400,74,38,2.768,6,17,2.963,3511,36,55,10164,354401,900,212,0,4378,5396,0,344298,7,0,0,0,0,0,0,0,0,0,0,0,0,0,161973,161863
860000,133,6,1,372,74,34,2.694,6,16,2.787,3589,36,58,10361,362237,921,216,0,4478,5518,0,351946,7,0,0,0,0,0,0,0,0,0,0,0,0,0,165524,165407
880000,124,8,8,372,71,39,2.627,6,15,2.346,3692,37,57,10617,371418,943,223,0,4598,5646,0,360867,7,0,0,0,0,0,0,0,0,0,0,0,0,0,169396,169272
900000,97,9,1,405,75,40,2.67,6,15,2.504,3794,37,55,10878,380509,960,230,0,4705,5767,0,369706,7,0,0,0,0,0,0,0,0,0,0,0,0,0,172823,172696
920000,99,8,4,401,74,39,2.823,6,16,2.783,3875,37,53,11102,389391,976,235,0,4809,5891,0,378367,7,0,0,0,0,0,0,0,0,0,0,0,0,0,176251,176132
940000,119,8,5,380,83,32,2.643,6,14,2.322,3968,37,56,11332,397686,999,238,0,4921,6029,0,386433,7,0,0,0,0,0,0,0,0,0,0,0,0,0,179797,179681
960000,108,16,1,387,73,38,2.658,6,15,2.463,4060,38,56,11572,406202,1020,244,0,5028,6155,0,394705,7,0,0,0,0,0,0,0,0,0,0,0,0,0,184078,183959
980000,120,6,6,380,75,37,2.643,6,15,2.332,4154,38,52,11805,415086,1044,246,0,5135,6285,0,403366,8,0,0,0,0,0,0,0,0,0,0,0,0,0,187658,187533
1000000,97,9,0,406,87,35,2.672,7,17,2.481,4252,39,51,12057,423915,1077,254,0,5240,6404,0,411951,8,0,0,0,0,0,0,0,0,0,0,0,0,0,191417,191296
