t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings
5000,769,5,2,24,0,2,12,12,1,0,1,1,297,15,22,0,0,2,3,0,0,0,0,0
10000,723,10,4,63,0,3,12.333,13,2,0.918,2,2,294,58,71,0,1,7,7,0,0,0,0,0
15000,643,30,3,124,0,7,11.857,13,4,1.664,6,3,290,123,155,1,2,8,12,0,0,0,0,0
20000,538,61,2,199,0,12,11.25,12,4,1.626,11,4,293,214,276,4,3,11,29,0,0,0,0,0
25000,398,75,3,324,1,20,11.095,13,12,3.327,21,5,283,364,442,10,5,24,56,0,0,0,0,0
30000,229,126,3,442,0,31,10.484,16,17,3.671,30,5,286,515,643,12,8,46,90,0,0,0,0,0
35000,145,146,1,508,0,33,10.97,23,22,4.271,35,6,295,617,764,14,10,77,128,0,0,0,0,0
40000,97,145,0,558,1,35,10.806,22,24,4.347,41,6,290,713,857,16,11,98,172,0,0,0,0,0
45000,68,151,0,581,1,35,10.944,21,25,4.406,44,6,295,788,941,18,11,114,221,0,0,0,0,0
50000,54,164,0,582,0,35,10.857,21,28,4.651,45,6,294,828,994,18,12,134,259,0,0,0,0,0
55000,45,168,0,587,0,33,11,33,28,4.681,45,6,297,871,1041,19,12,158,297,0,0,0,0,0
60000,36,166,0,598,0,33,11.121,33,25,4.537,46,6,291,915,1081,20,14,175,330,0,0,0,0,0
65000,29,166,3,602,2,31,10.909,33,28,4.718,47,6,297,950,1119,21,14,194,361,0,0,0,0,0
70000,31,161,0,608,2,32,10.971,31,31,4.911,49,6,292,1002,1164,23,14,214,408,0,0,0,0,0
75000,18,168,1,613,0,35,11.429,48,32,4.936,51,6,299,1038,1207,26,15,225,439,0,0,0,0,0
