t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings
5000,760,7,4,29,0,1,12,12,1,0,0,0,300,19,29,0,2,0,2,0,0,0,0,0
10000,741,19,1,39,0,2,12.5,13,2,1,1,1,300,30,49,0,2,3,3,0,0,0,0,0
15000,704,20,0,76,0,4,12.5,13,3,1.5,3,2,291,70,89,3,3,6,7,0,0,0,0,0
20000,634,45,0,121,0,6,12.667,15,6,2.585,5,3,294,120,163,3,5,7,12,0,0,0,0,0
25000,538,64,4,194,0,10,12.7,16,7,2.722,10,4,289,197,262,3,7,12,17,0,0,0,0,0
30000,427,100,3,270,0,12,12.417,16,9,3.022,12,4,294,284,384,7,7,16,28,0,0,0,0,0
35000,332,126,3,339,0,15,12.533,16,9,2.974,15,5,296,365,490,9,8,22,40,0,0,0,0,0
40000,250,151,3,396,1,16,12.235,27,13,3.617,18,5,295,442,591,12,10,32,61,0,0,0,0,0
45000,170,182,1,447,0,18,12.944,26,15,3.837,21,5,293,511,689,13,10,44,78,0,0,0,0,0
50000,100,188,3,509,0,22,12.591,26,20,4.243,25,5,288,600,786,15,11,69,106,0,0,0,0,0
55000,54,210,0,536,0,22,12.455,26,20,4.243,26,5,297,651,855,16,12,79,130,0,0,0,0,0
60000,35,209,2,554,0,23,12.13,29,21,4.317,27,5,295,705,911,16,12,95,167,0,0,0,0,0
65000,24,210,1,565,0,23,12.043,29,21,4.317,27,5,298,741,947,16,13,103,192,0,0,0,0,0
70000,21,208,3,568,0,26,11.192,33,25,4.624,31,5,294,775,981,18,13,115,223,0,0,0,0,0
75000,10,208,1,581,0,26,11.077,33,26,4.7,31,5,297,810,1014,18,13,124,245,0,0,0,0,0
80000,18,215,1,566,0,26,10.846,33,25,4.624,31,5,298,835,1047,19,13,134,286,0,0,0,0,0
85000,13,219,0,568,0,26,10.769,33,25,4.624,31,5,297,868,1083,19,13,152,317,0,0,0,0,0
90000,14,216,0,570,0,26,10.615,33,24,4.547,31,5,299,898,1110,19,13,161,345,0,0,0,0,0
95000,18,211,2,569,0,27,10.667,33,24,4.505,32,5,297,923,1132,20,13,174,371,0,0,0,0,0
100000,13,208,1,578,0,29,10.621,33,26,4.625,33,5,296,972,1178,20,14,183,413,0,0,0,0,0
