t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings
5000,742,17,0,41,0,10,3.6,10,7,2.646,6,2,296,36,55,1,0,0,3,0,0,9,0,0
10000,599,51,6,144,19,37,2.571,11,9,1.991,62,6,276,173,246,9,1,6,22,0,0,22,0,0
15000,310,132,18,340,38,116,2.266,5,11,1.896,235,9,264,537,761,22,4,13,89,0,0,67,0,0
20000,127,187,12,474,53,157,2.257,6,11,1.692,404,11,270,896,1246,30,7,23,186,0,0,100,0,0
25000,118,185,7,490,55,159,2.243,6,13,1.64,559,11,268,1227,1667,40,15,38,330,0,0,143,0,0
30000,119,186,8,487,53,156,2.282,6,12,1.535,707,12,262,1520,2061,50,18,46,459,0,0,184,0,0
35000,121,189,7,483,51,163,2.224,5,11,1.527,874,13,279,1868,2528,60,25,58,610,0,0,240,0,0
40000,131,184,7,478,56,161,2.18,5,11,1.592,1035,13,271,2200,2962,70,26,70,752,0,0,290,0,0
45000,132,185,4,479,56,163,2.16,5,10,1.445,1189,14,279,2522,3376,79,29,81,893,0,0,330,0,0
50000,93,192,12,503,62,172,2.162,5,12,1.434,1350,15,265,2837,3792,89,30,87,1019,0,0,362,0,0
55000,134,168,14,484,77,149,2.155,5,12,1.482,1517,16,268,3168,4209,99,32,94,1170,0,0,407,0,0
60000,111,199,4,486,40,186,2.133,4,11,1.458,1661,16,279,3474,4623,109,34,104,1300,0,0,454,0,0
65000,152,172,7,469,61,155,2.144,5,14,1.487,1813,17,263,3787,5016,119,38,115,1446,0,0,492,0,0
70000,130,178,10,482,57,162,2.187,6,12,1.601,1966,19,269,4110,5438,129,39,128,1572,0,0,537,0,0
75000,134,189,7,470,45,169,2.164,4,10,1.544,2112,20,275,4409,5855,140,39,140,1704,0,0,584,0,0
80000,140,176,12,472,63,154,2.189,4,12,1.75,2273,21,260,4737,6276,149,46,148,1856,0,0,616,0,0
85000,123,169,11,497,76,156,2.134,5,13,1.392,2444,22,263,5089,6729,158,50,155,1998,0,0,658,0,0
90000,157,169,8,466,64,149,2.178,6,12,1.43,2600,23,262,5414,7161,165,52,166,2140,0,0,712,0,0
95000,122,194,10,474,44,169,2.211,6,15,1.69,2764,25,276,5746,7630,178,55,178,2280,0,0,755,0,0
100000,102,194,11,493,52,178,2.152,5,13,1.356,2909,25,271,6047,8013,190,58,181,2405,0,0,792,0,0
