t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings
5000,773,5,0,22,0,1,12,12,1,0,0,0,300,11,16,0,0,1,1,0,0,0,0,0
10000,763,7,0,30,0,2,11.5,12,2,1,1,1,293,21,28,0,0,2,3,0,0,0,0,0
15000,734,12,1,53,0,4,11.5,12,3,1.5,3,2,293,45,58,1,0,2,4,0,0,0,0,0
20000,683,19,0,98,0,6,10.833,13,5,2.252,5,2,298,96,115,3,0,5,10,0,0,0,0,0
25000,568,31,2,199,1,13,10.5,13,7,2.557,13,4,288,207,240,4,0,12,20,0,0,0,0,0
30000,408,67,5,320,0,22,10.545,13,12,3.204,21,4,284,348,419,7,2,25,41,0,0,0,0,0
35000,284,87,8,421,0,29,10.966,21,20,4.142,31,5,286,482,576,8,2,45,74,0,0,0,0,0
40000,148,116,8,528,1,34,11.143,34,26,4.501,38,5,289,635,758,10,3,79,121,0,0,0,0,0
45000,72,121,3,604,0,39,10.692,34,26,4.436,42,6,285,765,887,12,5,106,176,0,0,0,0,0
50000,25,142,2,631,0,41,10.488,34,32,4.851,46,6,294,850,992,13,6,135,235,0,0,0,0,0
55000,16,155,0,629,1,40,10.585,34,33,4.93,48,6,295,912,1066,16,6,169,300,0,0,0,0,0
60000,20,155,0,625,2,36,11.342,34,28,4.649,49,6,292,951,1105,16,6,189,343,0,0,0,0,0
65000,17,158,1,624,2,36,11.158,52,30,4.807,51,6,294,1013,1171,16,7,219,406,0,0,0,0,0
70000,10,169,0,621,1,38,11,52,27,4.593,53,6,296,1055,1223,17,7,235,451,0,0,0,0,0
75000,12,168,2,618,0,38,11.184,51,31,4.86,56,6,296,1099,1269,18,7,256,499,0,0,0,0,0
80000,13,164,1,622,2,35,10.838,53,33,4.993,58,6,291,1151,1316,20,7,280,547,0,0,0,0,0
85000,16,161,0,623,2,33,11,59,29,4.765,60,7,294,1196,1357,20,8,291,589,0,0,0,0,0
90000,15,162,0,623,0,35,11.571,59,28,4.686,61,7,300,1233,1395,21,8,300,625,0,0,0,0,0
95000,8,159,3,630,6,32,10.737,60,28,4.662,65,9,295,1277,1438,21,10,315,662,0,0,0,0,0
100000,5,174,0,621,4,33,10.811,59,26,4.574,65,9,297,1291,1464,21,10,324,684,0,0,0,0,0
