t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,457,3,20,32,13,2,3.133,6,7,2.549,26,3,3,56,1758,15,3,0,17,37,7,1644,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,487,0,8,17,12,0,2.083,3,4,1.551,58,4,6,107,3770,34,4,0,38,65,7,3586,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,502,0,1,9,5,0,2,2,2,0.971,75,7,8,135,4814,45,4,0,48,76,7,4594,6,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,500,0,2,10,6,0,2,2,1,0,92,11,8,161,5633,51,5,0,51,79,7,5380,9,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,501,1,2,8,4,1,2,2,3,1.371,108,11,6,188,6188,54,5,0,57,85,7,5911,15,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,504,0,1,7,4,0,2,2,2,0.811,131,14,8,223,7062,61,5,0,67,93,7,6747,21,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,510,0,0,2,1,0,2,2,1,0,144,14,9,244,7528,65,5,0,73,99,7,7197,28,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,504,0,1,7,4,0,2,2,2,0.811,155,14,11,259,7956,66,5,0,78,104,7,7613,33,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,512,0,0,0,0,0,0,0,0,0,163,14,12,268,8285,67,5,0,84,109,7,7932,37,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,502,0,2,8,5,0,2,2,2,0.722,171,14,8,281,8433,69,5,0,86,111,7,8074,43,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,510,0,1,1,1,0,2,2,1,0,174,14,9,291,8758,71,6,0,89,115,7,8393,44,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,512,0,0,0,0,0,0,0,0,0,179,14,12,301,8918,72,6,0,91,116,7,8542,44,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,508,0,0,4,2,0,2,2,1,0,186,14,11,310,9035,72,6,0,94,119,7,8649,46,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,508,0,0,4,2,0,2,2,1,0,189,14,10,315,9117,73,6,0,95,120,7,8729,48,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,497,1,4,10,6,1,2,2,2,0.863,201,14,10,334,9571,76,6,0,97,122,7,9162,50,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,512,0,0,0,0,0,0,0,0,0,218,14,11,364,10322,78,7,0,103,129,7,9891,58,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,506,0,4,2,3,0,2,2,1,0,228,14,11,376,10571,78,7,0,108,134,7,10128,64,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,502,0,0,10,5,0,2,2,3,1.371,239,14,7,399,10935,79,7,0,111,137,7,10484,74,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,504,0,2,6,4,0,2,2,2,1,251,14,8,419,11513,81,8,0,116,142,7,11048,79,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,492,0,6,14,10,0,2,2,4,1.761,274,14,4,454,12492,88,9,0,123,149,7,11996,88,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,494,0,4,14,9,0,2,2,3,1.436,304,14,7,499,13875,98,11,0,134,159,7,13331,95,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,509,1,0,2,0,1,2,2,1,0,314,14,11,520,14395,100,11,0,143,168,7,13832,96,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,495,1,2,14,7,1,2,2,2,1,327,14,8,537,14836,105,11,0,147,172,7,14253,99,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,498,0,0,14,7,0,2,2,3,1.379,343,14,7,569,15778,115,12,0,155,179,7,15170,102,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,507,1,1,3,1,1,2,2,2,1,360,14,9,595,16458,120,13,0,163,186,7,15820,105,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520000,504,0,3,5,4,0,2,2,4,2,366,14,9,602,16607,120,13,0,165,188,7,15966,112,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540000,505,1,0,6,2,1,2,2,1,0,378,14,8,624,17003,122,16,0,168,191,7,16345,115,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560000,492,0,8,12,8,0,2.5,3,6,2.5,390,14,5,642,17517,125,19,0,172,195,7,16839,119,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580000,503,0,0,9,4,0,2.25,3,4,2,406,14,6,676,18384,130,19,0,181,205,7,17676,123,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600000,510,0,0,2,1,0,2,2,1,0,414,14,11,686,18843,133,19,0,189,213,7,18121,125,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620000,484,2,5,21,11,2,2,2,7,2.719,446,14,3,733,19894,140,20,0,194,218,7,19128,136,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640000,500,0,4,8,6,0,2,2,3,1.252,467,14,8,765,20717,152,20,0,209,233,7,19920,142,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
