t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,400,8,34,70,22,6,3.464,6,13,3.307,31,3,3,79,2070,15,2,0,16,27,12,1934,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,334,10,49,119,33,9,3.595,7,15,3.441,81,5,2,198,6530,50,4,0,52,102,45,6181,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,351,8,56,97,39,6,3.267,6,15,3.521,132,6,1,302,11260,93,7,0,110,223,54,10724,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,351,8,50,103,42,7,2.939,6,15,3.364,190,7,0,420,16001,137,15,0,166,315,67,15274,6,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,323,10,57,122,48,7,3.127,7,17,3.511,260,8,3,552,21358,181,21,0,221,400,92,20418,9,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,378,6,30,98,32,6,3.105,6,16,3.523,312,9,2,666,26534,241,25,0,297,522,108,25414,10,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,318,8,68,118,50,8,2.948,6,12,3.245,378,9,2,776,31263,272,27,0,346,601,130,29914,11,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,359,8,58,87,42,8,2.72,6,16,3.24,441,9,2,891,36378,315,30,0,415,715,138,34848,14,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,341,8,82,81,58,8,2.424,5,13,2.716,520,9,0,999,41338,352,38,0,472,810,144,39607,19,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,388,5,35,84,43,5,2.396,5,11,3.065,581,10,4,1119,45916,393,47,0,530,876,144,44047,21,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,421,1,27,63,32,1,2.667,5,11,3.09,642,11,3,1225,50679,449,52,0,586,956,144,48667,23,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,382,4,41,85,45,4,2.51,5,14,3.306,711,12,0,1332,55523,488,53,0,627,1016,144,53326,27,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,383,9,39,81,34,8,2.738,5,17,3.813,771,13,2,1453,59903,517,61,0,685,1097,144,57536,33,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,378,7,41,86,42,7,2.469,5,14,3.402,848,14,2,1570,64632,566,67,0,752,1194,144,62077,37,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,398,3,27,84,43,3,2.348,4,10,2.904,915,14,2,1675,69931,615,67,0,800,1255,144,67228,39,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,432,1,16,63,32,1,2.394,5,12,3.218,961,15,6,1770,74128,659,74,0,846,1316,144,71325,42,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,417,4,29,62,32,4,2.472,5,11,3.186,1027,17,1,1882,78228,694,76,0,898,1383,144,75259,46,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,409,3,34,66,38,3,2.366,4,14,3.494,1090,19,3,1980,82640,742,85,0,938,1430,144,79540,51,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,431,6,20,55,24,6,2.367,4,14,3.514,1139,19,2,2096,86348,770,92,0,982,1494,144,83127,53,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,454,2,10,46,23,2,2.24,4,10,3.159,1182,21,6,2177,89830,796,94,0,1020,1538,144,86522,56,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,423,3,17,69,33,3,2.361,4,9,2.826,1230,21,4,2275,93570,825,95,0,1048,1571,144,90143,58,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,401,5,32,74,37,5,2.476,4,11,3.189,1292,24,3,2378,98193,850,100,0,1088,1622,144,94619,61,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,409,2,29,72,37,2,2.564,4,8,2.748,1347,27,3,2479,102335,873,101,0,1129,1678,144,98628,61,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,432,6,14,60,18,5,2.826,5,11,3.175,1384,27,5,2579,105947,902,104,0,1181,1757,144,102124,65,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,382,4,45,81,37,4,2.951,5,15,3.253,1442,28,3,2690,109934,933,107,0,1221,1819,144,105930,67,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520000,398,7,29,78,26,7,3.121,5,11,2.949,1492,28,0,2806,114106,974,110,0,1277,1899,144,109955,67,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540000,404,4,34,70,31,4,2.914,6,12,3.057,1545,28,3,2911,117671,1006,117,0,1327,1981,144,113367,69,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560000,363,6,52,91,46,6,2.673,5,12,2.999,1603,28,2,3034,121636,1037,124,0,1372,2040,144,117155,70,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580000,390,7,37,78,33,6,2.769,5,12,3.138,1658,28,2,3145,125676,1064,133,0,1431,2127,144,121042,72,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600000,406,1,41,64,41,1,2.5,6,10,2.74,1722,29,2,3251,129870,1095,137,0,1483,2204,144,125092,76,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620000,414,4,21,73,34,4,2.342,5,10,2.534,1773,30,1,3358,134239,1130,142,0,1521,2250,144,129352,82,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640000,391,10,33,78,26,8,2.971,5,13,3.43,1827,31,2,3465,138162,1159,146,0,1566,2303,144,133121,84,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660000,383,4,35,90,39,3,2.833,5,11,3.202,1890,31,4,3582,142776,1199,151,0,1618,2383,144,137566,86,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680000,372,9,44,87,37,8,2.622,5,15,3.168,1958,31,1,3701,147541,1249,156,0,1676,2469,144,142137,86,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700000,366,7,45,94,44,5,2.735,5,15,3.452,2021,31,2,3816,151756,1282,162,0,1728,2530,144,146187,87,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720000,390,7,34,81,40,5,2.489,5,12,2.916,2089,31,1,3921,156176,1321,165,0,1792,2616,144,150433,87,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740000,393,5,46,68,41,4,2.467,4,12,2.893,2156,33,0,4023,160648,1357,172,0,1854,2705,144,154720,88,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760000,422,4,21,65,34,4,2.237,3,10,2.844,2216,33,2,4143,164865,1394,181,0,1904,2769,144,158806,90,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780000,444,7,10,51,20,7,2.222,3,5,1.972,2261,33,3,4227,168422,1434,183,0,1950,2817,144,162262,93,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800000,441,5,19,47,27,5,2.063,3,8,2.488,2322,33,6,4321,171675,1462,186,0,1991,2864,144,165393,99,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820000,441,1,17,53,30,1,2.258,3,8,2.703,2375,34,6,4425,175558,1499,189,0,2023,2896,144,169169,106,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840000,416,2,22,72,42,2,2.114,3,8,2.762,2444,35,1,4523,179819,1537,190,0,2063,2937,144,173285,112,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860000,423,2,28,59,39,2,2.122,3,9,2.367,2513,36,2,4624,184355,1570,195,0,2113,2988,144,177683,114,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880000,434,3,21,54,30,3,2.242,4,9,2.559,2568,36,5,4723,188250,1597,199,0,2158,3038,144,181458,118,1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900000,454,1,12,45,22,1,2.435,5,11,3.082,2622,37,4,4817,191738,1623,202,0,2201,3082,144,184831,121,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920000,443,1,16,52,30,1,2.194,4,11,2.769,2680,39,4,4911,195235,1653,205,0,2235,3121,144,188208,126,1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940000,432,2,14,64,35,2,2.054,4,8,2.208,2747,41,1,5019,199126,1681,209,0,2279,3170,144,191969,132,1426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960000,437,1,26,48,35,1,2.056,3,10,2.714,2815,41,2,5111,203147,1706,212,0,2324,3216,144,195854,136,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980000,436,2,19,55,34,2,2.056,3,9,2.41,2873,42,2,5200,206753,1738,216,0,2357,3252,144,199348,138,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,438,0,16,58,37,0,2,2,8,2.368,2938,44,5,5302,210606,1756,217,0,2400,3296,144,203079,143,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
