t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,337,18,2,155,12,12,5.417,6,7,2.557,30,4,57,168,2869,28,1,0,18,46,29,2652,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,184,31,3,294,27,22,5.184,9,21,3.895,78,5,54,418,9023,84,5,0,74,159,88,8485,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,174,23,6,309,45,18,4.492,8,27,4.355,142,7,54,685,15813,159,7,0,156,364,120,14980,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,193,16,7,296,51,15,4.333,8,29,4.519,208,9,55,939,23696,225,12,0,234,586,154,22585,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,162,18,3,329,58,15,4.151,7,31,4.676,273,10,53,1212,31166,288,15,0,312,769,175,29769,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,205,24,5,278,43,18,4.361,8,33,4.793,338,10,52,1469,39172,338,18,0,417,987,190,37497,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,196,12,2,302,54,11,4.4,6,26,4.264,395,11,53,1758,46721,412,21,0,494,1193,207,44755,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,213,23,3,273,37,17,4.556,7,25,4.336,450,12,49,2043,54515,476,24,0,577,1429,213,52248,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,181,18,1,312,46,18,4.422,7,27,4.547,511,13,53,2316,62165,539,29,0,655,1613,238,59607,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,175,18,2,317,55,16,4.056,6,28,4.612,575,14,51,2580,70413,593,30,0,735,1812,257,67576,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
