t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,spent,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,177,22,156,157,68,17,3.353,7,11,2.077,140,5,0,239,7813,17,6,0,70,141,0,0,7289,4,0,0,0,0,0,0,0,0,0,0,0
40000,111,16,140,245,86,13,3.596,7,15,2.686,238,6,0,490,18825,49,14,0,175,317,0,0,17962,5,0,0,0,0,0,0,0,0,0,0,0
60000,108,23,87,294,72,21,3.699,7,15,2.917,320,7,1,747,29702,73,21,0,294,532,0,0,28510,7,0,0,0,0,0,0,0,0,0,0,0
80000,75,18,131,288,81,16,4,7,14,3.201,403,7,0,976,40827,106,26,0,396,751,0,0,39284,7,0,0,0,0,0,0,0,0,0,0,0
100000,106,23,125,258,66,19,4.224,8,17,3.56,483,8,1,1199,51666,131,32,0,512,1029,0,0,49763,8,0,0,0,0,0,0,0,0,0,0,0
120000,85,27,130,270,67,22,4.034,8,18,3.76,559,9,1,1426,61657,152,39,0,609,1244,0,0,59426,8,0,0,0,0,0,0,0,0,0,0,0
140000,97,18,130,267,80,17,3.784,8,21,3.814,654,10,1,1677,72365,177,47,0,731,1509,0,0,69764,9,0,0,0,0,0,0,0,0,0,0,0
160000,101,25,105,281,78,21,3.717,8,20,3.903,757,10,2,1931,82603,204,49,0,864,1790,0,0,79594,10,0,0,0,0,0,0,0,0,0,0,0
180000,104,20,132,256,83,15,3.633,8,22,3.839,854,11,2,2173,93038,232,58,0,989,2053,0,0,89658,13,0,0,0,0,0,0,0,0,0,0,0
200000,98,24,123,267,79,21,3.64,8,18,3.774,962,11,1,2444,104291,264,74,0,1114,2333,0,0,100512,13,0,0,0,0,0,0,0,0,0,0,0
220000,94,20,136,262,85,15,3.67,8,18,3.715,1057,12,4,2675,115484,284,88,0,1240,2570,0,0,111348,13,0,0,0,0,0,0,0,0,0,0,0
240000,107,21,129,255,82,19,3.465,8,19,3.485,1164,12,1,2935,126233,305,103,0,1377,2841,0,0,121715,14,0,0,0,0,0,0,0,0,0,0,0
260000,98,23,100,291,78,21,3.677,8,21,3.726,1250,12,0,3180,137342,332,113,0,1487,3055,0,0,132495,14,0,0,0,0,0,0,0,0,0,0,0
280000,104,29,113,266,78,24,3.402,8,21,3.54,1350,13,2,3427,148049,366,118,0,1619,3321,0,0,142812,15,0,0,0,0,0,0,0,0,0,0,0
300000,105,21,128,258,81,21,3.461,7,22,3.683,1456,14,2,3689,159612,397,127,0,1762,3569,0,0,153985,15,0,0,0,0,0,0,0,0,0,0,0
320000,100,16,103,293,89,15,3.596,9,22,3.742,1555,14,2,3965,170605,418,133,0,1884,3798,0,0,164628,15,0,0,0,0,0,0,0,0,0,0,0
340000,102,25,94,291,71,20,3.802,9,22,3.771,1648,15,1,4231,181714,445,142,0,2015,4067,0,0,175343,15,0,0,0,0,0,0,0,0,0,0,0
360000,79,25,111,297,83,22,3.667,9,21,3.898,1754,17,2,4491,192539,478,149,0,2137,4326,0,0,185769,16,0,0,0,0,0,0,0,0,0,0,0
380000,75,20,119,298,89,17,3.708,9,23,3.919,1849,18,0,4724,202977,503,156,0,2254,4576,0,0,195840,17,0,0,0,0,0,0,0,0,0,0,0
400000,104,27,148,233,75,25,3.42,9,20,3.73,1957,19,0,4941,214010,540,163,0,2396,4871,0,0,206471,18,0,0,0,0,0,0,0,0,0,0,0
420000,128,16,119,249,90,15,3.257,9,21,3.572,2078,20,2,5195,225525,557,176,0,2535,5141,0,0,217610,18,0,0,0,0,0,0,0,0,0,0,0
440000,104,23,130,255,94,17,3.216,9,21,3.47,2194,20,0,5437,236617,587,193,0,2668,5384,0,0,228315,18,0,0,0,0,0,0,0,0,0,0,0
