t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,157,28,139,188,60,21,3.63,7,13,2.732,122,5,1,248,7521,18,11,0,55,87,0,7059,8,0,0,0,0,0,0,0,0,0,0,0
40000,109,26,131,246,83,23,3.245,7,16,3.096,239,6,0,500,17986,42,18,0,181,319,0,17123,9,0,0,0,0,0,0,0,0,0,0,0
60000,103,14,161,234,100,13,3.381,7,19,3.339,359,6,0,745,29239,73,28,0,325,562,0,27990,9,0,0,0,0,0,0,0,0,0,0,0
80000,109,20,115,268,89,17,3.358,8,22,3.427,464,7,1,1013,40709,102,41,0,460,801,0,39101,9,0,0,0,0,0,0,0,0,0,0,0
100000,72,25,117,298,85,22,3.645,8,23,3.822,567,8,0,1275,51644,127,48,0,579,1022,0,49664,9,0,0,0,0,0,0,0,0,0,0,0
120000,96,28,116,272,71,24,3.674,7,21,3.856,651,10,1,1536,61997,152,54,0,702,1281,0,59664,9,0,0,0,0,0,0,0,0,0,0,0
140000,89,24,127,272,80,22,3.657,9,20,3.602,756,11,1,1789,71724,171,66,0,823,1542,0,69012,11,0,0,0,0,0,0,0,0,0,0,0
160000,100,27,125,260,69,23,3.935,9,18,3.573,846,11,0,2024,83580,199,71,0,942,1800,0,80501,11,0,0,0,0,0,0,0,0,0,0,0
180000,86,25,118,283,67,21,4.227,10,20,3.827,931,11,1,2294,94680,224,80,0,1060,2038,0,91232,12,0,0,0,0,0,0,0,0,0,0,0
200000,104,24,124,260,70,20,3.967,10,21,4.011,1025,11,0,2543,104525,251,83,0,1182,2313,0,100695,12,0,0,0,0,0,0,0,0,0,0,0
220000,133,23,135,221,74,19,3.602,6,21,3.927,1124,13,1,2786,116587,281,99,0,1305,2608,0,112380,12,0,0,0,0,0,0,0,0,0,0,0
240000,84,23,136,269,92,21,3.363,6,20,3.749,1248,14,1,3059,127960,318,109,0,1429,2876,0,123317,13,0,0,0,0,0,0,0,0,0,0,0
260000,100,23,117,272,85,21,3.434,6,19,3.779,1357,15,1,3343,138944,349,115,0,1564,3128,0,133932,13,0,0,0,0,0,0,0,0,0,0,0
280000,122,16,130,244,87,16,3.456,6,17,3.678,1464,15,0,3583,149521,384,123,0,1693,3400,0,144130,13,0,0,0,0,0,0,0,0,0,0,0
300000,107,17,150,238,99,16,3.217,6,16,3.539,1585,15,0,3841,161032,416,128,0,1828,3658,0,155234,13,0,0,0,0,0,0,0,0,0,0,0
320000,116,20,137,239,100,19,3.05,6,17,3.593,1706,16,0,4106,172197,448,137,0,1966,3926,0,166005,13,0,0,0,0,0,0,0,0,0,0,0
340000,138,16,126,232,102,15,2.966,5,14,3.219,1838,17,3,4353,184047,484,149,0,2118,4189,0,177469,13,0,0,0,0,0,0,0,0,0,0,0
360000,112,16,129,255,110,16,2.96,5,15,3.363,1974,19,0,4617,197116,514,161,0,2269,4426,0,190132,14,0,0,0,0,0,0,0,0,0,0,0
380000,128,11,156,217,122,10,2.78,6,14,3.001,2125,19,0,4846,209373,547,169,0,2434,4687,0,201983,15,0,0,0,0,0,0,0,0,0,0,0
400000,115,14,134,249,123,13,2.75,5,14,3.121,2255,20,0,5098,221197,562,178,0,2580,4904,0,213442,16,0,0,0,0,0,0,0,0,0,0,0
420000,122,20,164,206,106,17,2.878,5,16,3.284,2399,21,0,5340,234156,602,194,0,2751,5165,0,225986,16,0,0,0,0,0,0,0,0,0,0,0
440000,140,15,156,201,113,15,2.711,6,17,3.051,2543,21,1,5569,247150,637,205,0,2915,5404,0,238600,17,0,0,0,0,0,0,0,0,0,0,0
460000,135,14,139,224,116,14,2.723,6,18,3.14,2678,22,1,5814,259664,671,223,0,3057,5624,0,250763,18,0,0,0,0,0,0,0,0,0,0,0
480000,136,18,126,232,118,16,2.604,7,16,2.99,2821,23,3,6076,272760,697,231,0,3212,5876,0,263458,18,0,0,0,0,0,0,0,0,0,0,0
500000,143,12,144,213,128,11,2.518,6,15,2.797,2974,25,0,6334,286611,748,242,0,3376,6125,0,276907,18,0,0,0,0,0,0,0,0,0,0,0
520000,112,12,151,237,135,12,2.585,6,16,2.874,3131,26,1,6588,299551,783,251,0,3540,6345,0,289438,21,0,0,0,0,0,0,0,0,0,0,0
540000,143,10,164,195,128,9,2.584,4,13,2.762,3283,26,0,6810,313360,816,266,0,3717,6590,0,302862,22,0,0,0,0,0,0,0,0,0,0,0
560000,136,12,132,232,118,12,2.708,5,15,2.87,3433,27,1,7064,326500,860,279,0,3886,6836,0,315589,23,0,0,0,0,0,0,0,0,0,0,0
580000,131,19,122,240,106,19,2.752,5,15,2.962,3596,27,3,7335,339460,884,292,0,4071,7111,0,328097,27,0,0,0,0,0,0,0,0,0,0,0
600000,113,17,133,249,115,17,2.803,5,16,3.321,3748,28,0,7619,352280,923,304,0,4250,7346,0,340491,28,0,0,0,0,0,0,0,0,0,0,0
620000,122,19,132,239,110,19,2.783,5,16,3.338,3897,29,1,7884,365227,959,313,0,4423,7609,0,353019,29,0,0,0,0,0,0,0,0,0,0,0
640000,123,18,138,233,114,18,2.682,4,15,3.167,4041,30,1,8126,378557,989,324,0,4592,7852,0,365948,30,0,0,0,0,0,0,0,0,0,0,0
660000,127,23,142,220,102,22,2.782,5,15,3.269,4181,30,1,8363,391362,1017,334,0,4755,8097,0,378353,31,0,0,0,0,0,0,0,0,0,0,0
680000,128,17,123,244,109,17,2.81,6,14,3.285,4318,30,2,8606,403988,1056,343,0,4908,8334,0,390597,31,0,0,0,0,0,0,0,0,0,0,0
700000,126,18,117,251,111,18,2.76,6,14,3.226,4456,31,3,8875,417016,1085,347,0,5067,8575,0,403223,31,0,0,0,0,0,0,0,0,0,0,0
720000,134,11,132,235,120,11,2.718,5,20,3.337,4607,32,0,9145,431003,1124,364,0,5238,8818,0,416808,31,0,0,0,0,0,0,0,0,0,0,0
740000,134,18,130,230,104,17,2.835,6,19,3.449,4741,32,0,9396,442737,1160,387,0,5398,9066,0,428147,31,0,0,0,0,0,0,0,0,0,0,0
760000,131,15,124,242,113,14,2.74,6,19,3.312,4877,32,2,9637,455250,1196,397,0,5556,9303,0,440272,32,0,0,0,0,0,0,0,0,0,0,0
780000,97,18,127,270,117,18,2.859,6,19,3.463,5005,34,0,9891,468024,1230,406,0,5690,9509,0,452676,32,0,0,0,0,0,0,0,0,0,0,0
800000,109,23,132,248,106,23,2.806,5,19,3.473,5141,34,3,10138,480895,1276,418,0,5853,9773,0,465143,33,0,0,0,0,0,0,0,0,0,0,0
820000,110,22,128,252,106,22,2.805,5,20,3.536,5272,35,2,10388,493127,1310,430,0,6011,10004,0,476999,36,0,0,0,0,0,0,0,0,0,0,0
840000,139,17,144,212,101,17,2.881,5,16,3.432,5412,36,1,10629,506526,1353,445,0,6175,10267,0,490006,37,0,0,0,0,0,0,0,0,0,0,0
860000,97,14,122,279,119,14,2.932,5,18,3.4,5539,37,2,10892,518390,1387,450,0,6301,10459,0,501513,38,0,0,0,0,0,0,0,0,0,0,0
880000,104,18,138,252,108,16,3.04,5,17,3.423,5666,38,0,11162,531829,1423,460,0,6465,10702,0,514551,38,0,0,0,0,0,0,0,0,0,0,0
900000,132,13,138,229,114,13,2.803,5,16,3.341,5820,39,1,11419,544591,1454,473,0,6648,10998,0,526863,40,0,0,0,0,0,0,0,0,0,0,0
920000,102,17,132,261,115,15,2.915,5,20,3.624,5954,39,0,11665,556997,1485,488,0,6793,11223,0,538877,40,0,0,0,0,0,0,0,0,0,0,0
940000,137,22,131,222,98,22,2.808,5,17,3.383,6091,40,3,11911,569656,1529,498,0,6962,11492,0,551145,45,0,0,0,0,0,0,0,0,0,0,0
960000,112,13,126,261,119,12,2.878,6,19,3.604,6214,40,1,12158,581145,1566,510,0,7092,11696,0,562285,46,0,0,0,0,0,0,0,0,0,0,0
980000,126,17,124,245,110,16,2.833,5,16,3.419,6336,40,2,12397,593599,1601,521,0,7240,11940,0,574368,46,0,0,0,0,0,0,0,0,0,0,0
1000000,96,19,132,265,114,17,2.893,5,21,3.404,6458,40,2,12650,605609,1625,530,0,7377,12144,0,586011,46,0,0,0,0,0,0,0,0,0,0,0
