t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,spent,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,135,24,135,218,62,21,3.807,7,14,3.111,110,5,1,238,7209,22,8,0,49,103,43,0,6709,5,0,0,0,0,0,0,0,0,0,0,0
40000,81,26,124,281,75,23,3.816,7,16,3.34,220,6,0,507,17316,59,17,0,163,374,97,0,16383,5,0,0,0,0,0,0,0,0,0,0,0
60000,75,28,66,343,77,22,3.828,7,16,3.338,299,6,2,771,27425,78,22,0,270,589,156,0,26168,5,0,0,0,0,0,0,0,0,0,0,0
80000,109,22,86,295,76,20,3.583,7,20,3.769,402,8,0,1028,39176,100,33,0,414,885,202,0,37519,5,0,0,0,0,0,0,0,0,0,0,0
100000,93,18,125,276,98,17,3.339,7,18,3.366,518,10,1,1238,50023,137,42,0,545,1134,254,0,47975,5,0,0,0,0,0,0,0,0,0,0,0
120000,70,25,137,280,87,23,3.518,6,16,3,637,10,0,1460,61086,158,46,0,685,1425,305,0,58581,5,0,0,0,0,0,0,0,0,0,0,0
140000,89,24,117,282,87,21,3.481,7,17,3.115,751,11,2,1705,72730,193,60,0,832,1721,360,0,69817,6,0,0,0,0,0,0,0,0,0,0,0
160000,60,18,92,342,94,18,3.696,7,18,3.523,856,12,0,1977,82887,216,67,0,955,1969,422,0,79580,6,0,0,0,0,0,0,0,0,0,0,0
180000,82,13,105,312,97,13,3.573,8,18,3.491,957,12,0,2207,94396,240,74,0,1085,2245,478,0,90708,6,0,0,0,0,0,0,0,0,0,0,0
200000,85,27,117,283,78,25,3.573,7,18,3.409,1065,12,2,2444,106100,282,82,0,1224,2567,540,0,101957,8,0,0,0,0,0,0,0,0,0,0,0
220000,123,19,133,237,78,17,3.537,7,17,3.278,1173,13,0,2675,117732,302,93,0,1367,2866,579,0,113188,9,0,0,0,0,0,0,0,0,0,0,0
240000,108,26,115,263,63,21,4.119,7,20,3.632,1266,15,1,2898,128464,335,103,0,1500,3123,618,0,123525,10,0,0,0,0,0,0,0,0,0,0,0
260000,88,23,113,288,84,20,3.606,6,16,3.215,1367,16,1,3117,138416,359,108,0,1611,3365,667,0,133108,11,0,0,0,0,0,0,0,0,0,0,0
280000,96,17,134,265,95,14,3.523,6,14,3.141,1482,16,1,3358,150045,396,116,0,1749,3650,721,0,144331,13,0,0,0,0,0,0,0,0,0,0,0
300000,72,21,107,312,105,20,3.208,6,15,2.981,1593,18,0,3610,161449,423,122,0,1870,3886,760,0,155358,13,0,0,0,0,0,0,0,0,0,0,0
320000,112,18,85,297,99,17,3.164,6,16,3.037,1709,18,2,3862,174480,452,132,0,2023,4166,810,0,168001,13,0,0,0,0,0,0,0,0,0,0,0
340000,119,20,105,268,99,18,3.085,6,15,2.743,1844,19,1,4100,187730,483,138,0,2172,4449,855,0,180828,14,0,0,0,0,0,0,0,0,0,0,0
360000,81,15,112,304,116,14,3.077,6,14,2.639,1992,20,4,4358,199931,507,148,0,2327,4724,922,0,192570,15,0,0,0,0,0,0,0,0,0,0,0
380000,77,21,92,322,112,18,3.062,5,14,2.628,2113,21,1,4614,212245,530,166,0,2467,4992,978,0,204489,15,0,0,0,0,0,0,0,0,0,0,0
400000,102,16,104,290,112,15,3.047,6,14,2.724,2242,21,1,4848,225070,567,176,0,2616,5269,1035,0,216916,15,0,0,0,0,0,0,0,0,0,0,0
420000,53,16,96,347,118,16,3.179,5,13,2.558,2360,23,2,5106,236850,596,182,0,2749,5506,1097,0,228282,16,0,0,0,0,0,0,0,0,0,0,0
440000,105,16,99,292,103,15,3.195,6,13,2.572,2494,24,1,5378,250408,628,196,0,2920,5827,1166,0,241409,16,0,0,0,0,0,0,0,0,0,0,0
460000,77,16,89,330,110,16,3.214,6,12,2.404,2618,25,0,5639,262154,651,203,0,3056,6095,1234,0,252726,16,0,0,0,0,0,0,0,0,0,0,0
480000,90,19,86,317,107,17,3.137,5,12,2.573,2737,25,2,5860,274122,672,209,0,3203,6341,1297,0,264321,17,0,0,0,0,0,0,0,0,0,0,0
500000,75,17,99,321,110,16,3.246,5,14,2.874,2863,26,0,6100,286710,710,226,0,3354,6604,1362,0,276493,17,0,0,0,0,0,0,0,0,0,0,0
520000,89,17,105,301,106,15,3.248,6,15,3.006,2985,26,0,6345,299227,743,235,0,3499,6871,1421,0,288615,17,0,0,0,0,0,0,0,0,0,0,0
540000,70,16,78,348,109,14,3.374,6,20,3.298,3087,27,3,6595,311045,775,244,0,3615,7098,1502,0,300076,17,0,0,0,0,0,0,0,0,0,0,0
560000,88,13,90,321,102,13,3.461,6,14,3.056,3197,30,1,6835,322748,799,249,0,3756,7375,1568,0,311380,17,0,0,0,0,0,0,0,0,0,0,0
580000,71,25,96,320,88,21,3.606,6,16,3.187,3315,30,3,7096,334431,830,255,0,3900,7668,1645,0,322615,17,0,0,0,0,0,0,0,0,0,0,0
600000,80,35,85,312,79,28,3.449,6,14,3.162,3425,30,1,7336,345639,864,262,0,4052,7947,1720,0,333407,17,0,0,0,0,0,0,0,0,0,0,0
620000,86,23,73,330,95,20,3.339,7,16,3.123,3538,32,2,7603,357099,893,267,0,4170,8202,1778,0,344502,17,0,0,0,0,0,0,0,0,0,0,0
640000,81,20,132,279,94,18,3.464,6,15,3.187,3658,33,1,7840,369209,920,273,0,4314,8496,1834,0,356170,17,0,0,0,0,0,0,0,0,0,0,0
660000,71,16,91,334,105,16,3.339,6,18,3.473,3751,35,0,8096,379605,950,278,0,4437,8694,1873,0,366236,17,0,0,0,0,0,0,0,0,0,0,0
680000,59,21,69,363,105,17,3.328,7,21,3.66,3849,36,2,8366,390243,981,289,0,4557,8921,1910,0,376527,18,0,0,0,0,0,0,0,0,0,0,0
700000,102,21,119,270,95,19,3.237,6,16,3.42,3973,37,2,8590,402453,1005,295,0,4721,9233,1945,0,388304,18,0,0,0,0,0,0,0,0,0,0,0
720000,92,11,109,300,107,10,3.385,6,19,3.55,4096,38,1,8837,414349,1034,306,0,4856,9496,2001,0,399798,18,0,0,0,0,0,0,0,0,0,0,0
740000,109,27,95,281,80,23,3.408,6,15,3.443,4209,39,0,9102,426165,1063,316,0,5008,9800,2060,0,411182,18,0,0,0,0,0,0,0,0,0,0,0
760000,83,22,113,294,84,21,3.581,8,17,3.417,4311,39,2,9329,437447,1094,331,0,5147,10034,2114,0,422077,18,0,0,0,0,0,0,0,0,0,0,0
780000,84,30,92,306,74,23,3.814,8,20,3.617,4421,39,2,9594,449188,1126,341,0,5289,10321,2183,0,433396,19,0,0,0,0,0,0,0,0,0,0,0
800000,97,26,80,308,62,24,4.116,7,18,3.657,4514,40,1,9846,459540,1156,348,0,5426,10618,2260,0,443330,19,0,0,0,0,0,0,0,0,0,0,0
820000,75,27,71,339,68,23,4.176,7,22,3.974,4603,41,2,10109,469669,1180,357,0,5535,10893,2340,0,453060,19,0,0,0,0,0,0,0,0,0,0,0
840000,72,28,83,329,68,23,4.209,8,24,4.014,4689,42,1,10364,479921,1209,363,0,5662,11166,2410,0,462917,20,0,0,0,0,0,0,0,0,0,0,0
860000,65,26,97,324,70,21,4.231,8,20,3.867,4776,44,1,10603,489735,1235,366,0,5778,11449,2492,0,472323,20,0,0,0,0,0,0,0,0,0,0,0
880000,88,27,75,322,59,24,4.398,7,21,3.986,4855,45,1,10859,499695,1264,375,0,5904,11744,2565,0,481892,21,0,0,0,0,0,0,0,0,0,0,0
900000,72,11,78,351,87,10,4.216,7,23,3.853,4950,45,5,11103,509720,1283,382,0,6014,11991,2627,0,491548,21,0,0,0,0,0,0,0,0,0,0,0
920000,83,16,129,284,80,14,4.117,7,23,4.016,5061,46,1,11344,521480,1309,390,0,6160,12331,2683,0,502836,21,0,0,0,0,0,0,0,0,0,0,0
940000,86,23,96,307,69,22,4.088,7,20,4.07,5155,47,1,11593,531906,1333,397,0,6295,12636,2746,0,512831,21,0,0,0,0,0,0,0,0,0,0,0
960000,99,33,103,277,61,26,3.897,7,24,3.919,5262,48,1,11857,542240,1364,408,0,6451,12961,2808,0,522707,21,0,0,0,0,0,0,0,0,0,0,0
980000,76,23,80,332,77,21,3.796,7,23,3.886,5348,50,2,12109,552685,1388,411,0,6547,13187,2866,0,532805,21,0,0,0,0,0,0,0,0,0,0,0
1000000,81,24,95,312,80,21,3.713,7,25,3.995,5446,51,1,12360,564042,1420,413,0,6668,13458,2915,0,543774,21,0,0,0,0,0,0,0,0,0,0,0
