t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,126,31,128,227,38,27,4.769,7,9,2.471,91,5,2,228,7474,14,6,0,46,120,66,6944,3,0,0,0,0,0,0,0,0,0,0,0
40000,72,33,104,303,55,30,4.282,7,13,2.759,175,7,0,473,16631,38,11,0,141,356,118,15720,4,0,0,0,0,0,0,0,0,0,0,0
60000,69,23,125,295,78,22,3.86,7,13,2.99,269,10,2,707,26753,55,17,0,263,622,167,25457,6,0,0,0,0,0,0,0,0,0,0,0
80000,71,17,92,332,82,17,4.02,7,13,3.179,356,10,3,971,37604,77,21,0,381,882,216,35936,6,0,0,0,0,0,0,0,0,0,0,0
100000,79,23,93,317,84,20,3.712,7,17,3.411,457,10,2,1219,48861,100,27,0,506,1160,261,46804,7,0,0,0,0,0,0,0,0,0,0,0
120000,86,24,87,315,78,23,3.693,7,15,3.35,563,12,3,1481,59933,125,30,0,648,1461,316,57439,7,0,0,0,0,0,0,0,0,0,0,0
140000,103,14,120,275,93,13,3.538,7,17,3.281,685,12,1,1728,72288,155,40,0,792,1770,358,69362,7,0,0,0,0,0,0,0,0,0,0,0
160000,101,21,97,293,87,18,3.457,6,16,3.21,788,12,1,1983,83901,175,46,0,923,2039,418,80577,8,0,0,0,0,0,0,0,0,0,0,0
180000,97,20,111,284,82,19,3.604,7,17,3.311,898,12,1,2235,95762,207,53,0,1058,2307,463,92032,8,0,0,0,0,0,0,0,0,0,0,0
200000,58,22,105,327,89,20,3.734,7,16,3.323,994,13,0,2479,106678,239,57,0,1164,2520,499,102588,8,0,0,0,0,0,0,0,0,0,0,0
220000,121,18,118,255,87,17,3.404,6,18,3.331,1113,15,1,2707,117948,264,66,0,1321,2848,549,113443,8,0,0,0,0,0,0,0,0,0,0,0
240000,116,23,118,255,88,21,3.101,7,19,3.366,1219,16,2,2927,129467,293,80,0,1459,3088,596,124592,8,0,0,0,0,0,0,0,0,0,0,0
260000,113,21,131,247,92,18,3.264,7,19,3.493,1339,17,1,3161,140946,327,88,0,1599,3335,628,135686,9,0,0,0,0,0,0,0,0,0,0,0
280000,103,22,124,263,88,19,3.327,6,17,3.558,1464,18,0,3407,151486,359,105,0,1746,3622,680,145799,10,0,0,0,0,0,0,0,0,0,0,0
300000,91,24,107,290,91,22,3.327,6,18,3.499,1582,19,1,3660,163405,392,111,0,1886,3879,716,157311,11,0,0,0,0,0,0,0,0,0,0,0
320000,80,23,78,331,86,20,3.547,6,17,3.311,1682,19,2,3914,174150,419,118,0,2018,4113,768,167687,13,0,0,0,0,0,0,0,0,0,0,0
340000,68,23,97,324,94,20,3.509,6,18,3.572,1796,20,2,4146,185234,450,129,0,2152,4381,825,178365,13,0,0,0,0,0,0,0,0,0,0,0
360000,78,24,79,331,90,22,3.411,5,16,3.33,1907,21,1,4421,197159,476,135,0,2289,4652,883,189895,13,0,0,0,0,0,0,0,0,0,0,0
380000,74,21,103,314,97,18,3.487,5,15,3.228,2033,21,1,4675,208534,503,142,0,2432,4946,943,200833,14,0,0,0,0,0,0,0,0,0,0,0
400000,87,22,94,309,92,19,3.441,6,13,3.19,2144,22,3,4921,220781,533,151,0,2573,5229,1000,212676,14,0,0,0,0,0,0,0,0,0,0,0
420000,93,17,104,298,95,15,3.518,6,17,3.293,2263,24,3,5177,232505,570,164,0,2717,5525,1067,223971,14,0,0,0,0,0,0,0,0,0,0,0
440000,87,22,92,311,88,20,3.528,6,17,3.414,2375,24,4,5427,245116,607,169,0,2854,5791,1138,236172,14,0,0,0,0,0,0,0,0,0,0,0
460000,78,15,101,318,99,15,3.5,6,18,3.424,2496,25,1,5699,256367,638,176,0,2986,6073,1199,246998,14,0,0,0,0,0,0,0,0,0,0,0
