t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,170,25,158,159,58,21,3.557,8,20,3.554,122,4,0,243,7414,102,48,0,65,110,0,6990,23,0,0,0,0,0,0,0,0,0,0,0
40000,141,27,160,184,67,22,3.303,8,23,4.001,228,5,0,462,16007,211,98,0,195,323,0,15270,30,0,0,0,0,0,0,0,0,0,0,0
60000,107,36,134,235,54,28,3.841,8,27,4.359,316,5,2,700,24402,309,143,0,312,530,0,23351,33,0,0,0,0,0,0,0,0,0,0,0
80000,100,22,111,279,74,21,3.8,8,35,4.614,415,7,0,964,34016,429,179,0,419,773,0,32639,34,0,0,0,0,0,0,0,0,0,0,0
100000,102,23,142,245,79,18,3.701,8,33,4.388,516,8,2,1215,44464,574,220,0,544,1063,0,42719,39,0,0,0,0,0,0,0,0,0,0,0
120000,85,24,128,275,73,22,3.937,8,29,4.469,604,8,0,1469,53749,683,251,0,662,1308,0,51662,43,0,0,0,0,0,0,0,0,0,0,0
140000,108,23,146,235,72,19,3.835,8,32,4.393,700,9,0,1706,63026,812,303,0,786,1595,0,60595,43,0,0,0,0,0,0,0,0,0,0,0
160000,96,30,114,272,66,26,3.783,7,34,4.595,793,10,3,1967,72476,932,333,0,910,1849,0,69683,45,0,0,0,0,0,0,0,0,0,0,0
180000,110,20,132,250,75,16,3.824,7,34,4.466,884,11,2,2185,81881,1073,370,0,1032,2102,0,78770,48,0,0,0,0,0,0,0,0,0,0,0
200000,111,18,147,236,66,17,4.241,7,34,4.567,974,12,1,2436,91239,1203,408,0,1153,2389,0,87761,51,0,0,0,0,0,0,0,0,0,0,0
220000,116,18,131,247,64,17,4.358,8,40,4.938,1051,12,2,2678,101006,1315,450,0,1265,2645,0,97209,56,0,0,0,0,0,0,0,0,0,0,0
240000,112,31,125,244,58,25,4,8,35,4.741,1140,13,1,2923,110137,1409,487,0,1386,2933,0,105964,58,0,0,0,0,0,0,0,0,0,0,0
260000,91,25,123,273,62,22,4.214,8,36,4.736,1220,14,1,3169,118612,1530,520,0,1496,3153,0,114121,60,0,0,0,0,0,0,0,0,0,0,0
280000,106,25,110,271,64,20,4.19,8,38,4.777,1290,16,0,3410,128448,1658,550,0,1598,3390,0,123664,61,0,0,0,0,0,0,0,0,0,0,0
300000,90,24,136,262,67,20,4.207,9,31,4.629,1384,17,0,3664,138115,1796,576,0,1718,3694,0,132914,63,0,0,0,0,0,0,0,0,0,0,0
320000,88,25,122,277,67,23,4.111,7,40,4.903,1469,17,2,3921,146804,1903,615,0,1824,3959,0,141271,66,0,0,0,0,0,0,0,0,0,0,0
340000,57,31,127,297,67,25,4.087,8,35,4.584,1565,18,2,4169,156299,2049,642,0,1936,4225,0,150385,68,0,0,0,0,0,0,0,0,0,0,0
360000,90,24,123,275,69,21,4,9,37,4.686,1652,18,1,4411,165450,2201,672,0,2056,4502,0,159198,68,0,0,0,0,0,0,0,0,0,0,0
380000,69,25,109,309,63,20,4.47,9,36,4.778,1713,19,1,4674,174731,2320,703,0,2148,4699,0,168198,71,0,0,0,0,0,0,0,0,0,0,0
400000,97,28,114,273,59,21,4.237,9,37,4.831,1788,20,1,4919,183705,2456,728,0,2263,4994,0,176817,73,0,0,0,0,0,0,0,0,0,0,0
420000,73,23,120,296,67,18,4.412,10,36,4.685,1869,21,0,5162,192088,2587,762,0,2361,5240,0,184866,75,0,0,0,0,0,0,0,0,0,0,0
440000,84,23,123,282,67,18,4.365,8,35,4.643,1955,22,2,5440,201402,2736,797,0,2476,5541,0,193802,75,0,0,0,0,0,0,0,0,0,0,0
460000,70,26,117,299,57,21,4.833,9,37,4.978,2027,22,1,5705,211078,2859,830,0,2577,5787,0,203151,76,0,0,0,0,0,0,0,0,0,0,0
480000,83,25,101,303,58,23,4.519,8,38,4.956,2091,23,2,5968,219267,2955,853,0,2673,6040,0,211028,77,0,0,0,0,0,0,0,0,0,0,0
500000,91,26,146,249,61,20,4.309,10,38,4.907,2177,23,2,6233,228156,3066,894,0,2790,6363,0,219525,79,0,0,0,0,0,0,0,0,0,0,0
520000,96,21,146,249,66,18,4.31,10,36,4.696,2265,24,0,6501,236685,3199,932,0,2907,6659,0,227682,80,0,0,0,0,0,0,0,0,0,0,0
540000,101,27,150,234,58,23,4.37,11,40,4.845,2354,24,0,6743,246209,3332,966,0,3036,6936,0,236834,82,0,0,0,0,0,0,0,0,0,0,0
560000,86,28,147,251,61,21,4.366,11,45,5.034,2425,25,0,6984,254315,3456,994,0,3130,7196,0,244601,85,0,0,0,0,0,0,0,0,0,0,0
580000,95,17,153,247,68,14,4.427,10,37,4.724,2502,26,2,7221,262975,3573,1029,0,3235,7448,0,252947,86,0,0,0,0,0,0,0,0,0,0,0
600000,124,32,132,223,52,23,4.147,10,33,4.581,2581,28,0,7471,271633,3699,1065,0,3353,7768,0,261232,86,0,0,0,0,0,0,0,0,0,0,0
620000,87,29,139,257,61,25,4.151,10,35,4.716,2674,28,1,7718,281749,3820,1113,0,3458,8008,0,271009,87,0,0,0,0,0,0,0,0,0,0,0
640000,75,24,116,297,62,20,4.512,10,44,5.052,2745,29,1,7986,290915,3934,1149,0,3553,8233,0,279881,88,0,0,0,0,0,0,0,0,0,0,0
660000,64,25,127,296,60,20,4.713,11,40,4.868,2815,30,0,8213,299102,4049,1177,0,3653,8470,0,287745,89,0,0,0,0,0,0,0,0,0,0,0
680000,91,27,105,289,61,20,4.321,11,35,4.63,2889,31,2,8478,308501,4159,1210,0,3750,8762,0,296815,90,0,0,0,0,0,0,0,0,0,0,0
700000,103,32,134,242,55,20,4.507,13,32,4.715,2971,32,0,8717,316437,4281,1244,0,3869,9058,0,304378,92,0,0,0,0,0,0,0,0,0,0,0
