t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,spent,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,315,11,126,60,43,9,3.25,7,20,3.451,76,5,1,248,4432,44,35,0,36,51,0,177,4244,25,0,0,0,0,0,0,0,0,0,0,0
40000,238,23,151,100,41,16,3.877,8,30,4.579,147,5,1,535,10993,140,97,0,117,179,0,359,10608,42,0,0,0,0,0,0,0,0,0,0,0
60000,222,21,171,98,52,15,3.552,8,27,4.157,214,7,0,812,17682,229,161,0,211,345,0,553,17104,54,0,0,0,0,0,0,0,0,0,0,0
80000,251,23,144,94,42,19,3.41,8,26,3.936,270,8,2,1038,24122,315,214,0,296,507,0,689,23404,68,0,0,0,0,0,0,0,0,0,0,0
100000,205,28,161,118,38,22,4.017,8,33,4.729,335,9,1,1317,30972,427,273,0,375,641,0,862,30073,81,0,0,0,0,0,0,0,0,0,0,0
120000,170,30,194,118,41,22,4.238,9,38,4.912,393,10,0,1552,37970,523,328,0,448,770,0,1031,36900,87,0,0,0,0,0,0,0,0,0,0,0
140000,208,23,172,109,37,19,4.089,9,29,4.493,449,12,1,1807,44985,596,397,0,553,953,0,1200,43751,99,0,0,0,0,0,0,0,0,0,0,0
160000,196,30,190,96,32,23,4.291,10,29,4.483,501,12,0,2063,50943,661,454,0,643,1120,0,1390,49509,108,0,0,0,0,0,0,0,0,0,0,0
180000,173,30,191,118,43,22,3.954,8,30,4.543,556,12,1,2312,56750,741,500,0,722,1250,0,1554,55151,120,0,0,0,0,0,0,0,0,0,0,0
200000,182,32,188,110,43,21,4.031,9,34,4.625,617,13,0,2587,64951,850,552,0,811,1428,0,1730,63174,134,0,0,0,0,0,0,0,0,0,0,0
220000,158,30,195,129,42,24,4.121,8,39,4.968,675,14,0,2854,71227,938,605,0,891,1563,0,1908,69270,140,0,0,0,0,0,0,0,0,0,0,0
240000,175,26,178,133,51,17,4.044,9,36,4.694,722,14,0,3103,78699,1027,658,0,969,1717,0,2061,76589,147,0,0,0,0,0,0,0,0,0,0,0
