t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,spent,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,289,14,141,68,51,14,2.969,7,21,3.617,98,5,3,248,5457,52,54,0,46,66,21,170,5272,43,0,0,0,0,0,0,0,0,0,0,0
40000,223,22,157,110,48,16,3.641,8,30,4.422,170,6,1,499,13228,144,133,0,138,200,52,342,12861,61,0,0,0,0,0,0,0,0,0,0,0
60000,191,26,181,114,47,21,3.794,8,30,4.488,237,7,0,745,20040,230,194,0,229,362,98,537,19470,75,0,0,0,0,0,0,0,0,0,0,0
80000,169,23,188,132,51,20,3.873,9,32,4.585,306,7,0,995,27115,323,252,0,321,515,147,736,26346,82,0,0,0,0,0,0,0,0,0,0,0
100000,146,29,167,170,52,23,3.88,9,33,4.539,366,8,1,1272,34509,436,315,0,398,684,208,934,33536,84,0,0,0,0,0,0,0,0,0,0,0
120000,129,27,194,162,49,24,4.315,9,33,4.618,434,9,0,1541,41828,530,360,0,498,860,290,1179,40610,87,0,0,0,0,0,0,0,0,0,0,0
140000,153,31,164,164,41,21,4.403,9,33,4.692,487,10,0,1804,49083,639,404,0,585,1052,344,1378,47660,92,0,0,0,0,0,0,0,0,0,0,0
160000,182,29,134,167,37,19,4.536,11,30,4.531,543,10,1,2051,56679,755,449,0,671,1251,412,1578,55055,99,0,0,0,0,0,0,0,0,0,0,0
180000,144,22,196,150,47,15,4.677,11,28,4.499,610,11,3,2330,63672,853,493,0,764,1435,501,1846,61785,105,0,0,0,0,0,0,0,0,0,0,0
200000,145,37,187,143,37,24,4.475,11,33,4.734,656,12,0,2575,70388,937,530,0,849,1617,570,2054,68276,109,0,0,0,0,0,0,0,0,0,0,0
220000,156,20,199,137,56,18,4.108,8,32,4.755,709,12,0,2800,77260,1009,574,0,929,1776,631,2243,74973,115,0,0,0,0,0,0,0,0,0,0,0
240000,157,29,200,126,43,23,4.348,10,33,4.788,771,13,0,3044,84415,1111,630,0,1024,1989,713,2468,81893,124,0,0,0,0,0,0,0,0,0,0,0
260000,158,25,182,147,54,19,4,8,32,4.561,828,14,2,3304,91230,1219,681,0,1109,2166,769,2673,88505,129,0,0,0,0,0,0,0,0,0,0,0
280000,152,32,198,130,37,24,4.541,8,35,4.884,882,15,1,3542,98451,1310,733,0,1196,2343,819,2878,95512,133,0,0,0,0,0,0,0,0,0,0,0
300000,162,27,191,132,40,23,4.413,9,30,4.646,939,16,0,3802,105193,1391,781,0,1284,2529,858,3085,102049,141,0,0,0,0,0,0,0,0,0,0,0
320000,143,31,197,141,41,25,4.379,9,34,4.817,997,18,0,4045,112143,1486,831,0,1371,2689,912,3288,108787,147,0,0,0,0,0,0,0,0,0,0,0
