t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,775,5,0,20,0,2,6.5,7,2,1,1,1,299,6,23,1,1,5,5,0
10000,745,12,1,42,0,5,6.4,7,4,1.922,4,2,297,16,63,2,2,9,16,0
15000,669,31,0,100,1,15,4.938,7,9,3.031,15,3,294,38,164,7,7,27,46,0
20000,528,61,4,207,12,42,3.463,7,21,3.611,84,8,292,120,428,20,21,50,139,0
25000,343,107,9,341,21,74,3.242,8,28,3.468,215,12,283,266,871,31,38,82,297,0
30000,264,135,8,393,22,88,3.264,9,31,3.886,369,13,281,451,1394,49,59,113,568,0
35000,254,133,2,411,28,88,3.103,9,29,3.548,494,14,290,598,1812,73,74,159,817,0
40000,196,153,8,443,25,98,3.301,10,33,3.754,618,14,285,743,2261,84,100,205,1071,0
45000,215,149,1,435,23,99,3.123,9,31,3.796,742,15,287,883,2656,96,113,241,1332,0
50000,232,153,6,409,23,95,3.22,9,28,3.812,867,17,287,1029,3067,110,127,264,1588,0
55000,176,159,3,462,23,92,3.522,8,35,4.126,961,17,286,1159,3453,126,140,313,1800,0
60000,194,143,2,461,28,82,3.627,13,36,4.321,1053,17,290,1276,3804,137,156,377,2058,0
65000,186,143,2,469,21,80,3.782,13,33,4.358,1131,19,294,1391,4153,144,174,430,2298,0
70000,177,158,1,464,15,92,3.748,13,34,4.312,1210,20,292,1488,4470,155,190,474,2524,0
75000,175,157,3,465,13,91,3.779,13,38,4.444,1285,20,289,1594,4770,167,202,515,2735,0
80000,187,151,0,462,13,82,4.042,12,38,4.517,1353,22,294,1678,5050,174,214,567,2941,0
85000,157,160,2,481,17,89,3.915,13,39,4.439,1431,22,291,1792,5366,180,231,606,3159,0
90000,146,157,5,492,23,88,3.874,14,38,4.212,1510,22,289,1889,5681,191,237,653,3371,0
95000,127,145,5,523,23,85,4.056,14,42,4.377,1589,24,286,1998,6001,198,248,695,3574,0
100000,142,160,5,493,15,85,3.98,11,36,4.048,1650,24,292,2089,6312,211,258,758,3811,0
105000,156,159,2,483,4,81,4.388,15,39,4.673,1709,24,291,2170,6600,216,267,810,4015,0
110000,132,149,1,518,9,75,4.917,15,43,5.064,1751,25,291,2234,6852,225,280,877,4200,0
115000,113,163,0,524,15,83,4.235,16,38,4.591,1801,26,291,2318,7124,231,290,940,4415,0
120000,108,175,2,515,14,82,4.646,17,43,4.747,1858,26,294,2392,7404,236,300,1004,4623,0
125000,103,165,3,529,10,87,4.464,17,43,4.718,1899,26,290,2464,7643,240,308,1068,4813,0
130000,144,155,0,501,13,78,4.505,15,46,4.914,1943,27,297,2535,7881,249,319,1131,5035,0
135000,140,153,2,505,14,74,4.75,18,49,5.04,1997,27,292,2619,8161,253,329,1192,5244,0
140000,126,158,3,513,14,74,4.636,18,44,4.809,2035,28,292,2691,8408,256,340,1244,5437,0
145000,92,170,1,537,15,77,4.739,22,48,5.103,2073,28,295,2756,8650,263,348,1311,5612,0
150000,96,160,0,544,9,77,4.872,25,46,5.112,2110,28,294,2827,8917,268,354,1390,5829,0
